                                             cinromide                                                                                                                                                               CCNC(=O)/C=C/c1cccc(Br)c1 1
                                         Bromocriptine                                                                          CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12 0
                                           proxibarbal                                                                                                                                                          C=CCC1(CC(C)O)C(=O)NC(=O)NC1=O 1
                                         Trovafloxacin                                                                                                                        NC1[C@@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@H]12 1
                                            gedocarnil                                                                                                                                   COCc1c(C(=O)OC(C)C)ncc2[nH]c3cccc(Oc4ccc(Cl)cc4)c3c12 1
                                           medorubicin                                                                                                                    CC1OC(OC2CC(O)(C(=O)CO)Cc3c(O)c4c(c(O)c32)C(=O)c2ccccc2C4=O)CC(N)C1O 0
                                              Abacavir                                                                                                                                           Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1 1
                                            pivagabine                                                                                                                                                                 CC(C)(C)C(=O)NCCCC(=O)O 1
                                              urethane                                                                                                                                                                               CCOC(N)=O 1
                                          oleandomycin                                                     COC1CC(O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](O)[C@@H](C)C(=O)[C@@]3(CO3)C[C@H](C)[C@H](OC3OC(C)CC(N(C)C)C3O)[C@H]2C)OC(C)C1O 0
                                   tixocortol-pivalate                                                                                               CC(C)(C)C(=O)SCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C 1
                               Phenoxymethylpenicillin                                                                                                                             CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[O-] 0
                                            ceftibuten                                                                                                                    Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1.O.O 0
                                            Cytarabine                                                                                                                                       Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1 1
                                           vincristine                                    CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1 1
                                             timelotem                                                                                                                                                     CN1CCN2c3cc(F)ccc3C(c3cccs3)=NCC2C1 1
                  flucloronide(fluclorolone-acetonide)                                                                                                      CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)C=CC5(C)[C@@]4(Cl)C(Cl)CC3(C)[C@]2(C(=O)CO)O1 1
                                       fludrocortisone                                                                                                          C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO 1
                                             Quinidine                                                                                                                                 C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12 1
               flumethasone(flumetasoneanddiflorasone)                                                                                          C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO 1
                                    Diethylstilbestrol                                                                                                                                                     CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1 0
                                               doxepin                                                                                                                                             CN(C)CC/C=C1/c2ccccc2COc2ccccc21.[Cl-].[H+] 1
                                             aztreonam                                                                                                            C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-] 0
                                             metoxepin                                                                                                                                                 COc1ccc2c(c1)C(N1CCN(C)CC1)=Cc1ccccc1O2 1
                                            femoxetine                                                                                                                                                       COc1ccc(OCC2CN(C)CCC2c2ccccc2)cc1 1
                                             pipradrol                                                                                                                                                          OC(c1ccccc1)(c1ccccc1)C1CCCCN1 1
                                            dimethazan                                                                                                                                                        CN(C)CCn1cnc2c1c(=O)n(C)c(=O)n2C 1
                                            clorgiline                                                                                                                                                              C#CCN(C)CCCOc1ccc(Cl)cc1Cl 1
                                  Propanthelinebromide                                                                                                                                   CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C.[Br-] 0
                                           setiptiline                                                                                                                                                         CN1CCC2=C(C1)c1ccccc1Cc1ccccc12 1
                                           alaproclate                                                                                                                                                         CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1 1
                                          tiflucarbine                                                                                                                                                     CCN1CCc2[nH]c3cc(F)c4scc(C)c4c3c2C1 1
                                        allomethadione                                                                                                                                                                    C=CCN1C(=O)OC(C)C1=O 1
                                           fluvoxamine                                                                                                                                   COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1.O=C(O)/C=C\C(=O)O 1
                                             lorazepam                                                                                                                                                     O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O 1
                                           stiripentol                                                                                                                                                        CC(C)(C)C(O)/C=C/c1ccc2c(c1)OCO2 1
                                            benorilate                                                                                                                                                  CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1 1
                                           fencamfamin                                                                                                                                                                CCNC1C2CCC(C2)C1c1ccccc1 1
                                              lisuride                                                                                                                                  CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1 1
                                            propanidid                                                                                                                                                                            [CH2-][CH-]C 1
                                            pirbuterol                                                                                                                                                           CC(C)(C)NCC(O)c1ccc(O)c(CO)n1 0
                                           homatropine                                                                                                                                                       CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2 0
                                        benzyl-alcohol                                                                                                                                                                              OCc1ccccc1 1
                                            zometapine                                                                                                                                                     CC1=C2C(c3cccc(Cl)c3)=NCCN=C2N(C)N1 1
                                                  5-67                                                                                                                                                                         CN(C)CCc1ccccn1 1
                                           Pravastatin                                                                                                CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21 0
                                             cefsumide                                                                                                                CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3cccc(NS(C)(=O)=O)c3)[C@H]2SC1 0
                                            citenamide                                                                                                                                                            NC(=O)C1c2ccccc2C=Cc2ccccc21 1
                                              xylazine                                                                                                                                                                  Cc1cccc(C)c1NC1=NCCCS1 1
                                           doxefazepam                                                                                                                                                 O=C1C(O)N=C(c2ccccc2F)c2cc(Cl)ccc2N1CCO 1
                                             guanabenz                                                                                                                                                              NC(N)=N/N=C/c1c(Cl)cccc1Cl 0
                                            mexiletine                                                                                                                                                                     Cc1cccc(C)c1OCC(C)N 1
                                          Meclocycline                                                                                                              C=C1c2c(Cl)ccc(O)c2C(O)=C2C(=O)C3(O)C(=O)/C(=C(/N)O)C(=O)C(N(C)C)C3C(O)C12 0
                                              Org12962                                                                                                                                                            FC(F)(F)c1ccc(N2CCNCC2)nc1Cl 1
                                         tetrabarbital                                                                                                                                                          CCCC(CC)C1(CC)C(=O)NC(=O)NC1=O 1
                                      valproatepivoxil                                                                                                                                                          CCCC(CCC)C(=O)OCOC(=O)C(C)(C)C 1
                                             carubicin                                                                                                             CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1c(O)cccc1C3=O 0
                                           nikethamide                                                                                                                                                                    CCN(CC)C(=O)c1cccnc1 1
                                                U50488                                                                                                                                           CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCCC[C@H]1N1CCCC1 1
                                         phacetoperane                                                                                                                                                              CC(=O)OC(c1ccccc1)C1CCCCN1 1
                                             ripazepam                                                                                                                                                      CCn1nc(C)c2c1C(c1ccccc1)=NCC(=O)N2 1
                                          cephacetrile                                                                                                                         CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@H](NC(=O)CC#N)[C@@H]2SC1.[Na+] 0
                                            ulobetasol                                                                                                                              CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CCl 1
                                           Theobromine                                                                                                                                                              Cn1cnc2c1c(=O)[nH]c(=O)n2C 1
                                               salicin                                                                                                                                    OCc1ccccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O 1
                                             glyburide                                                                                                                                COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1 1
                                         oxitriptyline                                                                                                                                                       CN(C)C(=O)COC1c2ccccc2CCc2ccccc21 1
                                           ciprazafone                                                                                                                                             CN(C(=O)CNC1CC1)c1ccc(Cl)cc1C(=O)c1ccccc1Cl 1
                                             tamitinol                                                                                                                                                                   CCNCc1c(CSC)cnc(C)c1O 1
                                             rimcazole                                                                                                                                                    CC1CN(CCCn2c3ccccc3c3ccccc32)CC(C)N1 1
                                             amcinafal                                                                                                    CCC1(CC)O[C@@H]2C[C@H]3C4CCC5=CC(=O)C=CC5(C)[C@@]4(F)[C@@H](O)CC3(C)[C@]2(C(=O)CO)O1 1
                                             docetaxel                       CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C 0
                                                    18                                                                                                                                                                                   ClCCl 1
                                             molindone                                                                                                                                                    CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2 1
                          methylprednisolone-aceponate                                                                                              CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C 1
                                            elanzepine                                                                                                                                                    CCN(CC)C/C=C1/c2ccccc2Nc2cc(Cl)ccc21 1
                                              Busulfan                                                                                                                                                              CS(=O)(=O)OCCCCOS(C)(=O)=O 1
                                          indeloxazine                                                                                                                                                              C1=Cc2cccc(OCC3CNCCO3)c2C1 1
                                            oxiracetam                                                                                                                                                                     NC(=O)CN1CC(O)CC1=O 1
                                             meropenem                                                                                                           C[C@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)C12.O.O.O 0
                                            ilepcimide                                                                                                                                                       O=C(/C=C/c1ccc2c(c1)OCO2)N1CCCCC1 1
                                         Dexamfetamine                                                                                                                                                                      C[C@H](N)Cc1ccccc1 1
                                               Ethanol                                                                                                                                                                                     CCO 1
                                         thiamphenicol                                                                                                                                    CS(=O)(=O)c1ccc([C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl)cc1 1
                                         Pyrimethamine                                                                                                                                                           CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1 1
                                   sulthiame(sultiame)                                                                                                                                                      NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1 1
                                            dacemazine                                                                                                                                                         CN(C)CC(=O)N1c2ccccc2Sc2ccccc21 1
                                          propacetamol                                                                                                                                                         CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1 1
                                            spiclamine                                                                                                                                Clc1ccc([C@@H]2[C@H]3CC[C@@H](C3)C23CCC(N2CCOCC2)=N3)cc1 1
                                             etifoxine                                                                                                                                          CCNC1=Nc2ccc(Cl)cc2C(C)(c2ccccc2)O1.[Cl-].[H+] 1
                                      Clidiniumbromide                                                                                                                                  C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2.[Br-] 0
                                           Flucytosine                                                                                                                                                                       Nc1[nH]c(=O)ncc1F 1
                               betamethasone-acibutate                                                                                     C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccccc1)C(=O)CO 1
                                             tigemonam                                                                                                                          CC1(C)[C@H](NC(=O)/C(=N\OCC(=O)O)c2csc(N)n2)C(=O)N1OS(=O)(=O)O 0
                                           clofexamide                                                                                                                                                           CCN(CC)CCNC(=O)COc1ccc(Cl)cc1 1
                                           cefetrizole                                                                                                                          O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3ncn[nH]3)CS[C@H]12 0
                                          valdipromide                                                                                                                                                                    CCCC(CCC)(CCC)C(N)=O 1
                                          clomipramine                                                                                                                                                       CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21 1
                                            loratadine                                                                                                                                            CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1 0
                                            biriperone                                                                                                                                         O=C(CCCN1CCN2Cc3[nH]c4ccccc4c3CC2C1)c1ccc(F)cc1 1
                                         Betamethasone                                                                                                  C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO 0
                                          propiomazine                                                                                                                                               CCC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2 1
                                            Atovaquone                                                                                                                                          O=C1C(=O)c2ccccc2C(O)=C1C1CCC(c2ccc(Cl)cc2)CC1 0
                                           Fluconazole                                                                                                                                                      OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F 1
                                            fluoxetine                                                                                                                                                      CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1 1
                                           indatraline                                                                                                                                  CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.[Cl-].[H+] 1
                                            xanomeline                                                                                                                                                              CCCCCCOc1nsnc1C1=CCCN(C)C1 1
                                            etaqualone                                                                                                                                                          CCc1ccccc1-n1c(C)nc2ccccc2c1=O 1
                                           dopamantine                                                                                                                                              O=C(NCCc1ccc(O)c(O)c1)C12CC3CC(CC(C3)C1)C2 1
                                            tymazoline                                                                                                                                                            Cc1ccc(C(C)C)c(OCC2=NCCN2)c1 0
                                             alentemol                                                                                                                                                       CCCN(CCC)C1Cc2cccc3cc(O)cc(c23)C1 1
                                             cefalexin                                                                                                                             CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1 0
                                            ricasetron                                                                                                                                       CN1[C@H]2CC[C@@H]1CC(NC(=O)N1CC(C)(C)c3ccccc31)C2 1
                                           sabcomeline                                                                                                                                                                  CON=C(C#N)C1CN2CCC1CC2 1
                                         theodrenaline                                                                                                                                         Cn1c(=O)c2c(ncn2CCNCC(O)c2ccc(O)c(O)c2)n(C)c1=O 0
                                           azaquinzole                                                                                                                                                                  c1ccc2c(c1)CCN1CCNCC21 1
                                             labetalol                                                                                                                                                 CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1 0
                                           adafenoxate                                                                                                                                             O=C(COc1ccc(Cl)cc1)OCCNC12CC3CC(CC(C3)C1)C2 1
                                              nicotine                                                                                                                                                                    CN1CCC[C@H]1c1cccnc1 1
                                           zoniclezole                                                                                                                                                            CC(c1noc2ccc(Cl)cc12)n1ccnc1 1
                                             trizoxime                                                                                                                                                  N/C(N=O)=C1\NNc2ccccc2N(Cc2ccccc2)C1=O 1
                                           levorphanol                                                                                                                                                CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13 1
                                   algestone-acetonide                                                                                                                                     CC(=O)C12OC(C)(C)OC1CC1C3CCC4=CC(=O)CCC4(C)C3CCC12C 1
                                          Ethylbenzene                                                                                                                                                                              CCc1ccccc1 1
                                           cericlamine                                                                                                                                               CN(C)C(C)(CO)Cc1ccc(Cl)c(Cl)c1.[Cl-].[H+] 1
                                          Azithromycin               CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O 0
                                             propoxate                                                                                                                                                            CCCOC(=O)c1cncn1C(C)c1ccccc1 1
                                            romifidine                                                                                                                                                                  Fc1cccc(Br)c1NC1=NCCN1 1
beclomethasonedipropionate(beclometasone-dipropionate)                                                                                 CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C 1
                                        acetaminosalol                                                                                                                                                        CC(=O)Nc1ccc(OC(=O)c2ccccc2O)cc1 1
                                               camphor                                                                                                                                                                    CC12CCC(CC1=O)C2(C)C 1
                                                Y-G 14                                                                                                                                                                            CNCCc1ccccn1 1
                                             suncillin                                                                                              CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NS(=O)(=O)[O-])c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+].[Na+] 0
                                            panadiplon                                                                                                                                           CC(C)n1c(=O)c2c(-c3noc(C4CC4)n3)ncn2c2ccccc21 1
                                            benperidol                                                                                                                                       O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1 1
                                            fluacizine                                                                                                                                            CCN(CC)CCC(=O)N1c2ccccc2Sc2ccc(C(F)(F)F)cc21 1
                            vitamine(alpha-tocopherol)                                                                                                                         Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2 1
                                          elopiprazole                                                                                                                                        Fc1ccc(-c2ccc(CN3CCN(c4cccc5ccoc45)CC3)[nH]2)cc1 1
                                        metamfepramone                                                                                                                                                                  CC(C(=O)c1ccccc1)N(C)C 1
                                            norcodeine                                                                                                                                                    COc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341 1
                                             etomidate                                                                                                                                                             CCOC(=O)c1cncn1C(C)c1ccccc1 1
                                         ascorbic-acid                                                                                                                                                                  O=C1C(O)=C(O)OC1C(O)CO 1
                                             dazepinil                                                                                                                                                            CC1=Nc2ccccc2CC(c2ccccc2)N1C 1
                                           ceftriaxone                                                                                                     CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1 1
                                             Mianserin                                                                                                                                                            CN1CCN2c3ccccc3Cc3ccccc3C2C1 1
                                         amelometasone                                                                                         CCC(=O)O[C@]1(C(=O)COC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C 1
                                             etazepine                                                                                                                                                         CCOC1c2ccccc2C(=O)N(C)c2ccccc21 1
                                         metampicillin                                                                                                                                         C=NC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1ccccc1 0
                                   thiazesim(tiazesim)                                                                                                                                                    CN(C)CCN1C(=O)CC(c2ccccc2)Sc2ccccc21 1
                                            oxypertine                                                                                                                                           COc1cc2[nH]c(C)c(CCN3CCN(c4ccccc4)CC3)c2cc1OC 1
                                               aspirin                                                                                                                                                                   CC(=O)Oc1ccccc1C(=O)O 1
                                             nalmefene                                                                                                                            C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5 1
                                           metapramine                                                                                                                                                              CNC1Cc2ccccc2N(C)c2ccccc21 1
                                              zolpidem                                                                                                                                                 Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1 1
                                                  cp29                                                                                                                                                                   CCCCCn1ccc(=O)c(O)c1C 1
                                            glaziovine                                                                                                                                               COc1cc2c3c(c1O)C1(C=CC(=O)C=C1)CC3N(C)CC2 1
                                             trazodone                                                                                                                                              O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12 1
     hydrocortisonecypionate(hydrocortisone-cipionate)                                                                                              C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O.O 1
                                           cicortonide                                                                                              CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1C3CC(C#N)=C4C=C(OCCCl)CCC4(C)[C@@]3(F)C(O)CC12C 1
                                             lidocaine                                                                                                                                                              CCN(CC)CC(=O)Nc1c(C)cccc1C 1
                                        Flucloxacillin                                                                                                               Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12 0
                                    4-hydroxymidazolam                                                                                                                                                 Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2O 1
                                       methoxyphedrine                                                                                                                                                                 CNC(C)C(=O)c1ccc(OC)cc1 0
                                              fipexide                                                                                                                                           O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1 1
                                  cefuroxime-pivoxetil                                                                                                       COCCCC(=O)OC(C)OC(=O)C1=C(COC(N)=O)CS[C@@H]2[C@H](NC(=O)/C(=N\OC)c3ccco3)C(=O)N12 0
                                             GR94839_F                                                                                                                                 COc1ccc(CC(=O)N2CCN(C(C)=O)C[C@@H]2CN2CC[C@@H](O)C2)cc1 0
                                           veralipride                                                                                                                                            C=CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc(OC)c1OC 1
                                              rifampin                                                                        COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C(=CNN2CCN(C)CC2)C(=C4O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C 0
                                            tolazamide                                                                                                                                                    Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1 0
                                          fusidic-acid                                                                    CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)[C@H]3[C@@]4(C)CC[C@@H](O)[C@@H](C)[C@@H]4CC[C@@]32C)/C1=C(\CCC=C(C)C)C(=O)O 0
                                              fenimide                                                                                                                                                            CCC1C(=O)NC(=O)C1(C)c1ccccc1 1
                                              SB201708                                                                                                                                         O=C(Cc1ccc(Cl)c(Cl)c1)N1CCn2ccnc2[C@H]1CN1CCCC1 1
                                       oxytetracycline                                                                                  CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12.O.O 0
                                                   11a                                                                                                                                                           CN(C)c1cc(-c2nc(N)n[nH]2)ccn1 0
                                            selegiline                                                                                                                                                               C#CCN(C)[C@H](C)Cc1ccccc1 1
                                            Ranitidine                                                                                                                                               CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1 0
                                            roxoperone                                                                                                                                            CN1C(=O)CC2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O 1
                                           amoxicillin                                                                                                                 CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O.O.O.O 0
                                                Y-G 15                                                                                                                                                                         CN(C)CCc1ccccn1 1
                              metitepine(methiothepin)                                                                                                                                                  CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2 1
                                          cianopramine                                                                                                                                                      CN(C)CCCN1c2ccccc2CCc2ccc(C#N)cc21 1
                                           demecycline                                                                                               CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@H](O)[C@H]3C[C@@H]12 0
                                                    28                                                                                                                                                       c1cc(CN2CCCCC2)cc(OCCCNc2nccs2)c1 1
                                            tampramine                                                                                                                                                CN(C)CCCN1c2ccccc2C(c2ccccc2)=Nc2cccnc21 1
                                            dupracetam                                                                                                                                                        O=C(CN1CCCC1=O)NNC(=O)CN1CCCC1=O 1
                                             biperiden                                                                                                                                                    OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2 1
                                         talampicillin                                                                                                         CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc21 0
                                             erizepine                                                                                                                                                     CN1CCC2=C(CC1)c1ccccc1N(C)c1ccccc12 1
                                           enciprazine                                                                                                                                         COc1ccccc1N1CCN(CC(O)COc2cc(OC)c(OC)c(OC)c2)CC1 1
                                              clodazon                                                                                                                                                CN(C)CCCn1c(=O)n(-c2ccccc2)c2cc(Cl)ccc21 1
                                              pemoline                                                                                                                                                                 NC1=NC(=O)C(c2ccccc2)O1 1
                                            proxorphan                                                                                                                                                  Oc1ccc2c(c1)C13CCN(CC4CC4)C(C2)C1CCOC3 1
                                          fluocinonide                                                                              CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C 1
                                           propranolol                                                                                                                                                             CC(C)NCC(O)COc1cccc2ccccc12 0
                                              fenaclon                                                                                                                                                                    O=C(CCCl)NCCc1ccccc1 1
                                           cetocycline                                                                                                               CC(=O)C1=C(O)[C@@]2(O)C(=O)c3c(c(C)c4ccc(C)c(O)c4c3O)C[C@H]2[C@@H](N)C1=O 0
                                             rifamycin                                             CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C 0
                                                 38480                                                                                                                                                                              CCc1ccccc1 1
                                         cyprenorphine                                                                                                                   COC12C=CC3(CC1C(C)(C)O)[C@@H]1Cc4ccc(O)c5c4[C@]3(CCN1CC1CC1)[C@@H]2O5 1
                                            cloxazolam                                                                                                                                                  O=C1CN2CCOC2(c2ccccc2Cl)c2cc(Cl)ccc2N1 1
                                         sultamicillin                                                                                CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O.CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O 0
                                          clocortolone                                                                                                                    C[C@@H]1CC2C3C[C@H](F)C4=CC(=O)C=CC4(C)[C@@]3(Cl)C(O)CC2(C)C1C(=O)CO 1
                                           etoperidone                                                                                                                                              CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC 1
                                           fenmetozole                                                                                                                                                                Clc1ccc(OCC2=NCCN2)cc1Cl 1
                                          clopenthixol                                                                                                                                             OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1 1
                                               diosmin                                                                COc1ccc(-c2cc(=O)c3c(O)cc(O[C@@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1O 0
                                          fenoxazoline                                                                                                                                                                 CC(C)c1ccccc1OCC1=NCCN1 0
                                            climazolam                                                                                                                                                 Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2 1
                                          enilospirone                                                                                                                                                        CC1OC2(CCCCC2Oc2cccc(Cl)c2)NC1=O 1
                                             lufuradom                                                                                                                                            CN1c2cc(F)ccc2C(c2ccccc2)=NCC1CNC(=O)c1ccoc1 1
