Drug 4523                                                                                                                         Cc1ccc([N+](=O)[O-])c2ccccc12 1
Drug 3989                                                                                                                                     C=CC(=C)CCC=C(C)C 0
Drug 1231                                                                                                                                     C=C[C@@H]1CC=CCC1 0
 Drug 573                                                                                                                           COc1c(C(=O)O)c(O)nc2ccccc12 0
Drug 1748                                                                                CC(C)(C)C1=CC(=CC=C2C=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C2)C=C(C(C)(C)C)C1=O 0
Drug 3856                                                                                                                                          C=C(C=O)CCCC 1
Drug 5472                                                                                                                                              CC(N)CCN 0
Drug 3091                                                                                                                                       Cc1ccccc1C(N)=O 0
Drug 2867                                                                                                      CCN(CC)CCC[C@@H](C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12 1
Drug 3575                                                                                                                         N#Cc1cccc(/C=C/c2ccc(N)cc2)c1 1
Drug 6116                                                                                                                            O=CN(O)c1ccc(-c2ccccc2)cc1 1
Drug 2535                                                                                                                                              CN(C)CCO 0
Drug 2021                                                                                                                                       Cc1cc(O)nc(S)n1 0
Drug 2588                                                                                                                    c1ccc2c(c1)Cc1ccc3ccc4ccccc4c3c1-2 0
Drug 2785                                                                                                         O=[N+]([O-])c1ccc2oc3ccc([N+](=O)[O-])cc3c2c1 1
Drug 3613                                                                                                          O=C(Nc1cccc2c1C(=O)c1cccc(Cl)c1C2=O)c1ccccc1 1
Drug 1733                                                                                                                            c1ccc2[nH]c(-c3cscn3)nc2c1 1
Drug 6184                                                                                                                                          Nc1cccc(O)c1 1
Drug 5541                                                                                                                             COc1ccc(NOS(=O)(=O)O)cc1N 1
Drug 1105                                                                                                                  CCCCCCC(C/C=C/CCCCCCCC(=O)OC)OC(C)=O 0
Drug 1896                                                                                                                       O=[N+]([O-])c1ccc2cccc3c2c1C=C3 1
Drug 3459                                                       C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@@H](OC(=O)COc5ccc(N(CCCl)CCCl)cc5)CC[C@@]43C)[C@@H]1CCC(=O)N2 1
Drug 7040                                                                                                               COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341 0
Drug 5607                                                                                                                         Cc1cc(C)nc(SC(=O)OC(C)(C)C)n1 0
Drug 1227                                                                                                                 CC(=O)/C(=N/O)C(=O)N(c1ccccc1)N(C)N=O 1
Drug 1415                                                                                     O=[N+]([O-])c1ccc2c(c1)nc(/C=N/OCc1ccccc1[N+](=O)[O-])n2Cc1ccccc1 1
Drug 7138                                                                                                                                        C1CCC2CCCCC2C1 0
Drug 5305                                                                                                                     Oc1cc2ccc3cc4ccccc4c4ccc(c1)c2c34 1
Drug 3588                                                                                                                         CC(=O)Nc1ccc(Oc2ccc(N)cc2)cc1 1
Drug 4585                                                                                                                                        CC(Br)c1ccccc1 0
Drug 2042                                                                                                                     CC(=O)N(O)c1ccc(/C=C/c2ccccc2)cc1 1
Drug 3119                                                                                                                                        C1CC2(CCO1)CO2 1
Drug 1065                                                                                                                            CN(C)C1Cc2cccc3cccc(c23)C1 1
Drug 1072                                                                                                                                       Fc1cccc2cccnc12 1
Drug 2565                                                                                                                   Nc1cc2[nH]c3ccccc3c2cc1[N+](=O)[O-] 1
Drug 3488                                                                                                                                      Clc1cccc2ccccc12 1
Drug 1555                                                                                                                                 Nc1cccc2c1-c1ccccc1C2 1
Drug 1509                                                                                                                         Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O 0
 Drug 944                                                                                                              CC12OOC1(COC(=O)Nc1ccc(Cl)cc1)Oc1ccccc12 1
Drug 3285                                                                                                                                      Nc1nc(N)nc(Cl)n1 0
Drug 6243                                                                                                              O=C1OC2C(O)COC2(O)C1(O)Cc1c[nH]c2ccccc12 0
Drug 2202                                                                                                                                     O=NN1CCC(=O)NC1=O 1
Drug 4079                                                                                               Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccccc3)c(O)c12 0
Drug 3041                                                                                       CC(/C=C(\C#N)c1ccc(Cl)c(Cl)c1)C(c1ccccc1)C(C#N)c1ccc(Cl)c(Cl)c1 1
Drug 4941                                                                                                                            Cc1cc2ncccc2c2nc(N)n(C)c12 1
Drug 6188                                                                                                                          N/N=C1\N=NC=C2C=CC=C[C@@H]21 1
Drug 2859                                                                                                                      CCOc1cc2c(c3ccc4ccccc4c13)CCC2=O 0
Drug 2850                                                                                                                                         CCCCCC(=O)OCC 0
Drug 1490                                                                                                                                        C=Cc1ccccc1C=C 0
 Drug 348                                                                                                                           C[C@@H](O)CN(C)c1ccc(NN)nn1 1
Drug 1085                                                                                                                            Nc1ncnc2c1ncn2C1OC(CO)CC1O 1
Drug 6917                                                                                                                          [N-]=[N+]=NCC(O)CN=[N+]=[N-] 1
 Drug 450                                                                                                                    CC(=O)OCc1c2ccccc2cc2ccc3ccccc3c12 1
Drug 5308                                                                                                             CCN(CC)CCNc1ccc2ncn3c4ccc(O)cc4c(=O)c1c23 1
Drug 6281                                                                                                                                 O=C(O)Cc1ccc(O)c(O)c1 1
Drug 1316                                                                                                                                                 CCC=O 0
Drug 1137                                                                                                                                         O=S1(=O)CCCC1 0
Drug 4921                                                                                                                                         CC(=O)C(Cl)Cl 1
 Drug 648                                                                                                                               Oc1cc(Cl)c(Cl)c(Cl)c1Cl 0
Drug 3423                                                                                                                       CC(C)N(C(=O)SC/C(Cl)=C/Cl)C(C)C 1
Drug 3022                                                                                                                                       ClCc1ccc(Br)cc1 0
Drug 2454                                                                                         CN(C)c1ccc(C2CC3(C)C(CCC3(O)/C=C/CO)C3CCC4=CC(=O)CCC4=C23)cc1 0
Drug 1874                                                                                                                         CN1CCc2c1ccc1ccc3ccc(O)cc3c21 1
 Drug 113                                                                                                                                Nc1ccccc1SCCSc1ccccc1N 1
Drug 5281                                                                                                                         O=Nc1cc2c3ccccc3ccc2c2ccccc12 1
 Drug 857                                                                                                                              COc1c(Cl)ccc(Cl)c1C(=O)O 0
 Drug 480                                                                                               COc1ccc(-c2oc3ccccc3c(=O)c2[N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 4897                                                                                                                             Nc1cc([N+](=O)[O-])ccc1CO 1
Drug 2935                                                                                        O=C1c2c(O)ccc(Nc3ccc(CCO)cc3)c2C(=O)c2c([N+](=O)[O-])ccc(O)c21 1
Drug 1782                                                                                                  O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2cccc([N+](=O)[O-])c21 1
Drug 7430                                                                                                                   COc1ccc2c(ccc3c4c(ccc32)C(C)=CC4)c1 1
 Drug 406                                                                                                                  Cc1ccc2cc3c(ccc4ccccc43)c3c2c1C(O)C3 0
Drug 5236                                                                                                                          CCN(CC)c1ccc(N=Nc2ccccc2)cc1 0
Drug 2030                                                                                                                           Cc1ccc2cc3ccc4ccccc4c3cc2c1 1
Drug 4669                                                                                                                         CCCCCCCC(=O)CCc1ccc(O)c(OC)c1 0
Drug 5107                                                                                                                            CCOC(/C=C(/C)CCC=C(C)C)OCC 0
Drug 2134                                                                                                                     CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1 0
 Drug 355                                                                                                                             CN(C)CCCN1C=CN(C)C1/C=N/O 0
Drug 6377                                                                                                                                      O=C(O)c1ccccc1Cl 0
  Drug 13                                                                                                                              Cc1cccc([N+](=O)[O-])c1C 1
Drug 3420                                                                                                                        N=C1CCC(=N)c2c1c(O)c1ccccc1c2O 1
 Drug 821                                                                                                                 O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1 1
Drug 6423                                                                                                                            c1cc(OCC2CO2)cc(OCC2CO2)c1 1
Drug 1364                                                                                           CC(=O)Oc1cc(C=O)cc2c1C(COC(N)=O)C1(OC(C)=O)ON2CC2C1N2C(C)=O 1
Drug 3839                                                                                                                                  NN(c1ccccc1)c1ccccc1 0
Drug 6305                                                                                                                                CC(=O)NC(CSCCCl)C(=O)O 1
Drug 4149                                                                                                              O=NN(CC1(O)CCC(O)C(O)C1O)C(C(=O)O)C(=O)O 0
Drug 4637                                                                                                          O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1 0
Drug 7007                                                                                                                   O=C1C(=O)c2c(ccc3ccccc23)-c2ccccc21 0
Drug 4046                                                                                                                          CNS(=O)(=O)c1ccc(NC(C)=O)cc1 0
Drug 6282                                                                                                                                O=C(CNC(=O)c1ccccc1)NO 1
Drug 2848                                                                                                                                CC(C)(C)c1ccc(O)c(O)c1 0
Drug 1127                                                                                                                    c1cc(OC[C@H]2CO2)cc(OC[C@H]2CO2)c1 1
Drug 5736                                                                                                              O=C(O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 1625                                                                                                                         Cc1ccc2cc([N+](=O)[O-])ccc2c1 1
Drug 2391                                                                                                                       CC(=O)c1ccc2c(c1)C(=O)C1(CC1)O2 0
Drug 3631                                                                                                                        Cc1cccc2c1cc(C)c1c3ccccc3ccc21 1
Drug 3046                                                                                                                                NN(Cc1ccccc1)Cc1ccccc1 0
Drug 3771                                                                                           Cc1oc(=O)oc1CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)c2n3C(C)S2)CC1 0
 Drug 583                                                                                                                                               NC(N)=S 0
Drug 1469                                                                                                                               CC(C)(C#N)N=NC(C)(C)C#N 0
Drug 1796                                                                                                                                    O=S(O)c1ccc(Cl)cc1 0
 Drug 356                                                                                                                         CC12OOC1(C)c1c(ccc3ccccc13)O2 0
Drug 3749                                                                                                                                             CNC(=O)NC 0
Drug 5787                                                                                                                      Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C 0
Drug 3880                                                                                                                         CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O 1
 Drug 555                                                                                                                                         CN(C)C1CCCCC1 0
Drug 2893                                                                                                                           Cc1cnc2ccc3c(nc(NO)n3C)c2n1 1
 Drug 911                                                                                                                                    Oc1cc(Cl)c(O)cc1Cl 0
Drug 2451                                                                                                                                 Fc1cnc2ccc3ccccc3c2c1 1
Drug 5803                                                                                                            CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1 0
 Drug 390                                                                                                                                  Nc1ccc(Sc2ccccc2)cc1 1
Drug 4469                                                                                                                    CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1 0
Drug 4772                                                                                                                  Cc1ccc(N)cc1N=[N+]([O-])c1cc(N)ccc1C 1
Drug 2445                                                                                                                                      CCCC(=O)OCCC(C)C 0
Drug 1788                                                                                                                                           O=C(CCl)NCO 0
Drug 5848                                                                                                                                        Clc1ccc(Cl)cc1 0
Drug 1695                                                                                                                       C[n+]1cccc2c1C=C[C@H]1O[C@@H]21 1
 Drug 593                                                                                          Nc1cc(N)c(N=Nc2ccc(S(N)(=O)=O)cc2)cc1N=Nc1ccc(S(N)(=O)=O)cc1 1
Drug 3729                                                                                                                Cc1ccc(S(=O)(=O)n2ncc(Cl)c(Cl)c2=O)cc1 0
Drug 5142                                                                                                                                         O=NN1CCCCCCC1 1
Drug 5650                                                                                                                    c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12 1
Drug 6724                                                                                                             COc1cc2c(c3oc(O)c4c(O)ccc-4c13)C1C=COC1O2 1
Drug 6985                                                                                                                                   Brc1ccccc1-c1ccccc1 0
Drug 2645                                                                                      COc1cc2c(c3oc(=O)c4c(c13)[C@@H](O)C[C@@H]4O)[C@@H]1C=CO[C@@H]1O2 1
Drug 3202                                                                                                   O=C(CCCl)/N=c1\sn(C(=O)CCCl)c2ccc([N+](=O)[O-])cc12 1
Drug 2750                                                                                                                              CC(=O)Nc1cccc(N)c1C(=O)O 1
Drug 3762                                                                                                                                      Cc1ccc(C)c(C)c1C 0
Drug 2717                                                                                                                                           BrCC(Br)CBr 1
Drug 1236                                                                                                                                   C=CCc1ccc(O)c(OC)c1 0
Drug 6972                                                                                                                        NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O 0
Drug 7229                                                                                                                 CCN1c2cc(N)ccc2-c2ccc(N)cc2C1c1ccccc1 1
Drug 6214                                                                                                                        Cc1cc(N)c(C)c([N+](=O)[O-])c1N 1
Drug 1801                                                                                                                    COP(=O)(OC)C(OC(=O)CCl)C(Cl)(Cl)Cl 0
Drug 7270                                                                                                                                 c1ccc2cc(C3CO3)ccc2c1 1
Drug 2603                                                                                                                                        O=C1CCC(=O)N1O 0
Drug 4782                                                                                                                               Nc1ccc2c(no[n+]2[O-])n1 1
Drug 5046                                                                                                                         Oc1ccc(/C=N/c2snc3ccccc23)cc1 1
Drug 4747                                                                                                         CC(=O)/N=c1\sn(C(C)=O)c2ccc([N+](=O)[O-])cc12 1
Drug 4148                                                                                                                                       Nc1ccc(O)c(N)c1 1
Drug 1309                                                                                                              CN(N=O)C(=O)c1c(N(C)C(=O)OC(C)(C)C)ncn1C 1
Drug 7563                                                                                                  CCN(CC)c1ccc2c(c1)Oc1cc(N(CC)CC)ccc1C2c1ccccc1C(=O)O 1
Drug 4658                                                                                                     CCCC[C@@H](CC)COP(OC[C@H](CC)CCCC)OC[C@H](CC)CCCC 0
Drug 4437                                                                                                                  c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56 1
Drug 2528                                                                                                                          CC(N)(Cc1ccc(O)c(O)c1)C(=O)O 0
Drug 6066                                                                                                                 CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O 0
 Drug 906                                                                                                                             CCCCCCCCCCCCCCCC[C@H]1CO1 0
Drug 4957                                                                                                          CC1(C(Cl)Cl)C2C(Cl)C(Cl)C1(C(Cl)Cl)C(Cl)C2Cl 0
 Drug 399                                                                                                         O=C(Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1)C(F)(F)F 1
 Drug 588                                                                                                                                       C=CCN(CC=C)CC=C 0
Drug 1066                                                                                                                                     CCc1cccc(CC)c1N=O 1
 Drug 727                                                                                                                                             O=C(CO)CO 1
Drug 2414                                                                                                                           Nc1ccc(/C=C/c2ccc(N)cc2)cc1 1
Drug 4403                                                                                                             Cc1cccc2c1cc(C)c1c3c(ccc12)C(O)C(O)C1OC31 1
Drug 3704                                                                                                                      Cc1nc(-c2ccc([N+](=O)[O-])o2)cs1 1
 Drug 485                                                                                                                               CC(C)(C)OOC(=O)c1ccccc1 1
Drug 6192                                                                                                                                      NNc1nncc2cnccc12 1
Drug 6665                                                                                                                              [N-]=[N+]=C1C=CC(=O)C=C1 1
Drug 3462                                                                                                               O=C(Nc1ccc(Cl)cc1)c1csc([N+](=O)[O-])c1 1
Drug 5033                                                                                                    O=[N+]([O-])c1cc([N+](=O)[O-])c2ccc3cccc4ccc1c2c43 1
Drug 6354                                                                                                                            Cc1ccc([N+](=O)[O-])c(N)c1 0
Drug 5206                                                                                                                       CCCCc1ccc(/N=C\c2ccc(OC)cc2)cc1 1
Drug 6664                                                                                                                       CC(O)c1cc2ccc3cccc4ccc(c1)c2c34 1
Drug 1573                                                                                                                             OC1C=Cc2c(ccc3cccnc23)C1O 1
Drug 1013                                                                                                                          OC1c2cccc3ccc4cccc(c4c23)C1O 0
Drug 5618                                                                                                                   Nc1ccc2[nH]c3ccccc3c2c1[N+](=O)[O-] 1
Drug 2632                                                                                                                           Cc1cccc2c1ccc1c3ccccc3ccc21 1
Drug 3159                                                                                                                                         CSCC(N)C(=O)O 0
Drug 6589                                                                                                                                                CC1CO1 1
Drug 1961                                                                                                                                     NC(=O)c1ccc(N)cc1 0
 Drug 845                                                                                                                                    O=NN1CC[C@@H](O)C1 1
Drug 7034                                                                                                                     O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O 0
Drug 1266                                                                                                                               Nc1c2c(nc3ccccc13)CCCC2 1
Drug 5085                                                                                                                 O=Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-] 1
Drug 3627                                                                                                                                             CCCCCCCCO 0
Drug 4776                                                                                                                              CC(=O)CC(=O)Nc1ccc(C)cc1 0
Drug 6654                                                                                                   O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)C(O)C(O)C=C4 1
Drug 1198                                                                                                                                OCCOc1cc(Cl)c(Cl)cc1Cl 0
Drug 7070                                                                                                                            CCCCCCCCCCC=CC1CC(=O)OC1=O 0
Drug 2455                                                                                                                         Cc1cnc2cc(C)c3c(nc(N)n3C)c2n1 1
Drug 7552                                                                                                                COP(=O)(OC)O/C(C)=C/C(=O)OC(C)c1ccccc1 0
Drug 2726                                                                          CSCC(NC(=O)COc1cccc2cnccc12)C(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSCC1C(=O)NC(C)(C)C 0
 Drug 443                                                                                                           COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1C=COC1O2 1
Drug 4850                                                                                                                                     O=C(CBr)Nc1ccccc1 0
Drug 6587                                                                                                                                             ClC(Cl)Br 1
Drug 2097                                                                                                                         BrCc1ccc2cccc3c2c1-c1ccccc1-3 1
Drug 1356                                                                                                                                         CCCCCCCC(=O)O 0
Drug 6646                                                                                                                                    CC(=O)Nc1cccc(N)c1 1
Drug 3441                                                                                                                                           OCCN1CCNCC1 0
Drug 7148                                                                                                    CC(=O)OC1C(O)C2OC3CC(C)C(=O)C(=O)C3(CO)C1(C)C21CO1 0
Drug 1117                                                                                                                                     FC(F)(F)C(F)(F)Cl 0
Drug 2366                                                                                                                                O=C1OC(=C(Cl)Cl)C=C1Cl 1
Drug 4358                                                                                                                          C[C@@H](O)CN(C[C@H](O)CO)N=O 1
Drug 4902                                                                                                                         CCCCCN(N=O)C(=N)N[N+](=O)[O-] 1
Drug 1838                                                                                      N=C(N)NN=C(/C=C\c1ccc([N+](=O)[O-])o1)/C=C\c1ccc([N+](=O)[O-])o1 1
Drug 6096                                                                                                                                CC(=O)CC(=O)Nc1ccccc1C 0
Drug 3049                                                                                                                                        Oc1nc2ccccc2o1 0
Drug 1985                                                                                                                             Nc1c2ccccc2nc2ccc(Cl)cc12 1
Drug 4548                                                                                                                   CN1CC(CBr)CC2c3cccc4[nH]cc(c34)CC21 1
Drug 1633                                                                                      C/C=C1/C[C@H](C)[C@@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@H]23 1
Drug 5130                                                                                                                                  C/C=C/c1ccc(OC)cc1OC 0
Drug 3472                                                                                                             CC(=O)Nc1cc(N=Nc2ccc(C)c(NC(C)=O)c2)ccc1C 0
 Drug 894                                                                                                            O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1 1
Drug 6772                                                                                                             CCCCN(CC(O)C1=CC(=[N+]=[N-])C(=O)C=C1)N=O 1
 Drug 616                                                                                                                                                CCCCOO 1
Drug 2701                                                                                                                   CC(=O)Nc1ccc(N=Nc2ccc(N(C)C)cc2)cc1 1
Drug 1739                                                                                                                          NC(=O)c1cccc([N+](=O)[O-])c1 1
 Drug 377                                                                                                           CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1 0
 Drug 682                                                                                                                        CC1c2ccccc2N(C)C2=Nc3ccccc3C21 1
 Drug 345                                                                                                      Nc1cc([N+](=O)[O-])c(-c2ccccc2)c([N+](=O)[O-])c1 1
Drug 5358                                                                                                                 O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl 1
Drug 1011                                                                                                                                              CC(O)C#N 0
Drug 4742                                                                                                              NC(CCC(=O)NC(CSCCCl)NC(=O)CC(=O)O)C(=O)O 1
Drug 3455                                                                                                                                         NCCNCCNCCNCCN 1
Drug 6970                                                                                                                                       CCCCCCCCCCC1CO1 0
Drug 4142                                                                                                                                         Cc1nnc(O)nc1O 0
Drug 2101                                                                                                                                             CCOCCOCCO 0
Drug 1171                                                                                                                             Nc1ccccc1C(=O)CC(N)C(=O)O 0
Drug 6926                                                                                                                                O=C1CC(=O)c2ccccc2C1=O 1
Drug 4489                                                                                                                                          Clc1ccccc1Cl 0
Drug 6147                                                                                                                                             ClCCOCCCl 1
Drug 1318                                                                                                               OC1C=Cc2c(ccc3cc4c(ccc5ccccc54)cc23)C1O 1
Drug 6572                                                                                                             Cc1cc(C(=C2C=CC(=N)C=C2)c2ccc(N)cc2)ccc1N 1
Drug 2039                                                                                                                                          N#CCc1ccccc1 0
Drug 4007                                                                                                                        O=C(O)/C(Cl)=C(\C(=O)O)C(Cl)Cl 1
 Drug 900                                                                                                                                        C[N+](C)(C)CCO 0
Drug 6933                                                                                                                          [N-]=[N+]=CC(=O)OCC(N)C(=O)O 1
 Drug 830                                                                                                                          Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl 0
Drug 1252                                                                                                              O[C@@H]1C=Cc2c(ccc3cc4ccccc4cc23)[C@H]1O 1
Drug 2250                                                                                                                                       O=C(O)c1ccccc1O 0
Drug 4429                                                                                                                 CC(=O)ON(OCc1ccc(Cl)cc1)C(=O)c1ccccc1 1
 Drug 836                                                                                                                          ClCc1c2ccccc2c(CCl)c2ccccc12 1
Drug 3019                                                                                                                                    CCCCCCc1ccc(O)cc1O 0
Drug 1640                                                                                                                            Cc1cc(C)c2c(ccc3ccccc32)c1 1
Drug 5210                                                                                                            CC1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(O)C3 0
Drug 4361                                                                                                                    C=C1C(=O)OC2C1CCC(C)C1C=CC(=O)C12C 0
Drug 6415                                                                                                                                          CCCN(CCC)N=O 1
Drug 7123                                                                                                                                 OC1CC23C=CC=CC2(C1)O3 0
Drug 6947                                                                                                                           O=C1COP(=O)(N(CCCl)CCCl)OC1 1
 Drug 674                                                                                                                      CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21 0
 Drug 618                                                                                                                      Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1 0
Drug 1736                                                                                                                               Cc1cccn2c1nc1ccc(N)nc12 1
Drug 1094                                                                                           O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12 1
Drug 1692                                                                                                                    c1ccc2c(c1)ccc1cc3ccc4ccccc4c3cc12 1
Drug 2975                                                                                                                  c1ccc2c(c1)ccc1[nH]c3ccc4ccccc4c3c12 1
Drug 6994                                                                                                                        COc1ccc2cccc3c2c1C(=O)N(C)C3=O 0
Drug 4462                                                                                                                                 OC1c2ccccc2Oc2ccccc21 1
Drug 1708                                                                                                                     Nc1nc(=O)n(C2CC(O)C(CO)O2)cc1CCCl 0
 Drug 135                                                                                                                      O=[N+]([O-])c1cccc(S(=O)(=O)O)c1 0
Drug 1112                                                                                                                                CC(OP(C)(=O)F)C(C)(C)C 0
 Drug 454                                                                                                                                           CC(C)(O)C#N 0
Drug 3533                                                                                                                         c1ccc(P(c2ccccc2)c2ccccc2)cc1 0
Drug 6118                                                                                                   CCOC(=O)c1[nH]c2ccccc2c1/N=C/c1ccc([N+](=O)[O-])cc1 1
Drug 1138                                                                                                                 CCc1cc2ccccc2c2ccc3c(c12)C1OC1C(O)C3O 1
Drug 2782                                                                                                                                   CNP(=O)(N(C)C)N(C)C 1
Drug 5496                                                                                                                      CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O 0
Drug 5854                                                                                                                                     O=C(Cl)c1ccccc1Cl 1
Drug 3814                                                                                                                 Nc1cc2c(cc1[N+](=O)[O-])[nH]c1ccccc12 1
Drug 6956                                                                                                                                          NC(=O)CC1CO1 1
Drug 4499                                                                                                                                CC1(O)CC2CCC1(C)C2(C)C 0
Drug 3564                                                                                                                              Nc1ccc(/C=C/c2ccccc2)cc1 1
Drug 6816                                                                                                                          COC(=O)C12OC1(C)C(C)(O)NC2=O 1
 Drug 329                                                                                                        CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC 0
Drug 1129                                                                                                                          C1=C[C@@H]2O[C@@H]2c2ncccc21 1
Drug 4522                                                                                                                    O=C/C=C/C=C/c1ccc([N+](=O)[O-])cc1 1
Drug 4085                                                                                                                                        CCC(=O)C(=O)CC 1
Drug 7102                                                                                                                     CCC1(CC(=O)O)OCCc2c1n(C)c1ccccc21 0
 Drug 195                                                                                                                          CCCCOC(=O)c1ccccc1C(=O)OCCCC 0
Drug 2163                                                                                                             O=Nc1ccc2ccc3ccc([N+](=O)[O-])c4ccc1c2c34 1
Drug 1288                                                                                                              O=C(O)CSc1ccc2c3c(cccc13)C(=O)c1ccccc1-2 1
Drug 3871                                                                                                                         BrCc1cccc2c1-c1cccc3cccc-2c13 1
Drug 4822                                                                                                                                       Cc1ccnc2ccccc12 1
Drug 2038                                                                                                                                    CCCCCCCC1CCC(=O)O1 0
Drug 1253                                                                                                                           ClCc1c2ccccc2c(Cl)c2ccccc12 1
Drug 5606                                                                                                                         CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O 0
Drug 4268                                                                                                                                    C=CCc1ccc(O)c(O)c1 1
Drug 1165                                                                                                                                       CC(=O)OCN(C)N=O 1
Drug 2113                                                                                                                      CC(=O)Nc1ccc2c(c1)Cc1cccc(O)c1-2 1
Drug 6022                                                                                                                                 COC(=O)C1=CCCN(N=O)C1 1
