Drug 5999                                                                                                                                                     CCn1c(N)nc2c3cccnc3cc(C)c21 1
Drug 2808                                                                                                                                                           [O-][n+]1cc2ccncc2cn1 0
 Drug 897                                                                                                                                                                     ClC=C(Cl)Cl 0
Drug 6615                                                                                                                                                                   CC(O)c1ccccc1 0
 Drug 670                                                                                                                                                     Cc1c2ccccc2cc2ccc3ccccc3c12 1
Drug 1379                                                                                                                                                           Cc1cccc2nc(O)c(O)nc12 1
Drug 4562                                                                                                                                                  O=C1c2ccccc2C(=O)c2c1ccc(O)c2O 1
Drug 5341                                                                                                                                                 CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21 0
Drug 1010                                                                                                      Nc1c(S(=O)(=O)O)cc(Nc2cccc(S(=O)(=O)CCOS(=O)(=O)O)c2)c2c1C(=O)c1ccccc1C2=O 1
Drug 1156                                                                                                                                                   Cc1c(N=O)c(=O)n(-c2ccccc2)n1C 1
Drug 2478                                                                                                                                   Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C 0
Drug 5235                                                                                                                              OC[C@H]1O[C@@H](n2cnc3c(NO)ncnc32)[C@H](O)[C@@H]1O 1
Drug 6085                                                                                                                                  CN=C1C=CC(=C(c2ccc(NC)cc2)c2ccc(N(C)C)cc2)C=C1 0
Drug 5216                                                                                                                                           O=C(Nc1ccccc1Br)c1csc([N+](=O)[O-])c1 1
Drug 1825                                                                                                                                   CCc1c(O)ccc2c3c([nH]c12)[C@](CC)(CC(=O)O)OCC3 1
Drug 1899                                                                                                                                                                   Cc1c(O)cccc1O 0
Drug 2488                                                                                                                                              O[C@@H]1Cc2cc3cccc4ccc5ccc1c2c5c43 1
Drug 3149                                                                                                                Cc1c(/C=N/OCc2ccc(Cl)cc2Cl)c2cc([N+](=O)[O-])ccc2n1Cc1ccc(Cl)cc1 0
Drug 3180                                                                                                                                              Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1 0
 Drug 444                                                                                                           CC(C)CCCC(C)C1CCC2C3CC4N(N5C(=O)c6ccccc6C5=O)C45CC(Cl)CCC5(C)C3CCC12C 0
 Drug 943                                                                                                                                                               C[N+](C)(C)CC1CO1 1
Drug 1269                                                                                                            C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C 0
Drug 5942                                                                                                                           CC(C)(C)NC(=O)C1CCC2C3CC=C4C=C(C(=O)O)CCC4(C)C3CCC12C 0
Drug 2143                                                                                                                                                CC(C)=CCOc1c2occc2cc2ccc(=O)oc12 1
 Drug 563                                                                                                                                                                       CCCCCCCCC 0
Drug 5903                                                                                                                                           Cl/C=C(\Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl 0
Drug 6992                                                                                                                                                                  CC=[N+]([O-])O 0
Drug 1338                                                                                                                                                                   C[C@@H](O)CCl 1
Drug 5244                                                                                                                                                  C[C@H](I)[C@@H]1OC[C@@H](CO)O1 1
 Drug 654                                                                                                                                                                   CCCCCCCCCCCCO 0
Drug 5192                                                                                                                                             CC(C)OC(=O)C[C@@](O)(CC(=O)O)C(=O)O 0
Drug 5370                                                                                                                                     COC(=O)[C@]1(C(N)=O)O[C@@]1(C)[C@H](O)C(C)C 1
 Drug 775                                                                                                                                                               CNc1ccc2ncccc2c1N 0
Drug 2580                                                                                                                                                 Cc1ccc([N+](=O)[O-])c(C(=O)O)c1 1
  Drug 67                                                                                                                                                              Fc1ccccc1-c1ccccc1 0
 Drug 613                                                                                                                                                 Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C 1
Drug 4353                                                                                                                                          O=C1C=C2c3cc4ccccc4cc3-c3cccc(c32)C1=O 1
Drug 2790                                                                                                                                                  Oc1ccc(O)c2c(O)c3ccccc3c(O)c12 1
Drug 5379                                                                                                           COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)CC(C)O1 1
 Drug 861                                                                                                                                                                     CCCCCNCCCCC 0
Drug 4443                                                                                                                                                                            NCCO 0
 Drug 570                                                                                                                                      CCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCC 0
Drug 3884                                                                                                                                                              ClC(Cl)C(Cl)(Cl)Cl 0
Drug 7526                                                                                                                                             c1ccc2c(c1)ccc1c3ccccc3c(C3CO3)cc21 1
Drug 1508                                                                                                                                            CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1 0
Drug 1780                                                                                                                                          CCOc1ccc(N=[N+]([O-])c2ccc(OCC)cc2)cc1 0
Drug 6832                                                                                                                                                        N=C1CC(=O)C(=O)c2ccccc21 1
  Drug 53                                                                                                                                                      Cc1cc(N)c(S(=O)(=O)O)cc1Cl 0
 Drug 474                                                                                                                                O=[N+]([O-])c1ccccc1SS/C(Cl)=C(\Cl)C(Cl)=C(Cl)Cl 1
Drug 2258                                                                                                                                     C=CC1(C)CC(O)C2(C)C(CCC3C4(C)CCCC32OC4=O)C1 0
 Drug 312                                                                                                                  Nc1ncnc2c1nc(-c1ccc([N+](=O)[O-])cc1)n2-c1ccc([N+](=O)[O-])cc1 1
Drug 7263                                                                                                                                   CC1CC2OC(=O)C3(C)C2C(OC3(C)O)C2(C)C(=O)C=CC12 0
 Drug 102                                                                                                                                   Nc1c(O)cc(Cc2cc(Cl)c(N)c(OS(=O)(=O)O)c2)cc1Cl 0
Drug 1620                                                                                                                                                                             CBr 1
 Drug 975                                                                                                                                                              Nc1ccc2snc(Cl)c2c1 1
 Drug 418                                                                                                                                                            CC(=O)c1ccc2ccccc2c1 0
Drug 3140                                                                                                                                                            O=Nn1cnc(CC(=O)NO)c1 1
Drug 6727                                                                                                                                                                     C1CCC2OC2C1 1
Drug 1455                                                                                                                                                         O=C(O)c1cc(O)c(O)c(O)c1 0
Drug 2670                                                                                                                                             CC(C)CCCCCOC(=O)Cc1cc(Cl)c(Cl)cc1Cl 0
Drug 4721                                                                                                                                                                    CC[C@H](O)CN 0
Drug 5156                                                                                                                                             C1=Cc2c(ccc3nc4ccc5ccccc5c4cc23)CC1 1
Drug 1769                                                                                                                                                           CC1c2ccccc2-c2ccccc21 1
Drug 2073                                                                                                                                                            CCCCCCOC(=O)c1ccccc1 0
Drug 2573                                                                                                                                                  OCc1ccc2c(c1)-c1cccc3cccc-2c13 1
Drug 6993                                                                                                                                                  CCCC(C)(COC(N)=O)COC(=O)NC(C)C 0
Drug 1697                                                                                                                                            Cc1cc2ncccc2c2nc(N=[N+]=[N-])n(C)c12 1
Drug 2087                                                                                                                                                        c1cc2sncc2cc1OC[C@H]1CO1 1
 Drug 907                                                          CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@H]4[C@H](C)CCCC(C)C)[C@@H]3C[C@@H]3N(N4C(=O)c5ccccc5C4=O)[C@@]32C1 1
Drug 5301                                                                                                                                                            CC(Br)C(=O)NC(C)(C)C 0
Drug 2552                                                                                                                                        CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O 0
Drug 6784                                                                                                                                     COc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(=O)C2=O 1
Drug 5137                                                                                                                                                         C(=C/c1ccccc1)\c1ccccc1 0
Drug 2623                                                                                                                                                          CC1=CC(C)(C)Nc2ccccc21 0
Drug 4864                                                                                                                                                  O=C/C=C/c1ccc([N+](=O)[O-])cc1 1
Drug 1311                                                                                                                                                   O=C(/C=C/c1ccccc1)c1ccc(F)cc1 0
Drug 3294                                                                                                                                                    Cc1cccc2c1ccc1cc(C(C)C)ccc12 0
Drug 2972                                                                                                                                                          NC(CSC(=O)NCCCl)C(=O)O 1
Drug 5847                                                                                                                                                              O=C(O)c1cccc(Cl)c1 0
 Drug 413                                                                                                                                O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O 0
Drug 6911                                                                                                                                                           OCCN1CN(CCO)CN(CCO)C1 1
Drug 5154                                                                                                                                                  O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl 0
 Drug 808                                                                                                                                                                 Cc1ccc(C)c(O)c1 0
 Drug 820                                                                                                                                                         CCCCCCCCCCCCCC[C@H]1CO1 0
Drug 6408                                                                                                                                                           Clc1cccc2c1oc1ccccc12 0
Drug 5623                                                                                                                                               CC[C@@H](C)Nc1ccc(N[C@H](C)CC)cc1 0
 Drug 807                                                                                                                                                             COc1cc(C(C)=O)ccc1O 0
Drug 4412                                                                                                                                                            C=C(C)C1CCC2(C)OC2C1 0
Drug 3673                                                                                                                                                          O=C/C(Cl)=C(\Cl)C(=O)O 1
Drug 5333                                                                                                                                                               COC(=O)C(N)CSCCCl 1
Drug 6706                                                                                                                                                                 [O-][N+](O)=CCl 1
Drug 1377                                                                                                                                                                   ClC(Cl)(Cl)Br 1
Drug 4144                                                                                                                                                           O=CC(O)C(O)C(O)C(O)CO 0
Drug 3566                                                                                                                                   O=[N+]([O-])c1ccc2ccc3cc4c(c5ccc1c2c35)CCCC4O 1
Drug 3381                                                                                                                                                    Cc1cccc(C)c1NC(=O)CN1CCCC1=O 0
Drug 3820                                                                                                                                                     O=C(O)c1ccc2c(c1)C(=O)OC2=O 0
Drug 1475                                                                                                                                                  COP(=O)(OC)[C@H](O)C(Cl)(Cl)Cl 1
Drug 5739                                                                                                                                                            Oc1c2ccccc2nc2occc12 0
Drug 5098                                                                                                                                                                     C=CC1(C)CO1 0
Drug 7022                                                                                                                                          C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC 0
Drug 4495                                                                                                                                         O=C(c1ccccc1)N(O)c1ccc2c(c1)Cc1ccccc1-2 1
Drug 4163                                                                                                                                                        CC(CN=[N+]=[N-])c1ccccc1 1
Drug 2320                                                                                                                                                                COc1ccc(N)c(C)c1 1
Drug 1553                                                                                                                                                             CC(C)=CCC/C(C)=C/CO 0
  Drug 36                                                                                                                                        O=[N+]([O-])c1ccc2c(c1)-c1cccc3cccc-2c13 1
Drug 5198                                                                                                                                                                  CC1CCN(N=O)CC1 1
 Drug 661                                                                                                                                                                     Nc1nc[nH]n1 0
Drug 2347                                                                                                                                                CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O 1
Drug 6059                                                                                                                                                             CCOC(=O)C(Cl)C(C)=O 0
Drug 4332                                                                                                                                          CC(=O)OC(OC(C)=O)c1ccc([N+](=O)[O-])o1 1
Drug 5577                                                                                                                                               CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1 0
Drug 5299                                                                                                                                                                 O=Cc1ccc(Cl)cc1 0
Drug 4060                                                                                                                                                            Cn1cncc1[N+](=O)[O-] 1
Drug 1107                                                                                                                                                                      CCCCCCCCBr 0
Drug 3639                                                                                                                                                                         C/C=C/C 0
Drug 2953                                                                                                                              CC(C)CCCC(C)C1CCC2C3CC(O)C4(O)CC(O)CCC4(C)C3CCC12C 1
Drug 3815                                                                                                                                       Cc1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O 1
Drug 3025                                                                                                                                                           CCCCOC(=O)c1ccc(N)cc1 0
Drug 1259                                                                                                                                             CNc1ccc(N=Nc2ccc(N(C)C(C)=O)cc2)cc1 1
Drug 2413                                                                                                                                                                    Cl[C@@H]1CO1 1
Drug 1583                                                                                                                                        O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1/C=C/Br 0
Drug 4211                                                                                                                            COC(=O)C1=C(C)N=C(C)C(=C(O)OC)C1c1ccccc1[N+](=O)[O-] 0
Drug 6898                                                                                                          NC(CCC(=O)NC(CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])C(=O)NCC(=O)O)C(=O)O 1
Drug 2267                                                                                                                                          CCC(=O)N(c1ccc(Cl)c(Cl)c1)C1CCCC1N(C)C 0
Drug 4560                                                                                                                                                Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1 1
Drug 4252                                                                                                                                                 COc1cc(N[C@H](C)CCCN)c2ncccc2c1 1
 Drug 663                                                                                                         [N-]=[N+]=Nc1ccc2c(Nc3ccc(NS(=O)(=O)CCCN)cc3)c3cc(N=[N+]=[N-])ccc3nc2c1 1
Drug 4804                                                                                                                                                       Cc1ccc2nsc(NC(=O)CCl)c2c1 1
 Drug 849                                                                                                                                                c1cc2ccc3nc4ccccc4c4ccc(c1)c2c34 1
Drug 4912                                                                                                                                               CCCOc1cc2c(c3ccc4ccccc4c13)CCC2=O 0
Drug 3953                                                                                                                                                 C[C@@H]1CCc2c1ccc1c2ccc2ccccc21 1
Drug 3113                                                                                                                                                               C=C(C)C(=O)OC(C)C 0
 Drug 214                                                                                         CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccc(C)cc3C)c(Cl)c2)cc1Cl)C(=O)Nc1ccc(C)cc1C 0
Drug 5694                                                                                                                                                     CC(=O)NS(=O)(=O)c1ccc(N)cc1 0
 Drug 517                                                                                                                                                         Nc1ccc([N+](=O)[O-])cc1 1
 Drug 804                                                                                                                                                                    Cc1ccc(C)cc1 0
Drug 6914                                                                                                                                                            N=P(O)(O)N(CCCl)CCCl 1
Drug 1823                                                                                                                              O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21 1
Drug 3516                                                                                                                                                       CCOC(=O)c1ccc(N(O)C=O)cc1 0
Drug 4247                                                                                                                                                           Nc1ccc2cc3ccccc3nc2c1 1
Drug 4688                                                                                                                                                         Oc1ccc(-c2ccc(O)cc2)cc1 0
Drug 3865                                                                                                                                           CCOC(=O)C[C@@H](SP(=O)(OC)OC)C(=O)OCC 0
Drug 5418                                                                                                                                                             Cc1ccc(N=NN(C)C)cc1 1
Drug 2594                                                                                                                                                             [N-]=[N+]=NCCC(=O)O 1
 Drug 938                                                                                                                                                                       CCCCCON=O 1
Drug 2875                                                                                                                                                   BrCc1c2ccccc2cc2ccc3ccccc3c12 1
Drug 3793                                                                                                                                    CCCCCCCCCCCCCC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2 1
Drug 5148                                                                                                                                                                   Cc1ccc(Cl)cc1 0
Drug 4591                                                                                                                      CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(=[N+](CC)CC)cc-3oc2c1 0
Drug 1776                                                                                                                                                    CCOCN(C(=O)CCl)c1c(C)cccc1CC 0
Drug 4905                                                                                                                                                              Clc1nc2ccccc2nc1Cl 0
Drug 6775                                                                                                                                                               CCCCC(CC)COCC1CO1 1
Drug 5531                                                                                                                                                                  OC[C@H](Br)CBr 1
Drug 3621                                                                                                           CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@H]2C[C@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21 0
Drug 5095                                                                                                                                                              Oc1[nH]cnc2nncc1-2 0
Drug 2512                                                                                                                                                                NCC(=O)Nc1ccccc1 1
Drug 1319                                                                                                                                                                 C[N+](C)(C)CCCl 0
 Drug 646                                                                                                                                                    CN(C)c1ccc(N=Nc2ccccc2CO)cc1 1
Drug 5132                                                                                                                                                   Cc1cccc2ccc([N+](=O)[O-])cc12 1
 Drug 237                                                                                                                                                            CNC(=O)CSP(=S)(OC)OC 1
Drug 1052                                                                                                                                                  Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1 0
 Drug 639                                                                                                                                             Nc1c([N+](=O)[O-])cccc1[N+](=O)[O-] 1
Drug 2857                                                                                                                                                             COS(=O)(=O)C(F)(F)F 1
 Drug 448                                                                                                                                        O=c1c2c(O)cccc2oc2cc3c(c(O)c12)C1CCOC1O3 0
Drug 1852                                                                                                                                                                          CC(C)S 0
Drug 4105                                                                                                                                           CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1 0
Drug 1598                                                                                                                               O=C(CBr)c1oc([N+](=O)[O-])c(-c2ccccc2)c1-c1ccccc1 1
Drug 2651                                                                                                                                                           Nc1cccc2c1ccc1ccccc12 1
 Drug 590                                                                                                                                              COc1cc(OC)c2c(=O)c3cc(OC)ccc3oc2c1 1
Drug 5708                                                                                                                                            Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2 0
Drug 5405                                                                                                                                                                 CC(=O)/C(C)=N\O 0
  Drug 58                                                                                                 Cc1cc(O)c2c(c1)C(=O)c1c(c(O)cc(O)c1-c1c(O)cc(O)c3c1C(=O)c1cc(C)cc(O)c1C3=O)C2=O 0
Drug 7020                                                                                                                                                          [O-][N+](O)=C=Cc1ccco1 0
Drug 3804                                                                                                                                       COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1CCOC1O2 1
Drug 6785                                                                                                                                        CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O 1
 Drug 976                                                                                                                                                 CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1 0
Drug 6454                                                                                                                                                                 CCSCCC(N)C(=O)O 0
Drug 6058                                                                                                                                                         CN(CCCC(=O)c1cccnc1)N=O 1
Drug 3241                                                                                                                                                                  CCNc1cccc(O)c1 1
 Drug 183                                                                                                                                                                 Cc1ccc(N)c(C)c1 1
 Drug 788                                                                                                                                                                     Cn1ccnc1N=O 1
Drug 3726                                                                                                                                                               COc1ccc(C=O)cc1OC 0
Drug 5775                                                                                                                                                                      C=C(Br)CCl 1
Drug 7289                                                                                            COc1ccc2c3c([nH]c2c1)C1CC2C(CN1CC3)C(OC(=O)/C=C/c1cc(OC)c(OC)c(OC)c1)CC(OC)C2OC(C)=O 0
Drug 3342                                                                                                                                                          NC(Cc1ccc(O)cc1)C(=O)O 0
Drug 7236                                                                                                                                  Cc1cc(O)ccc1OP(=O)(Oc1cc(O)ccc1C)Oc1c(C)cccc1O 0
Drug 3356                                                                                                                                                   CC(C)(C)CCCCCC(=O)OC[C@H]1CO1 1
 Drug 874                                                                                                                                         O=S(=O)(O)c1ccc2cc(O)c(S(=O)(=O)O)cc2c1 0
Drug 5435                                                                                                                                                                  Cc1ccc(Cl)cc1N 0
Drug 6988                                                                                                                                                CC(C)=CCC1C(=O)C(=O)c2ccccc2C1=O 0
Drug 2242                                                                                                                                                               Cc1ccc2nsc(N)c2c1 1
Drug 1637                                                                                                                                              CN(C)c1ccc(N=Nc2ccc3[nH]ncc3c2)cc1 1
Drug 5443                                                                                                                CC/C(=C(/c1ccc(OCCN(C)C)cc1)c1ccc(OP(=O)(O)O)cc1)c1ccc(C(C)C)cc1 0
Drug 4711                                                                                                                                           CCCCCOC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 5747                                                                                                                                            Cc1cc2ccccc2c2ccc3c(c12)C1OC1C(O)C3O 1
Drug 3052                                                                                                                      O=[N+]([O-])c1ccc2c3c(c4c([N+](=O)[O-])ccc5ccc1c2c54)CCCC3 1
Drug 3913                                                                                                                                                             O=C(Cl)c1ccc(Cl)cc1 0
Drug 5249                                                                                                                                                CC1(C)CCCC2(C)C(C=O)C(C=O)=CCC12 0
Drug 3908                                                                                                                                    O[C@H]1C=Cc2ccc3nc4ccc5ccccc5c4cc3c2[C@@H]1O 1
Drug 2461                                                                                                                                                         CCOC(=O)N(CCOC(C)=O)N=O 1
Drug 4908                                                                                                                                        O=C(O)c1cc([N+](=O)[O-])ccc1[N+](=O)[O-] 1
Drug 5325                                                                                                                                                          CN(C)c1[nH]cnc2ncnc1-2 1
Drug 3512                                                                                                                                                       CC(CCN=[N+]=[N-])c1ccccc1 1
Drug 3466                                                                                                                                                                             COO 1
Drug 3570                                                                                                                                           CC1CC2c3cccc4c3c(cn4C3CCCC3)CC2N(C)C1 1
Drug 5766                                                                                                                                                                  C1=CC2OC2C=CO1 0
 Drug 832                                                                                                                                                       O=C1CCC(=O)N1c1ccc(Cl)cc1 0
Drug 1456                                                                                                                                                    C=CCN1C2c3ccccc3-c3ccccc3C21 1
Drug 1486                                                                                                                                        CC(C)(Oc1ccc([C@@H]2CC2(Cl)Cl)cc1)C(=O)O 0
Drug 5646                                                                                                                                                              CCN(CC)c1ccc(N)cc1 1
Drug 4634                                                                                                                                  O=[N+]([O-])c1ccc2ccc3c([N+](=O)[O-])cccc3c2c1 1
 Drug 379                                                                                                                                                     N/C(=N\OS(=O)(=O)O)c1ccccc1 0
Drug 6906                                                                                                                                  C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(O)CO)C23 1
Drug 6341                                                                                                                                     Cc1cccc(OP(=O)(Oc2cccc(C)c2)Oc2cccc(C)c2)c1 0
Drug 3339                                                                                                                                           O=[N+]([O-])c1ccc(N=Nc2ccc(O)cc2O)cc1 0
Drug 5365                                                                                                                                                                O=C1CCc2ccccc2O1 0
Drug 4044                                                                                                                                                 COc1cc([N+](=O)[O-])ccc1NC(C)=O 1
Drug 6105                                                                                                                                                        O=[N+]([O-])c1cccc(Br)c1 1
Drug 5681                                                                                                                                                    CS(=O)(=O)n1ncc(Cl)c(Cl)c1=O 1
Drug 2473                                                                                                                                            C=C1CC/C=C(/C)CC[C@@H]2[C@H]1CC2(C)C 0
Drug 2006                                                                                                                          Nc1nc(-c2ccc([N+](=O)[O-])cc2)nc2c1ncn2C1OC(CO)C(O)C1O 1
 Drug 295                                                                                                                                               Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3 1
Drug 1100                                                                                                                             COc1ccc(-c2nc(-c3ccc(C)cc3C)[nH]c2-c2ccc(OC)cc2)cc1 1
 Drug 419                                                                                                                                                                O=C(CCl)c1ccccc1 0
Drug 2529                                                                                                                                                                     ClCc1ccccn1 1
Drug 1949                                                                                                                                              Cc1ccc(C(=O)n2ncc(Cl)c(Cl)c2=O)cc1 0
Drug 2130                                                                                                                                      [N-]=[N+]=Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1 1
Drug 5003                                                                                                                                                          O=NN(c1ccccc1)c1ccccc1 0
Drug 1631                                                                                                                                                      Cc1ccc(C)c2c1[nH]c1ccccc12 1
Drug 2783                                                                                                                                         Brc1cc(Br)c(-c2c(Br)cc(Br)cc2Br)c(Br)c1 0
Drug 6723                                                                                                                                                             c1cc(-c2ccncc2)ccn1 1
Drug 7458                                                                                                                                                 OC1C=Cc2c(ccc3cc4ccccc4cc23)C1O 1
Drug 4131                                                                                                                                         Cc1cc2c(c(O)c1O)C(=O)c1c(O)cc(O)cc1C2=O 1
Drug 2797                                                                                                                                                Nc1ccc(Cc2cc(O)c(N)c(Cl)c2)cc1Cl 0
  Drug 32                                                                                                                                                 CC(=O)NC(CSC(Cl)=C(Cl)Cl)C(=O)O 1
 Drug 829                                                                                                                                   CNC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21 0
Drug 5163                                                                                                                                                CC(=O)C1(C)OC12C(=O)C=Cc1ccccc12 0
Drug 3037                                                                                                                                                            Clc1ccc(Cl)c(Cl)c1Cl 0
Drug 5121                                                                                                                                 CC(=O)C1=CCC2C3=CCC4=CC(O)C(O)CC4(C)C3CC(O)C12C 0
Drug 4026                                                                                                                                              CCCCCCCCCCCCCOC(=O)C[N+](CC)(CC)CC 0
 Drug 671                                                                                                                                              O=C1c2ccc3ccccc3c2-c2c1ccc1ccccc21 1
