Drug 2038                                                                                                                                    CCCCCCCC1CCC(=O)O1 0
Drug 2497                                                                                                                         CS(=O)(=O)OCCCNCCCOS(C)(=O)=O 1
Drug 5937                                                                                                             CN1C(=O)C23CC4=CC=CC(O)C4N2C(=O)C1(CO)SS3 0
Drug 2794                                                                                                                                   c1cnc2c(c1)C1OC1CC2 0
Drug 4775                                                                                                                   Fc1ccc2c3c(cccc13)-c1ccc3ccccc3c1-2 1
 Drug 979                                                                                                           CC[C@@H](C)NC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 4308                                                                                                                                      O=C(O)CCc1ccccc1 0
Drug 5372                                                                                                                                c1ccc2c(c1)Oc1ccccc1O2 0
 Drug 810                                                                                                                            CCc1cc(-c2ccccc2)cc(CC)c1N 0
Drug 3614                                                                                                                     CCCCCCCCCc1ccccc1C(CO)OS(=O)(=O)O 0
Drug 4830                                                                            CC(=O)N(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccc(Oc2ccc(Cl)cc2)cc1 1
Drug 3912                                                                                                                          C[C@H]1CN(N=O)[C@H](C)CN1N=O 1
 Drug 976                                                                                                                       CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1 0
Drug 1234                                                                                                                               NC(=O)CN1C[C@H](O)CC1=O 0
Drug 2363                                                                                                         COc1ccc(O)c2c(=O)c3c(OC)cc4c(c3oc12)C1CCOC1O4 0
Drug 5452                                                                                                                         BrCc1c2ccccc2cc2c1ccc1ccccc12 1
Drug 3414                                                                                                                       Cn1cnc([N+](=O)[O-])c1-c1ccccc1 0
Drug 6750                                                                                                             O=[N+]([O-])c1c2c(cc3ccccc13)C(O)C(O)C=C2 1
Drug 5333                                                                                                                                     COC(=O)C(N)CSCCCl 1
Drug 3225                                                                                                              O=c1c2c(O)cccc2oc2c3c(cc(O)c12)OC1OCCC31 0
Drug 2990                                                                                                                                         COC(=O)C(C)Cl 1
 Drug 517                                                                                                                               Nc1ccc([N+](=O)[O-])cc1 1
Drug 7381                                                                                                                                   C1=CC2c3ccccc3OC2O1 1
Drug 6553                                                                                                                                               CC(O)CO 0
Drug 5706                                                     CCC(C)C(C(CC(=O)N1CCCC1C(OC)C(C)C(=O)NC(Cc1ccccc1)c1nccs1)OC)N(C)C(=O)C(NC(=O)C(C(C)C)N(C)C)C(C)C 0
Drug 1238                                                                                                                                             CCC(C)C=O 0
Drug 3449                                                                                                                               Cn1c2ccccc2c2cc(N)ccc21 1
Drug 5148                                                                                                                                         Cc1ccc(Cl)cc1 0
Drug 5621                                                                                                                     O=C1C=Cc2c(ccc3cc4ccccc4cc23)C1=O 0
Drug 3672                                                                                                                           CC1(c2ccc(-c3ccccc3)cc2)CO1 1
Drug 3199                                                                                                                   CC(C)C(O)(C(=O)OCC1CCN2CCCC12)C(C)O 0
 Drug 967                                                                                                     O=[N+]([O-])c1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1 1
Drug 5267                                                                                                                    COc1nc(=O)n(CC(O)CN=[N+]=[N-])cc1C 1
Drug 4913                                                                                                                              CNC(=O)c1c(N(C)N=O)ncn1C 0
Drug 2616                                                                                                                             NC(=O)N(c1ccccc1)c1ccccc1 0
Drug 1841                                       COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N2CCOC[C@H]2C#N)[C@H](O)[C@H](C)O1 0
 Drug 533                                                                                                      O=[N+]([O-])c1ccc2[nH]c3c([N+](=O)[O-])cccc3c2c1 1
Drug 5614                                                                                                                     Cc1c2ccccc2c([C@@H]2CO2)c2ccccc12 1
Drug 4066                                                                                                                                       CCc1cccc(CC)c1N 1
Drug 5530                                                                                                                      CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1 0
Drug 1791                                                                                             COc1cc(S(=O)(=O)O)c(C)cc1N=Nc1c(O)ccc2cc(S(=O)(=O)O)ccc12 0
Drug 4355                                                                                                                                            CCC(C)(C)C 0
 Drug 958                                                                                                                                       Oc1cc(O)cc(O)c1 0
Drug 6084                                                                                                                                     CCOc1cc(C=O)ccc1O 0
Drug 6166                                                                                                                                 CC(O)C(C)[N+](=O)[O-] 0
 Drug 895                                                                                                                     Nc1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1 0
Drug 2906                                                                                                                                  Cn1ccnc1[N+](=O)[O-] 1
Drug 4144                                                                                                                                 O=CC(O)C(O)C(O)C(O)CO 0
Drug 3167                                                                                                                             C1=Cc2c3ccccc3cc3cccc1c23 1
Drug 4866                                                                                                                                            Cl/C=C\CCl 1
 Drug 444                                                                                 CC(C)CCCC(C)C1CCC2C3CC4N(N5C(=O)c6ccccc6C5=O)C45CC(Cl)CCC5(C)C3CCC12C 0
Drug 3955                                                                                                  O=[N+]([O-])c1ccc(N/N=C(/N=Nc2ccc(I)cc2)c2ccccc2)cc1 0
Drug 1899                                                                                                                                         Cc1c(O)cccc1O 0
Drug 1955                                                                                                                                            CN(C#N)N=O 1
Drug 5942                                                                                                 CC(C)(C)NC(=O)C1CCC2C3CC=C4C=C(C(=O)O)CCC4(C)C3CCC12C 0
 Drug 666                                                                                                                       CCc1c2ccccc2c(C)c2c1ccc1ccccc12 0
Drug 4035                                                                                                                   O=CNc1nc(-c2cc([N+](=O)[O-])cs2)cs1 1
Drug 6493                                                                                               CC=C(C)C(=O)OC1CCN2CC=C(COC(=O)C(O)(C(C)OC)C(C)(C)O)C12 1
Drug 6038                                                                                                                                         CC(=O)n1ccnc1 0
Drug 6580                                                                                                                                  OCC(O)C(O)C(O)C(O)CO 0
Drug 3874                                                                                                                              C=CC(=O)OCCCCCCOC(=O)C=C 0
Drug 2211                                                                                                       c1cc2ccc3cc4c(c5ccc(c1)c2c35)[C@@H]1O[C@@H]1CC4 1
Drug 3716                                                                                                                               CC(=O)N[C@@H](CS)C(=O)O 1
Drug 6888                                                                                                                           CNC(=O)Oc1ccc(-c2ccccc2)cc1 1
Drug 7168                                                                                                                             C=C1CCC=C(C)CCC2C1CC2(C)C 0
Drug 7162                                                                                                         C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C 0
Drug 4070                                                                                                                                     CCC(=O)NCc1ccccc1 0
  Drug 59                                                                                                                                                 COCCl 0
Drug 1938                                                                                                                                              CC(=O)NN 1
 Drug 855                                                                                                                                   CCOc1ccc2nc(N)sc2c1 1
Drug 1812                                                                                                                      CC(=O)N(O)c1ccc([N+](=O)[O-])cc1 1
Drug 6368                                                                                                                              CCOC(=O)NNc1nncc2ccccc12 1
Drug 2868                                                                                                                                          COS(C)(=O)=O 1
Drug 2975                                                                                                                  c1ccc2c(c1)ccc1[nH]c3ccc4ccccc4c3c12 1
Drug 5876                                                                                                        C=C1C(O)C23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(O)C3 0
Drug 4827                                                  CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)O)c3)C=C2)c2ccccc2S(=O)(=O)O)cc1 1
Drug 5308                                                                                                             CCN(CC)CCNc1ccc2ncn3c4ccc(O)cc4c(=O)c1c23 1
Drug 4017                                                                                                                              O=NN(CCCl)C(=O)NC1CCCCC1 1
Drug 2679                                                                                                                           CC1(C)C=C(C(=O)O)C(C)(C)N1O 0
Drug 5911                                                                                                                                        O=Nc1ccc(O)cc1 1
Drug 2403                                                                                                                                        Clc1cccc(Br)c1 0
Drug 6329                                                                                                                       Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2 1
Drug 3843                                                                                                                                 O=C(O)/C=C/C=C/C(=O)O 0
Drug 5742                                                                                                                                c1ccc(SCCSc2ccccc2)cc1 0
Drug 2207                                                                                             C=C1/C(=C/C=C2\CCCC3(C)C2CCC3C(C)/C=C/C(O)C2CC2)CC(O)CC1O 0
Drug 1440                                                                                                                   O=C(Nc1ccccc1)c1csc([N+](=O)[O-])c1 1
 Drug 129                                                                                                                            CSC(C)(C)C(=O)NC(CS)C(=O)O 0
 Drug 771                                                                                                                         NC(CO)C(=O)NNCc1ccc(O)c(O)c1O 1
 Drug 762                                                                                                                          O=[N+]([O-])c1ccccc1C(F)(F)F 0
Drug 1679                                                                                                              CCOC(=O)c1[nH]c2ccccc2c1/N=C/c1ccc(O)cc1 1
Drug 1127                                                                                                                    c1cc(OC[C@H]2CO2)cc(OC[C@H]2CO2)c1 1
Drug 6547                                                                                                                 O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1 0
Drug 5650                                                                                                                    c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12 1
Drug 1064                                                                                                                                     Cc1coc2c1CCC(C)C2 0
Drug 5313                                                                                                                                  Clc1cc(Cl)c(Cl)cc1Cl 0
Drug 1503                                                                                                                          O=C(NCc1ccccc1)C(Br)c1ccccc1 0
Drug 2267                                                                                                                CCC(=O)N(c1ccc(Cl)c(Cl)c1)C1CCCC1N(C)C 0
Drug 5697                                                                                                                                 CC(Br)C(=O)NCc1ccccc1 1
Drug 5808                                                                                                  CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(C(C)=O)C(=O)C12C 0
 Drug 546                                                                                                    CC(=O)Nc1ccc(C)c(N=[N+]([O-])c2cc(NC(C)=O)ccc2C)c1 0
Drug 6774                                                                                                           OC1C=Cc2cc3c4c(cc5ccccc53)-c3ccccc3-c4c2C1O 1
Drug 1386                                                                                                      O=[N+]([O-])c1ccc2[nH]c3ccc([N+](=O)[O-])cc3c2c1 1
Drug 2921                                                                                                                                     Cc1ccc(C(C)C)cc1O 0
Drug 7100                                                                                             COC(=O)C1=C(C)NC(COC(N)=O)=C(C(=O)OC(C)C)C1c1cccc(Cl)c1Cl 0
Drug 3592                                                                                                                                        O=C1C=CC(=O)O1 0
Drug 4748                                                                                           CC(=O)OC1(C(C)=O)CCC2C3C4CC4(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C 0
Drug 6953                                                                                                                    CC1=CC2c3cccc4[nH]cc(c34)CC2N(C)C1 1
Drug 4902                                                                                                                         CCCCCN(N=O)C(=N)N[N+](=O)[O-] 1
Drug 6771                                                                                                                            O=P1(N(CCCl)CCCl)NC(O)CCO1 1
Drug 6803                                                                                                                               C=CC(=O)N(CC1CO1)CC1CO1 1
 Drug 377                                                                                                           CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1 0
Drug 6393                                                                                                               Nc1ccc2ccc3ccc([N+](=O)[O-])c4ccc1c2c34 1
Drug 1625                                                                                                                         Cc1ccc2cc([N+](=O)[O-])ccc2c1 1
Drug 5496                                                                                                                      CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O 0
 Drug 187                                                                                                                 C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C 1
 Drug 638                                                                                                               CCc1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1 1
Drug 7053                                                                                                CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N(CC(=O)O)C1Cc2ccccc2C1 0
Drug 5973                                                                                                         NC(CCC(=O)NC(CSC(=O)NCCO)C(=O)NCC(=O)O)C(=O)O 0
Drug 2010                                                                                                                O=[N+]([O-])c1ccc(NC2OCC(O)C(O)C2O)cc1 0
Drug 3580                                                                                                                                    CCN(N=O)C(=O)N(C)C 1
Drug 2925                                                                                                                                      C[C@H](Cl)CN(C)C 1
Drug 6554                                                                                                                        Cc1c2ccccc2c(C)c2c1ccc1ccccc12 1
Drug 1427                                                                                                                                       C=CCOC[C@H]1CO1 1
Drug 6297                                                                                                                               Nc1ccc(Cl)c(C(F)(F)F)c1 0
 Drug 939                                                                                                                                         CCCCOC(=O)CCC 0
Drug 5433                                               CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=[N+](CC)Cc3cccc(S(=O)(=O)O)c3)C=C2)c2ccc(O)cc2S(=O)(=O)O)cc1 0
Drug 5687                                                                                                                                    Clc1cc(Cl)cc(Cl)c1 0
Drug 3265                                                                                                                                              CCN(N)CC 0
Drug 4332                                                                                                                CC(=O)OC(OC(C)=O)c1ccc([N+](=O)[O-])o1 1
Drug 4890                                                                                                                         CN(C)CCCN1c2ccccc2CCc2ccccc21 0
Drug 3970                                                                                                                                  CN1CC=C(c2ccccc2)CC1 0
Drug 6630                                                                                                             CCOP(=O)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1 1
Drug 3847                                                                                                                                     CCCCC/C=C\C=C/C=O 0
Drug 5548                                                                                                                                c1cnc2c(c1)-c1ncsc1CC2 0
Drug 6413                                                                                                                              COC(=O)Nc1nc2ccccc2[nH]1 1
Drug 5488                                                                                                        Cc1ccc([N+](=O)[O-])c2c(NCCCN(C)C)c3ccccc3nc12 1
Drug 4674                                                                                                                                      CCc1cccc2cccnc12 1
Drug 2173                                                                                                                                            C=CC(=O)CC 1
Drug 5889                                                                                                                     O=CNc1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1 1
Drug 2044                                                                                                                c1cc2c3c(c1)cc1ccc4cccc5cc(c3c1c45)CC2 1
 Drug 936                                                                                                                          CC(=O)NCC(O)COc1cccc2ccccc12 0
Drug 7084                                                                                                                             CC(C)(C)CC(C)(S)CC(C)(C)C 0
Drug 6151                                                                                                                Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1C 0
 Drug 424                                                                                                                       Nc1nc(=O)n(C2OC(CO)C(O)C2O)cc1O 0
Drug 6628                                                                                                                   CC(=O)Nc1ccc(C(=O)C2OC2c2ccccc2)cc1 1
 Drug 289                                                                                                                CCCCON(OC(C)=O)C(=O)c1ccc(C(C)(C)C)cc1 1
Drug 6268                                                                                                 Cc1ccc(Nc2ccc(N)c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)O)c1 1
Drug 1028                                                                                                                  Nc1ccc(O)c2c1C(=O)c1c(O)ccc(N)c1C2=O 1
Drug 5907                                                                                                                                           CC(C)(Cl)Cl 0
 Drug 692                                                                                                 C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12 0
Drug 4177                                                                                             C[C@@]12CCC3[C@]4(C)CCC[C@@](C)(C(=O)O)C4CC[C@]3(CC1=O)C2 0
Drug 2496                                                                                                         Nc1ccc(-c2ccc(-c3ccc(-c4ccc(N)cc4)cc3)cc2)cc1 0
 Drug 113                                                                                                                                Nc1ccccc1SCCSc1ccccc1N 1
Drug 3093                                                                                                                           COC(=O)C1=C(C)C(C(C)C)OC1=O 1
Drug 4572                                                                                                                                 CC(=O)Nc1ccc(C)c(N)c1 1
Drug 3054                                                                                                                 CN(C)Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1 1
Drug 4604                                                                             Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O 0
Drug 1288                                                                                                              O=C(O)CSc1ccc2c3c(cccc13)C(=O)c1ccccc1-2 1
Drug 3565                                                                                                                      Cc1cc2c(c3ccc4ccccc4c13)C(=O)CC2 1
Drug 6665                                                                                                                              [N-]=[N+]=C1C=CC(=O)C=C1 1
Drug 4875                                                                                                                                             C=CC(C)=O 1
Drug 2739                                                                                                                               CCc1cccc2c(CCO)c[nH]c12 0
Drug 2448                                                                               CCOCn1cc(F)c(=O)n(C(=O)c2cccc(C(=O)Oc3nc(OC(=O)c4ccccc4)ccc3C#N)c2)c1=O 0
 Drug 568                                                                                                                           CC/C=C/C=C/C=C/C=C/C=C/OCCC 1
Drug 3028                                                                                                                                            N#CC(Cl)Cl 1
Drug 1140                                                                                              CCc1ccccc1Nc1ccc(Nc2ccccc2CC)c2c1C(=O)c1c(O)ccc(O)c1C2=O 1
Drug 7229                                                                                                                 CCN1c2cc(N)ccc2-c2ccc(N)cc2C1c1ccccc1 1
Drug 5237                                                                                                                          CCOCCOC(=O)/C=C\c1ccc(OC)cc1 0
Drug 1264                                                                                                                       CC(=O)OCc1cc(C(C)=O)ccc1OC(C)=O 1
 Drug 680                                                                                       O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c(Cl)c1 0
Drug 6731                                                                                                                                       Nc1cccc2ncccc12 1
Drug 6928                                                                                                                O=c1c2[nH]c3ccccc3c2nnn1N=Cc1ccc(O)cc1 1
Drug 3202                                                                                                   O=C(CCCl)/N=c1\sn(C(=O)CCCl)c2ccc([N+](=O)[O-])cc12 1
Drug 1137                                                                                                                                         O=S1(=O)CCCC1 0
Drug 7317                                                                                                                   Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3=O 1
Drug 2367                                                                                                                        O=C1CCCN1c1ncc([N+](=O)[O-])s1 1
Drug 5678                                                                                                                              Cc1cc(=O)n(-c2ccccc2)n1C 0
Drug 1949                                                                                                                    Cc1ccc(C(=O)n2ncc(Cl)c(Cl)c2=O)cc1 0
Drug 1304                                                                                                                                               NCCNCCN 0
Drug 1734                                                                                                                               CCCCOc1ccc(CC(=O)NO)cc1 1
  Drug 58                                                                       Cc1cc(O)c2c(c1)C(=O)c1c(c(O)cc(O)c1-c1c(O)cc(O)c3c1C(=O)c1cc(C)cc(O)c1C3=O)C2=O 0
Drug 1968                                                                                                         Nc1ccc(-c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1 0
Drug 4580                                                   C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O)C3 0
Drug 2507                                                                                                             OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl 0
Drug 4818                                                                                                         CCCCCCCCCc1ccc(OP(=O)(Oc2ccccc2)Oc2ccccc2)cc1 0
Drug 3367                                                                                                                    CCc1c2c(cc3ccccc13)-c1ccccc1C1NC21 1
Drug 2635                                                                                                                       Oc1cc2cccc3ccc4c5ccccc5cc1c4c32 1
Drug 5728                                                                                                                              Fc1c(F)c(Cl)c(F)c(Cl)c1F 0
Drug 4878                                                                                                                              Cc1ccc([N+](=O)[O-])cc1N 1
Drug 7334                                                                                                                        NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1 0
 Drug 348                                                                                                                           C[C@@H](O)CN(C)c1ccc(NN)nn1 1
 Drug 628                                                                                                                                          C1CN2CCN1CC2 0
Drug 6672                                                                                                                                          NC(CS)C(=O)O 1
Drug 5709                                                                                                       NC(CCC(=O)NC(CS/C(Cl)=C/Cl)C(=O)NCC(=O)O)C(=O)O 1
Drug 3185                                                                              N[C@@H](CCC(=O)N[C@@H](CS/C(Cl)=C(/Cl)C(Cl)=C(Cl)Cl)C(=O)NCC(=O)O)C(=O)O 1
Drug 1724                                                                                                   O=[N+]([O-])c1cc2c([nH]c3ccccc32)c([N+](=O)[O-])c1O 1
 Drug 158                                                                                                                                               CCCON=O 1
Drug 7230                                                                                  Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c(O)c1C2=O 1
Drug 2843                                                                                                  O=C(COc1cc(Cl)c(Cl)cc1Cl)NC(Cc1c[nH]c2ccccc12)C(=O)O 0
Drug 2361                                                                                                             COc1cc2c3c(c1O)-c1cc4c(cc1CC3N(C)CC2)OCO4 0
Drug 5499                                                                                                                       OCCNc1ccc(N=Nc2ccc(NCCO)cc2)cc1 1
Drug 1356                                                                                                                                         CCCCCCCC(=O)O 0
Drug 2258                                                                                                           C=CC1(C)CC(O)C2(C)C(CCC3C4(C)CCCC32OC4=O)C1 0
Drug 5335                                                                                                                                           Nc1ccccc1Cl 0
Drug 2684                                                                                                                            O=C1C=CC(=O)C(c2ccccc2)=C1 0
Drug 1548                                                                                                                         Cc1ccc2c([N+](=O)[O-])cccc2c1 1
Drug 2373                                                                                                                       CCCOP(=S)(OCCC)OP(=S)(OCCC)OCCC 0
Drug 3138                                                                                                                                        Cc1ccc(NO)cc1C 1
Drug 2109                                                                                                                       Cc1cccc2c1cc1ccc3cccc4ccc2c1c34 1
Drug 5040                                                                                                                                 [O-][n+]1cc2cccnc2cn1 0
Drug 3255                                                                                                                           C=C[C@@H](O)c1ccc2c(c1)OCO2 0
Drug 5924                                                                                                                                              O=C(O)CS 0
Drug 4548                                                                                                                   CN1CC(CBr)CC2c3cccc4[nH]cc(c34)CC21 1
Drug 2985                                                                                                                               N[C@@H]1C[C@H]1c1ccccc1 0
Drug 6593                                                                                                   C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O 0
Drug 3935                                                                                                                        CN(Cc1ccc([N+](=O)[O-])cc1)N=O 1
Drug 5684                                                                                                                            COC(=O)C1=C(C)C(C)(O)OC1=O 0
Drug 1094                                                                                           O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12 1
Drug 6729                                                                                                                 CCCC(=O)c1c2cccc(O)c2c(O)c2c(O)cccc12 1
Drug 4590                                                                                                                                          ClC[C@H]1CO1 1
Drug 4251                                                                                                           CN(C)CCCNc1c2ccccc2nc2ccc([N+](=O)[O-])cc12 1
Drug 4870                                                                                  O=[N+]([O-])c1cc([N+](=O)[O-])c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2c1 1
Drug 3474                                                                                                                                   CC1CCCC2(C)CCCCC12O 0
Drug 4507                                                                                                                                         CN(N=O)C(N)=O 1
Drug 7175                                                                                                               Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1 0
Drug 6654                                                                                                   O=[N+]([O-])c1ccc2ccc3c4c(cc5ccc1c2c53)C(O)C(O)C=C4 1
 Drug 229                                                                                                                         Cc1c([N+](=O)[O-])ccc2ccccc12 1
Drug 3769                                                                                                 O=[N+]([O-])C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-] 1
 Drug 836                                                                                                                          ClCc1c2ccccc2c(CCl)c2ccccc12 1
Drug 1816                                                                                                                           CNC(=O)Oc1cccc2c1OC(C)(C)C2 0
 Drug 222                                                                                                                                     O=C1OCC(CCl)=C1Br 1
Drug 6222                                                                                                                          CN(C)c1ccc(/C=C/c2ccccc2)cc1 1
 Drug 964                                                                                                                                               CC(C)=O 0
Drug 3545                                                                                                              CC(=O)Nc1ccc(Nc2ccc([N+](=O)[O-])cc2)cc1 1
Drug 6800                                                                                                                          O=[N+]([O-])c1ccc2c(O)nsc2c1 1
Drug 4626                                                                                                                 [N-]=[N+]=NCC(O)Cn1cnc2c(Cl)nc(N)nc21 1
Drug 1947                                                                                                                                    Cc1cc(C)c2ccccc2c1 0
Drug 1326                                                                                                                              COc1nsc2c(OCC3CO3)cccc12 1
Drug 1733                                                                                                                            c1ccc2[nH]c(-c3cscn3)nc2c1 1
Drug 6220                                                                                                                          O=C1C(Cl)=C(Cl)C(=O)C1(Cl)Cl 0
Drug 7148                                                                                                    CC(=O)OC1C(O)C2OC3CC(C)C(=O)C(=O)C3(CO)C1(C)C21CO1 0
Drug 6484                                                                                                                      CC(C)CCCCCOC(=O)COc1ccc(Cl)cc1Cl 0
Drug 5420                                                                                                               O=[N+]([O-])c1ccc2ccc3c(O)ccc4ccc1c2c43 1
Drug 4534                                                                                                                   O=c1c(Cl)c(Cl)cnn1S(=O)(=O)c1ccccc1 0
Drug 3695                                                                                                                      CCOC(=O)Nc1cccc2c3c[nH]ccc-3nc12 0
Drug 4482                                                                                                                                  O=C(CBr)c1ccc(Br)cc1 0
Drug 5225                                                                                                                                         OCc1ccc(O)cc1 0
Drug 5612                                                                                                                           Cc1cccc2ccc3cc4ccccc4cc3c12 1
Drug 1472                                                                                                                                               OCCNCCO 0
Drug 2033                                                                                                                  O=C1CCc2c3c(c4c(ccc5ccccc54)c21)CCC3 0
Drug 7181                                                                                                           Nc1nc(O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2n1 0
Drug 5166                                                                                                                                    COc1cc(N)c(OC)cc1N 1
Drug 2968                                                                                                              N#Cc1ccc(/C=C/c2ccc([N+](=O)[O-])cc2)cc1 1
Drug 4836                                                                                                                                 C=C(C)C(=O)OCC(C)(C)C 0
 Drug 403                                                                                                          C1=C[C@H]2O[C@H]2c2cc3ccc4cccc5ccc(c21)c3c45 1
Drug 1032                                                                                                                         Nc1ccccc1C(=O)OC/C=C/c1ccccc1 0
Drug 6782                                                                                                            O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O 1
Drug 6990                                                                                                                                 CCCCCCCCCCCCCCCCC1CO1 0
Drug 4615                                                                                              CCCCCCCC/C=C/CCCCCCCC(=O)OCCOCC1(OCCOC)OCC(OCCOC)C1OCCOC 0
Drug 6956                                                                                                                                          NC(=O)CC1CO1 1
Drug 7131                                                                                                                                       CCC=[N+]([O-])O 0
Drug 6349                                                                                                                                 Nc1nc(NO)c2[nH]cnc2n1 1
  Drug 20                                                                                                                                Nc1ccc2c(c1)oc1ccccc12 1
Drug 2480                                                                                                                                           Cc1c[nH]cn1 0
Drug 6634                                                                                                            CC(=O)NC(CSC(Cl)=C(Cl)C(Cl)=C(Cl)Cl)C(=O)O 1
Drug 2746                                                                                                     CN1CCN(c2cc3c(cc2F)n2c(=O)n(O)c(=O)cc2n3C2CC2)CC1 1
Drug 1622                                                                                                                O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1CCCCl 0
Drug 5117                                                                                                                    CC(=O)OCc1c2ccccc2cc2c1ccc1ccccc12 1
 Drug 777                                                                                                                                    CC(=O)Nc1ccc(N)cc1 1
Drug 7150                                                                                                                 Clc1ccc2c(c1)C(c1ccccc1)=NC=C1NN=CN12 0
Drug 2078                                                                                                               Oc1ccc2c(c1)-c1ccc3ccc4cccc5cc-2c1c3c45 1
Drug 4142                                                                                                                                         Cc1nnc(O)nc1O 0
Drug 2887                                                                                                                     Cc1ccc2nsc(NC(=O)C(Cl)(Cl)Cl)c2c1 1
Drug 7390                                                                                                 CC[N+]([O-])(CC)CCn1nc2c3c(c(CO)ccc31)Sc1cc(Cl)ccc1-2 1
Drug 2999                                                                                                                              C[N+]1=CC=C(c2ccccc2)CC1 1
Drug 3969                                                                                                                                      CCCCN(N=O)C(N)=O 1
Drug 7016                                                                                                                       CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1 0
Drug 5610                                                                                                                                          Cc1ccc(O)cc1 0
Drug 4769                                                                                                        C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C 0
