Drug 1224                                                                                                                                              c1ccccc1 0
 Drug 146                                                                                                                     CC1CC2c3cccc4[nH]cc(c34)CC2N(C)C1 1
Drug 4598                                                                                                                         Nc1ccc2c(ccc3c4ccccc4ccc23)c1 1
Drug 4948                                                                                                              CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1 0
Drug 7070                                                                                                                            CCCCCCCCCCC=CC1CC(=O)OC1=O 0
Drug 3923                                                                                                                                 CC(=O)CC(=O)Nc1ccccc1 0
Drug 3060                                                                                                         O=[N+]([O-])c1ccc(-c2ccc([N+](=O)[O-])cc2)cc1 1
Drug 6755                                                                                                          COc1cc2c(c3oc(O)c4c(O)cc(O)c-4c13)C1C=COC1O2 1
Drug 2263                                                                                                                     COc1cc(O)c2c(=O)c3cc(OC)ccc3oc2c1 1
Drug 2978                                                                                                                                    c1ccc(COCC2CO2)cc1 1
Drug 6116                                                                                                                            O=CN(O)c1ccc(-c2ccccc2)cc1 1
 Drug 579                                                                                                                                        CCOC(=O)C(N)CS 1
Drug 5477                                                                                                                      [N-]=[N+]=NCCC(c1ccccc1)c1ccccc1 1
Drug 7451                                                                                                                 c1ccc2c3c4c(ccc5cccc(c54)C4OC34)cc2c1 1
Drug 4071                                                                                                                                        C[C@@H](Cl)CCl 1
Drug 6768                                                                                                                               Nc1ccc2[nH]c3ccccc3c2c1 1
 Drug 954                                                                                                            CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21 1
Drug 4787                                                                                                                                              CN(C)C=O 0
Drug 7041                                                                                                                    C=C1C(=O)OC2C1CCC(C)C1=CCC(=O)C12C 0
Drug 2459                                                                                                                       Nc1ccc(-c2cc(Cl)c(N)c(Cl)c2)cc1 1
Drug 2191                                                                                                             O=C1CN(/N=C/c2ccc([N+](=O)[O-])o2)C(=O)N1 1
Drug 2843                                                                                                  O=C(COc1cc(Cl)c(Cl)cc1Cl)NC(Cc1c[nH]c2ccccc12)C(=O)O 0
Drug 4549                                                                                                        O=[N+]([O-])c1ccc2c3c(cccc13)-c1cc3ccccc3cc1-2 1
Drug 3079                                                                                                                    C[C@H](COc1ccccc1)N(CCCl)Cc1ccccc1 1
Drug 1371                                                                                                                                   CCCCCCCCCCCCCCCCCCN 0
Drug 1114                                                                                                                       O=C1c2ccccc2-c2ccc(O)c3cccc1c23 1
Drug 4399                                                                                                                              NS(=O)(=O)c1cccc2cccnc12 0
Drug 1633                                                                                      C/C=C1/C[C@H](C)[C@@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@H]23 1
Drug 2798                                                                                                                                        C1COCC2(C1)CO2 1
Drug 1981                                                                                                                        O=C(O)CCC(=O)Nc1ccc(Cl)c(Cl)c1 0
 Drug 271                                                                                                                 O=C(OCc1cccc([N+](=O)[O-])c1)c1ccccc1 0
Drug 6138                                                                                                                        OC1c2cccc3ccc4c5ccccc5cc1c4c23 1
Drug 5504                                                                                                                           Cc1cc2cc3ccccc3cc2c2ccccc12 1
Drug 4863                                                                                                          O=[N+]([O-])O[C@@H]1CO[C@H]2[C@@H]1OC[C@H]2O 0
Drug 6390                                                                                                               O=[N+]([O-])c1c(-c2ccc(Cl)cc2)nc2sccn12 1
Drug 6044                                                                                                                                 O=C1OCC(C(Br)Br)=C1Br 1
Drug 4147                                                                                                                                  O=C(O)CCCCCCCCC(=O)O 0
Drug 1849                                                                                                                                   CC(=O)C(=O)c1ccccc1 0
Drug 4040                                                                                                                               O=C1CC(=C(Cl)Cl)C(=O)N1 1
Drug 6948                                                                                                                      CS(=O)(=O)OCC(O)C(O)COS(C)(=O)=O 1
Drug 5903                                                                                                                 Cl/C=C(\Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl 0
Drug 7525                                                                                                                                 O=NN1CCC(c2ccccc2)CC1 1
Drug 5531                                                                                                                                        OC[C@H](Br)CBr 1
Drug 2108                                                                                                                                               CC(C)CN 0
Drug 3958                                                                                                             Cc1ccc2cc(C)c3c4c(ccc3c2c1)C(O)C(O)C1OC41 1
Drug 1225                                                                                                                      CC(C)COC(=O)COc1cc(Cl)c(Cl)cc1Cl 0
Drug 6813                                                                                                                                     ClC(Cl)(Cl)CC1CO1 1
Drug 5401                                                                                                                                      Clc1nncc2ccncc12 0
Drug 3878                                                                                                                                             C=CCSSCCC 0
 Drug 312                                                                                        Nc1ncnc2c1nc(-c1ccc([N+](=O)[O-])cc1)n2-c1ccc([N+](=O)[O-])cc1 1
Drug 2430                                                                                                                             O=C1NC(=O)C(Cl)C1=C(Cl)Cl 1
 Drug 316                                                                                                                          CCc1c2ccccc2cc2c1ccc1ccccc12 1
Drug 5379                                                                                 COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)CC(C)O1 1
Drug 7054                                                                                                                                 ClNc1nc(NCl)nc(NCl)n1 0
 Drug 272                                                                                                                           COC(=O)/C(C#N)=C/c1ccccc1Br 0
Drug 4272                                                                                                                      CC[C@@H]([C@@H](C)O)[N+](=O)[O-] 0
Drug 3285                                                                                                                                      Nc1nc(N)nc(Cl)n1 0
Drug 4848                                                                                                                                         CC(C)Cc1nccs1 1
 Drug 150                                                                                                      CCCCCCCC/C=C/CCCCCCCCCCCC(=O)NCCCCCCCCCCCCCCCCCC 0
Drug 3356                                                                                                                         CC(C)(C)CCCCCC(=O)OC[C@H]1CO1 1
Drug 2515                                                                                                                                   c1ccc(Oc2ccccc2)cc1 0
Drug 1678                                                                                                                              O=C(O)C(O)C(O)C(O)C(O)CO 0
Drug 6268                                                                                                 Cc1ccc(Nc2ccc(N)c3c2C(=O)c2ccccc2C3=O)c(S(=O)(=O)O)c1 1
Drug 4470                                                                                                                              Nc1cc([N+](=O)[O-])ccc1O 1
Drug 4543                                                                                                                             O=Cc1cccc([N+](=O)[O-])c1 1
Drug 6979                                                                                                                                    CCC(C)=[N+]([O-])O 0
Drug 4318                                                                                                                                  FC(F)(F)c1cccc(Cl)c1 0
Drug 4073                                                                                                                                  O=C1C=CC(=O)C1(Cl)Cl 1
Drug 5775                                                                                                                                            C=C(Br)CCl 1
Drug 1062                                                                                                                    Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O 0
Drug 4913                                                                                                                              CNC(=O)c1c(N(C)N=O)ncn1C 0
Drug 6032                                                                                                      CC1C(C)(C)Nc2ccccc2C1(C)C1C(C)(C)Nc2ccccc2C1(C)C 0
 Drug 284                                                                                                                                   O=C(O)/C=C/c1ccccc1 0
 Drug 270                                                                                                     O=[N+]([O-])c1cc(-c2ccc(O)c([N+](=O)[O-])c2)ccc1O 0
Drug 1076                                                                                                                                    CC(=O)N(O)c1ccccc1 0
Drug 3268                                                                                                               CC1(c2ccccc2)/C(=N/c2ccccc2)c2ccccc2N1O 0
Drug 6888                                                                                                                           CNC(=O)Oc1ccc(-c2ccccc2)cc1 1
 Drug 607                                                                               CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C(=O)O)C5CCC43C)C2C1 0
Drug 3930                                                                                                                                           Cc1ccccc1Br 0
Drug 5557                                                                                                                            COC(=O)C(CSCC(C)Br)NC(C)=O 1
Drug 6797                                                                                                            [N-]=[N+]=Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1 1
Drug 5956                                                                                                  CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C 0
Drug 1023                                                                                                                           Oc1cccc2ccc3c4ccccc4ccc3c12 1
Drug 7535                                                                                                                Cc1ccc2cc3c4c(ccc3c3c2c1CC3)C=CC(O)C4O 1
Drug 2370                                                            Cc1cc(O)c2c(c1O)C(=O)C13C(=C2O)C(=O)C2C(O)C1C1C(O)C3C(=O)C3=C(O)c4c(O)cc(C)c(O)c4C(=O)C321 0
Drug 4170                                                                                                                                           CS(C)(=O)=O 0
Drug 3385                                                                                                                   CSCCC(NC=O)C(=O)NC(Cc1ccccc1)C(=O)O 0
Drug 7154                                                                                                         C#CC1(OC(C)=O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C 0
Drug 2331                                                                                                                           O=[N+]([O-])c1ccc2c(c1)CCN2 1
Drug 6263                                                                                                                            CN(Cc1cccc(C(F)(F)F)c1)N=O 1
Drug 1059                                                                                                                                    c1ccc(Cn2ccnc2)cc1 1
 Drug 201                                                                                                                   CCCNC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 2826                                                                                                 O=C(CCCCl)/N=c1\sn(C(=O)CCCCl)c2ccc([N+](=O)[O-])cc12 1
Drug 3699                                                                                                                       Cc1cccc2c1N(C)C1=Nc3ccccc3C1C2C 1
Drug 5370                                                                                                           COC(=O)[C@]1(C(N)=O)O[C@@]1(C)[C@H](O)C(C)C 1
Drug 4928                                                                                                                                      N[C@H](CS)C(=O)O 1
 Drug 329                                                                                                        CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC 0
Drug 4029                                                                                                                              O=C1C=C(Cl)C(=O)C1(Cl)Cl 1
Drug 1286                                                                                                                                              CC(C)CCO 0
Drug 6914                                                                                                                                  N=P(O)(O)N(CCCl)CCCl 1
 Drug 794                                                                                                                    CC(=O)N(O)c1ccc2ccc3cccc4ccc1c2c34 1
Drug 5771                                                                                                                     ClCc1cc2cc3ccccc3c3ccc4cccc1c4c23 1
Drug 5356                                                                                                             CCN(CCCl)CCCNc1c2ccc(Cl)cc2nc2ccc(OC)nc12 1
Drug 1731                                                                                                                         O=C(O)[C@@H](O)[C@H](O)C(=O)O 0
Drug 2918                                                                                                                                  CC(C)(C#N)C(C)(C)C#N 0
Drug 5280                                                                                                                       Cc1ccc(N=Nc2c(O)ccc3ccccc23)cc1 0
Drug 2911                                                                                                                         CC(=O)O[C@H](c1ccccc1)N(C)N=O 1
 Drug 819                                                                                                                 CCOC(=O)CNC(=O)CCCCSc1[nH]cnc2ncnc1-2 0
Drug 1202                                                               CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C 0
Drug 1776                                                                                                                          CCOCN(C(=O)CCl)c1c(C)cccc1CC 0
Drug 2497                                                                                                                         CS(=O)(=O)OCCCNCCCOS(C)(=O)=O 1
Drug 3228                                                                                                                           O=C(O)c1ccc([N+](=O)[O-])o1 1
Drug 5544                                                                                                                                    CC(C)(S)C(N)C(=O)O 1
Drug 2019                                                                                                                              Cc1ccc(N)c(S(=O)(=O)O)c1 0
Drug 4952                                                                                                           CCOc1ccc(C(C)(C)C)cc1NC(=O)C(=O)Nc1ccccc1CC 0
Drug 1767                                                                                                                           CC(=O)c1ccc([N+](=O)[O-])s1 1
Drug 1612                                                                                                           Clc1ccc(CO[C@H](Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1 0
Drug 4473                                                                                                          CCN(CC)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1 1
Drug 2082                                                                                                   CCN(CCC#N)c1ccc(N=Nc2c(Cl)cc([N+](=O)[O-])cc2Cl)cc1 1
Drug 5687                                                                                                                                    Clc1cc(Cl)cc(Cl)c1 0
 Drug 603                                                                                                                                  CCCCCCCCCc1ccc(O)cc1 0
 Drug 163                                                                                                                                                N#CCCN 0
Drug 4085                                                                                                                                        CCC(=O)C(=O)CC 1
Drug 4845                                                                                                               CC(=O)C1=C(C(C)(C)C)C(=O)C(C(C)(C)C)=C1 0
Drug 4682                                                                                                            O=[N+]([O-])c1ccc2ccc3c4ccccc4nc4ccc1c2c43 1
  Drug 52                                                                                                                                            Brc1ccccc1 0
Drug 4454                                                                                                                           Cc1ccc2ccc3c4ccccc4ccc3c2c1 1
Drug 3413                                                                                                                                        ClCc1ccccc1CCl 0
 Drug 460                                                                                                                                     CCOC(C)C(=O)C(O)O 1
Drug 4252                                                                                                                       COc1cc(N[C@H](C)CCCN)c2ncccc2c1 1
Drug 2723                                                                                                               BrCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32 1
Drug 5186                                                                                                                          CC(=O)c1ccc([N+](=O)[O-])cc1 1
Drug 4422                                                                                                                                                COCCCN 0
Drug 4249                                                                                                         Oc1c2nc3ccccc3c-2nnn1/N=C/c1ccc(-c2ccccc2)cc1 0
Drug 2489                                                                                                           CC(C)CC[C@@H](C)Nc1ccc(N[C@H](C)CCC(C)C)cc1 0
Drug 2920                                                                                                                CN(C)c1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1 0
Drug 6593                                                                                                   C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O 0
Drug 2751                                                                                                            Cc1c(C(=O)NCCO)[n+]([O-])c2ccccc2[n+]1[O-] 1
Drug 6579                                                                                                               C#CC1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C 0
Drug 1396                                                                                                                                                C=CCCl 1
Drug 7349                                                                                                                                       CNC(C)Cc1ccccc1 0
Drug 7372                                                                                                                        CC1=CCC2C(C)=CCC(C(C)(C)C)C2C1 0
Drug 6068                                                                                                                            CC(C)Cc1ccc(C(C)C(=O)O)cc1 0
Drug 2601                                                                                                                     Cn1c(N=[N+]=[N-])nc2ccc3ccccc3c21 1
Drug 7017                                                                                                              CN1C(C(=O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O 0
Drug 3932                                                                                                                                          Nc1ccc(N)cc1 1
Drug 6594                                                                                                                              CCOC(=O)C1OC1(C)c1ccccc1 0
Drug 6926                                                                                                                                O=C1CC(=O)c2ccccc2C1=O 1
Drug 5101                                                                                                                           Oc1cc2ccccc2c2ccc3ccccc3c12 0
Drug 2895                                                                                                                         O=C1CCC(=O)N1c1cc(Cl)cc(Cl)c1 0
Drug 1997                                                                                         CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccc(N(CC)CC)cc2)cc1 1
 Drug 466                                                                                                              O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12 1
Drug 3637                                                                                                                                c1cnc2c(c1)ccc1cccnc12 0
Drug 2733                                                                                                                        Cc1nc2c(C)cc3c(nc(N)n3C)c2nc1C 1
Drug 1063                                                                                                             Cc1c([N+](=O)[O-])c2ccccc2c2ccc3ccccc3c12 1
Drug 4168                                                                                                                                          Cc1ccccc1C=O 0
Drug 5971                                                                                                                                               c1ccoc1 0
Drug 6334                                                                                                                                      O=C1C=CC(=O)C=C1 0
Drug 2287                                                                                                      CN(C)c1ccc(N=Nc2ccc(OC3OC(CO)C(O)C(O)C3O)cc2)cc1 0
Drug 1171                                                                                                                             Nc1ccccc1C(=O)CC(N)C(=O)O 0
Drug 2186                                                                                                                       CN(C)c1ccc(N=Nc2cccc(CCl)c2)cc1 1
Drug 3499                                                                                                                  c1cc2ccc3cc4cccc5ccc6cc(c1)c2c3c6c54 1
Drug 2285                                                                                                                       COc1cc2c(c3ccc4ccccc4c13)CCC2=O 1
 Drug 116                                                                                                                    CC(C)(C)c1ccc(/C=C/c2ccc(N)cc2)cc1 0
Drug 6734                                                                                                                                       S=C=NCCc1ccccc1 1
Drug 3823                                                                                                          Cc1ccc(S(=O)(=O)OCc2ccc([N+](=O)[O-])cc2)cc1 1
  Drug 86                                                                                                                                              COC(N)=O 0
Drug 6153                                                                                                                             CC/C=C/C=C/C=C/C=C/C=C/OC 1
Drug 5938                                                                                                              Cc1cc(C(=C2C=CC(N)C=C2)c2ccc(N)cc2)ccc1N 1
Drug 7105                                                                                                                       CCc1cccc2cc(C(O)CNC(C)(C)C)oc12 0
Drug 6711                                                                                                           O=NN(c1ccc([N+](=O)[O-])cc1)C1OCC(O)C(O)C1O 1
 Drug 971                                                                                                                                        COc1cc(N)ccc1C 1
Drug 1177                                                                                                                                    COC(=O)c1ccc(O)cc1 0
Drug 6589                                                                                                                                                CC1CO1 1
Drug 6128                                                                                                                  O=S(=O)(Nc1cccc(Cl)c1)c1cccc2cccnc12 0
Drug 3631                                                                                                                        Cc1cccc2c1cc(C)c1c3ccccc3ccc21 1
Drug 6895                                                                                                                  CCC(C)OC(=O)C=Cc1ccc([N+](=O)[O-])o1 1
 Drug 931                                                                                                                     Cn1c(N=[N+]=[N-])nc2c3ccccc3ccc21 1
Drug 3048                                                                                                                       O=C1Nc2ccc([N+](=O)[O-])cc2C1=O 1
Drug 5450                                                                                                           c1ccc2c(c1)-c1c(ccc3ccccc13)[C@@H]1O[C@H]21 1
Drug 4083                                                                                                           NC[C@H]1CC[C@H](C(=O)c2ccc(CCC(=O)O)cc2)CC1 0
Drug 4089                                                                                                                        CCCCOC(=O)COc1cc(Cl)c(Cl)cc1Cl 0
Drug 3514                                                                                                                          CC(C(=O)O)c1ccc(Oc2nccs2)cc1 0
Drug 6980                                                                                                                                      CC1CCC(C(C)C)CC1 0
Drug 4187                                                                                                           O=[N+]([O-])c1cc2cc3ccc4cccc5ccc(c2o1)c3c45 1
Drug 2267                                                                                                                CCC(=O)N(c1ccc(Cl)c(Cl)c1)C1CCCC1N(C)C 0
Drug 2299                                                                                                                                  NC(=O)c1ccccc1C(N)=O 0
Drug 3933                                                                                                          CC(=O)c1c(O)cc(O)c2c1C(=O)c1cc(O)cc(O)c1C2=O 0
Drug 2297                                                                                                                                       ClC[C@H](Br)CBr 1
Drug 1996                                                                                                                                C[C@H](CO)[N+](=O)[O-] 0
Drug 2384                                                                                                       CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C 0
Drug 6007                                                                                                                        COc1ccc(C(=O)C2OC2c2ccccc2)cc1 0
Drug 1082                                                                                                                                           CCCCCCCCCCC 0
Drug 2570                                                                                                                                            CC/C=C\C#N 0
Drug 4263                                                                                                                               CCCCC/C(C=O)=C/c1ccccc1 0
Drug 3127                                                                                                                                         Nc1ccc(Cl)cc1 1
Drug 5978                                                                                                                                         O=C(O)C(Br)Br 1
Drug 5943                                                                                                         CCn1cc(C(=O)O)c(=O)c2cc(F)c(-c3ccncc3)c(F)c21 0
Drug 1169                                                                                                  Cc1[nH]c2c(c3nc4ccccc4c1-3)C(=O)C(N1CCN(C)CC1)=CC2=O 1
Drug 3642                                                                                                                         CC(=O)Nc1ccc(Cc2ccc(N)cc2)cc1 0
Drug 3557                                                                                                                         CN(N=O)C(=O)c1c(N(C)N=O)ncn1C 1
Drug 3362                                                                                                              O=C(O)c1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O 1
Drug 1589                                                                                                         CCCC[C@@H]1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O 1
Drug 6001                                                       C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](OC(=O)/C=C/c5cccc(N(CCCl)CCCl)c5)CC[C@@]43C)[C@@H]1CCC(=O)N2 1
Drug 6853                                                                                                                 CN(C)CCNC(=O)n1c2ccccc2c(=O)c2ccccc21 1
Drug 5869                                                                                                                                      Cc1ccc2ccccc2c1C 0
Drug 4158                                                                                                                  c1ccc2c(c1)ccc1nc3ccc4c(c3cc12)CCCC4 1
Drug 7239                                                                                                                                        CC1CCCN(N=O)C1 1
Drug 6432                                                                                                                                         CC(O)CNCC(C)O 0
  Drug 22                                                                                                                 Cc1cc2c(nc(N)n2C)c2ncc(-c3ccccc3)nc12 1
Drug 3745                                                                                                      Cc1ccc(C(C)(C)C)c(O)c1C(O)c1ncc([N+](=O)[O-])n1C 0
Drug 5192                                                                                                                   CC(C)OC(=O)C[C@@](O)(CC(=O)O)C(=O)O 0
 Drug 365                                                                                                                               Clc1ccc(C(Cl)(Cl)Cl)cc1 1
Drug 1508                                                                                                                  CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1 0
Drug 1431                                                                                                                 CN(C)[P+](On1nnc2ccccc21)(N(C)C)N(C)C 0
Drug 5080                                                                                                                      CC(C)(C)C(=O)C1C(=O)c2ccccc2C1=O 0
Drug 5804                                                                                   COc1cc(C(=O)OCCCN2CCCN(CCCOC(=O)c3cc(OC)c(OC)c(OC)c3)CC2)cc(OC)c1OC 0
Drug 6066                                                                                                                 CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O 0
Drug 5612                                                                                                                           Cc1cccc2ccc3cc4ccccc4cc3c12 1
Drug 2433                                                                                               CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(O)C1)C(=O)c1c(O)cccc1C3=O 1
Drug 5358                                                                                                                 O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl 1
Drug 1164                                                                                                              O=[N+]([O-])c1cc2c3c(ccc4cccc(c43)CC2)c1 1
Drug 1968                                                                                                         Nc1ccc(-c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1 0
Drug 5298                                                                                                                  Cc1cc(=O)oc2c3c(ccc12)C1(C)OOC1(C)O3 1
Drug 3920                                                                                                                                  FC(C(F)(F)F)C(F)(F)F 0
Drug 6212                                                                                                                     Cc1cccc2cc3ccc4cccc5ccc(c12)c3c45 1
Drug 2138                                                                                                                                        Cc1cccc(NO)c1C 1
Drug 2925                                                                                                                                      C[C@H](Cl)CN(C)C 1
Drug 1296                                                                                                                       CCCCON(OC(C)=O)C(=O)c1ccc(C)cc1 1
Drug 3927                                                                                                               O=C(Nc1ccc(Br)cc1)c1csc([N+](=O)[O-])c1 1
Drug 4112                                                                                               CS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3cc(N=[N+]=[N-])ccc23)cc1 1
Drug 2027                                                                                                                             COC(=O)C12OC1(C)C(C)OC2=O 1
Drug 1815                                                                                                                         COc1c2ccoc2c(OC)c2oc(=O)ccc12 0
Drug 1094                                                                                           O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12 1
Drug 4838                                                                                                                 COc1nc2cc([N+](=O)[O-])cc(CBr)c2nc1OC 1
 Drug 488                                                                                                                          O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl 0
Drug 4358                                                                                                                          C[C@@H](O)CN(C[C@H](O)CO)N=O 1
Drug 2396                                                                                                            COc1ccc2c(c1)C(=O)c1c(OC)c(OC)cc3ccnc-2c13 1
Drug 2703                                                                                                                                 Nc1cc2ccccc2c2ccccc12 1
Drug 1126                                                                                                           O=S(=O)(O)Oc1ccc2cc3ccc4cccc5ccc(c2c1)c3c45 0
Drug 1599                                                                                                                          CCN(CC)c1ccc2c(C)cc(=O)oc2c1 0
Drug 2982                                                                                                                 CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1 0
Drug 6525                                                                           COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC 0
Drug 5642                                                                                                                                 CC(=O)Nc1cnc2ccccc2c1 0
 Drug 722                                                                                                                                c1scc2c1-c1cscc1C1NC21 1
Drug 3993                                                                                                                             ClCCN(CCCl)c1ccc2ccccc2c1 1
Drug 2865                                                                                                                           O=C(O)Cc1ccccc1[N+](=O)[O-] 1
Drug 2111                                                                                                                  O=C1c2c(ccc3ccccc23)-c2cccc3cccc1c23 0
Drug 1799                                                                                                                       CC(C)CN(C(=O)CCCl)c1snc2ccccc12 0
Drug 6985                                                                                                                                   Brc1ccccc1-c1ccccc1 0
Drug 4009                                                                                                                                        Nc1ccc2sncc2c1 1
Drug 4181                                                                                                                   Cc1cc([N+](=O)[O-])ccc1[N+](=O)[O-] 1
Drug 5196                                                                                                                                              O=C1CCO1 1
Drug 5033                                                                                                    O=[N+]([O-])c1cc([N+](=O)[O-])c2ccc3cccc4ccc1c2c43 1
 Drug 557                                                                                      O=C(O)C1CSC(c2ccccc2O)N1C(=O)CCSSCCC(=O)N1C(C(=O)O)CSC1c1ccccc1O 0
 Drug 126                                                                                                                                               CCCCC=O 0
Drug 7131                                                                                                                                       CCC=[N+]([O-])O 0
Drug 3209                                                                                                                                 COc1ccc2[nH]c(N)nc2c1 0
Drug 4531                                                                                                                                       Cc1ccc(C)c(N)c1 1
Drug 4781                                                                                                                    C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O 0
Drug 2250                                                                                                                                       O=C(O)c1ccccc1O 0
Drug 5464                                                                                                                [N-]=[N+]=NC[C@@H](O)Cn1cnc2c(N)ncnc21 1
Drug 4931                                                                                                                            CC(CC=O)c1ccc(C(C)(C)C)cc1 0
Drug 3255                                                                                                                           C=C[C@@H](O)c1ccc2c(c1)OCO2 0
Drug 5996                                                                                                                                    Nc1c(O)ccc2ccccc12 0
 Drug 876                                                                                               O=[N+]([O-])c1cc(Cl)cc(Sc2cc(Cl)cc([N+](=O)[O-])c2O)c1O 0
 Drug 412                                                                                                                                  C/C=C/c1cc(OC)ccc1OC 0
Drug 1573                                                                                                                             OC1C=Cc2c(ccc3cccnc23)C1O 1
Drug 5395                                                                                                                             Nc1ccc(Cl)cc1[N+](=O)[O-] 1
Drug 6828                                                                                                               CC(=O)c1cc(NC(N)=O)ccc1OCC(O)CNC(C)(C)C 1
Drug 2333                                                                                                                   O=C1C(c2[nH]c3ccccc3c2O)=Nc2ccccc21 1
Drug 1267                                                                                                                                  C[n+]1cccc(C(=O)O)c1 0
Drug 3621                                                                                 CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@H]2C[C@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21 0
 Drug 839                                                                                                                    OC1COC(NCCc2c[nH]c3ccccc23)C(O)C1O 1
Drug 6020                                                                                                                                     ON1CN(Cl)CN(Cl)C1 0
Drug 5896                                                                                                                                     Cc1cccc2sc(N)nc12 0
Drug 5244                                                                                                                        C[C@H](I)[C@@H]1OC[C@@H](CO)O1 1
Drug 2179                                                                                                                                        Cc1ccc(C=O)cc1 0
Drug 6879                                                                                                                         COC(=O)C12OC1(C)C(C(C)C)OC2=O 1
