Drug 4811                                                                                                                                                       CCC(=O)N(O)c1ccc2ccccc2c1 1
Drug 2771                                                                                                                                                                     ICCc1ccccc1 0
Drug 6440                                                                                                                                               CCCCCCCCS(=O)C(C)Cc1ccc2c(c1)OCO2 0
Drug 3817                                                                                                                                                           c1ccc(COCc2ccccc2)cc1 0
Drug 1874                                                                                                                                                   CN1CCc2c1ccc1ccc3ccc(O)cc3c21 1
Drug 6222                                                                                                                                                    CN(C)c1ccc(/C=C/c2ccccc2)cc1 1
Drug 5924                                                                                                                                                                        O=C(O)CS 0
Drug 2182                                                                                                                                                      c1cc2c(cc1C[C@@H]1CO1)OCO2 1
Drug 7116                                                                                                                                         Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1 0
Drug 4408                                                                                                                                                          NNc1ccccc1[N+](=O)[O-] 1
 Drug 894                                                                                                                                      O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1 1
Drug 1627                                                                                                                                                      ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl 0
Drug 2872                                                                                                                                                         CCCCCCCCCCCCOS(=O)(=O)O 0
Drug 4175                                                                                                                                               O=C(OCc1ccc(Cl)cc1)c1cccc2cccnc12 0
Drug 2592                                                                                                                                                           Nc1cccc(S(=O)(=O)O)c1 0
Drug 3526                                                                                                                                                                   Nc1cccc(Cl)c1 0
Drug 4907                                                                                                                                O=[N+]([O-])c1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2 1
Drug 3917                                                                                                                                                        Nc1ccc2c(N)c3ccccc3nc2c1 1
Drug 6993                                                                                                                                                  CCCC(C)(COC(N)=O)COC(=O)NC(C)C 0
Drug 7072                                                                                                                                  NCCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O 0
Drug 5558                                                                                                                                                 Cc1cc(N(CCO)CCO)ccc1N=Nc1cccnc1 0
Drug 2141                                                                                                                                   O[C@H]1C=C2c3cc4ccccc4cc3-c3cccc(c32)[C@@H]1O 1
 Drug 520                                                                                                                                                    CCc1c2ccccc2cc2ccc3ccccc3c12 0
Drug 2099                                                                                        Cc1c(N=[N+]([O-])c2cc([N+](=O)[O-])c(C)c([N+](=O)[O-])c2)cc([N+](=O)[O-])cc1[N+](=O)[O-] 1
Drug 4895                                                                                                                                               O=C1NC(=O)c2cc([N+](=O)[O-])ccc21 1
Drug 4556                                                                                                                                                  CN(C)CCC=C1c2ccccc2CCc2ccccc21 0
Drug 6294                                                                                                                                                              NCCCN1CCN(CCCN)CC1 0
Drug 6864                                                                                                                                                                   O=C(O)C(Cl)Br 1
Drug 4702                                                                                                                                                     COc1cc2nc3occc3c(OC)c2cc1OC 1
Drug 1581                                                                                                                                                              CC(=O)Nc1ccc(C)cc1 1
Drug 5590                                                                                                                                                      Cc1cc2c(nc1N)[nH]c1ccccc12 1
Drug 4413                                                                                                                                                O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1 1
Drug 2469                                                                                                                                O=[N+]([O-])c1ccc(/C=N/c2snc3c(Cl)cc(Cl)cc23)cc1 1
Drug 3830                                                                                                                                                       OC1C=Cc2c(ccc3ncccc23)C1O 0
Drug 4312                                                                                                                                                    CC(C)COC(=O)CCCCC(=O)OCC(C)C 0
Drug 6838                                                                                                                                CC1COc2c(N3CCN(C)CC3)c(F)c(C(=O)O)c3c(=O)ccn1c23 1
Drug 3572                                                                                                                                                  [N-]=[N+]=NCC(O)C(O)C(O)C(O)CO 1
Drug 7071                                                                                                                                                                     CC(O)C(=O)O 0
Drug 1752                                                                                                                                         COC(=O)c1cc(Cc2ccc(N)c(C(=O)OC)c2)ccc1N 1
Drug 5613                                                                                                                               Nc1ncnc2c1ncn2-c1ccc([N+](=O)[O-])cc1[N+](=O)[O-] 1
 Drug 451                                                                                                                                                      O=C(O)c1cc(O)c2cccc(O)c2n1 0
 Drug 532                                                                                                                                          CCOP(=O)(OCC)[C@@H](C)NC(=O)N(CCCl)N=O 1
Drug 5893                                                                                                                                                                          CC(C)N 0
 Drug 886                                                                                                                                              Nc1ccc(Nc2ccc([N+](=O)[O-])cc2)cc1 1
Drug 3946                                                                                                                                                         CC(OP(C)(=O)Cl)C(C)(C)C 0
  Drug 62                                                                                                                                                            Nc1ccc(Nc2ccccc2)cc1 0
Drug 6779                                                                                                                                              O=C(OCC1CO1)c1cccc(C(=O)OCC2CO2)c1 1
 Drug 951                                                                                       Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1N=Nc1ccc(-c2ccc(N=Nc3c(N)ccc4cc(S(=O)(=O)O)cc(O)c34)cc2)cc1 1
Drug 1546                                                                                                                                                                        C1CNCCN1 0
Drug 5257                                                                                                                                          O=S(=O)(Nc1ccc(Cl)cc1Cl)c1cccc2cccnc12 0
Drug 1012                                                                                                                                          C=CCn1cc2c3c(cccc31)C1CC(C)CN(C#N)C1C2 1
  Drug 54                                                                                                                                            Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1 0
Drug 1842                                                                                                                                                            COc1cccc(CN(C)N=O)c1 1
Drug 3051                                                                                                                                                       NC(CSC(Cl)=C(Cl)Cl)C(=O)O 1
Drug 4935                                                                                                                                                              COC(=O)CCCCC(=O)OC 0
Drug 6065                                                                                                                                       Cn1c(-c2ccccc2)c(N=Nc2scc[n+]2C)c2ccccc21 1
Drug 3338                                                                                                                                           O=C(c1ccccc1)C1OC1c1ccc(-c2ccccc2)cc1 0
Drug 5154                                                                                                                                                  O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl 0
Drug 3635                                                                                                                                                                          CC1CS1 0
Drug 1218                                                                                                                                                           Nc1cnc2ccc3ccccc3c2c1 1
 Drug 790                                                                                                                                              COc1ccc2c3c(cccc13)C(=O)c1ccccc1-2 1
Drug 6325                                                                                                                                                        CC(=O)Nc1cccc2cc(F)cnc12 1
 Drug 777                                                                                                                                                              CC(=O)Nc1ccc(N)cc1 1
  Drug 18                                                                                                                                                         NC(=O)Nc1nc2ccccc2[nH]1 1
Drug 1745                                                                                                                                                          COc1ccccc1[N+](=O)[O-] 1
Drug 3846                                                                                                                                                            CCNC(=O)CCC(N)C(=O)O 0
Drug 4975                                                                                                                                                         Cn1c(N)nc2nc3ccncc3cc21 0
 Drug 953                                                                                                                                    Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1 0
 Drug 673                                                                                                                                      Cc1cc2nc3cc(C)c(N)cc3[n+](-c3ccccc3)c2cc1N 1
Drug 4271                                                                                                                                                                       Oc1ccccc1 0
Drug 6350                                                                                                                                            O=c1oc2c([N+](=O)[O-])cccc2c2ccccc12 1
Drug 5292                                                                                                                                                      CCNC(=N)N(N=O)[N+](=O)[O-] 1
Drug 4042                                                                                                                                                                 C=CCOC(=O)CCCCC 0
Drug 4288                                                                                                                                                         Fc1cnc2c(ccc3ccccc32)c1 0
Drug 2060                                                                                                                                                                         O=C(O)O 0
Drug 4972                                                                                                                                                                 CCOc1ccc(N)cc1N 1
Drug 5908                                                                           CCOC(=O)[C@@H](C)C[C@](C)(C[C@H](C[C@@](C)(C[C@@H](C[C@](C)(CC)C(=O)O)C(=O)OCC)C(=O)O)C(=O)OCC)C(=O)O 1
Drug 4912                                                                                                                                               CCCOc1cc2c(c3ccc4ccccc4c13)CCC2=O 0
Drug 5815                                                                                                                                                                  Cc1occc(=O)c1O 1
Drug 5394                                                                                                                                                OCc1ccc2c(CO)c3ccc4ccccc4c3nc2c1 0
Drug 5508                                                                                                                                                  CCc1ccc2c3c(cccc13)-c1ccccc1-2 0
Drug 3449                                                                                                                                                         Cn1c2ccccc2c2cc(N)ccc21 1
Drug 7050                                                                                                                                                      CCCCCCCCCC=CCC1CC(=O)OC1=O 0
 Drug 646                                                                                                                                                    CN(C)c1ccc(N=Nc2ccccc2CO)cc1 1
Drug 6761                                                                                                                          COc1c2c(cc3oc4c(CCC(C)(C)O)ccc(O)c4c(=O)c13)OC1OC=CC21 1
 Drug 433                                                                                                                                            O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1 0
Drug 3133                                                                                                                                                        COc1c2ccc(O)cc2nc2occc12 0
Drug 1196                                                                                                                                               CN(C)CCNC(=O)c1cccc2c1Oc1ccccc1O2 1
 Drug 792                                                                                                       CNC1C(OC2C(OC3C(O)C(O)C(N=C(N)N)C(O)C3N=C(N)N)OC(C)C2(O)C=O)OC(CO)C(O)C1O 1
Drug 2510                                                                                                                                                            COc1cc(Cl)c(OC)cc1Cl 1
Drug 4731                                                                                                                                                           CC(C)(Cl)[N+](=O)[O-] 1
Drug 1048                                                                                                                                          COc1ccc(C(=O)Nc2ccccc2)cc1[N+](=O)[O-] 1
Drug 3359                                                                                                                                                      CCCC(=O)Nc1snc2cc(Cl)ccc12 0
Drug 6038                                                                                                                                                                   CC(=O)n1ccnc1 0
Drug 5476                                                                                                                                                        CC(C)COS(=O)(=O)c1ccccc1 1
Drug 4017                                                                                                                                                        O=NN(CCCl)C(=O)NC1CCCCC1 1
Drug 6465                                                                                                                                                             CC1CCC(C(C)C)C(O)C1 0
 Drug 357                                                                                                                                           CN(C)CCNC(=O)c1cccc2nc(-c3ccccc3)oc12 0
Drug 5230                                                                                                                                                       CN(C)C(=O)Oc1ccc[n+](C)c1 0
Drug 5205                                                                                                                                                        [O-][n+]1cccc2cccc(O)c21 0
Drug 2277                                                                                                                                                                           N#CCO 0
Drug 3888                                                                                                                                                                   Cc1cccc(C)c1C 1
Drug 3446                                                                                                                                                                       CCCC(=O)O 0
Drug 1066                                                                                                                                                               CCc1cccc(CC)c1N=O 1
Drug 1889                                                                                                                                                           ONc1ccc(Oc2ccccc2)cc1 1
 Drug 880                                                                                                                                     O=[N+]([O-])c1cc2c(cc3ccc4cccc5ccc2c3c45)o1 1
Drug 4356                                                                                                                                              c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21 1
Drug 1610                                                                                                                  O=C1c2cc([N+](=O)[O-])ccc2-c2c1cc([N+](=O)[O-])cc2[N+](=O)[O-] 1
Drug 5881                                                                                                                                                              COc1ccc(CC2CO2)cc1 1
 Drug 669                                                                                                                                                                CC(C)OS(C)(=O)=O 1
Drug 6826                                                                                                                          COc1cc(OC2OC(CO)C(O)C(O)C2O)c2c(=O)c3c(O)ccc(O)c3oc2c1 1
 Drug 686                                                                                                                                                               O=C(O)Cc1ccccc1Cl 0
Drug 1469                                                                                                                                                         CC(C)(C#N)N=NC(C)(C)C#N 0
Drug 1085                                                                                                                                                      Nc1ncnc2c1ncn2C1OC(CO)CC1O 1
Drug 3367                                                                                                                                              CCc1c2c(cc3ccccc13)-c1ccccc1C1NC21 1
Drug 3306                                                                                                                                                                    Clc1cccnc1Cl 1
Drug 4964                                                                                                                                Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1 0
Drug 1235                                                                                                                                                                 O=C(O)CCCC(=O)O 0
Drug 2545                                                                                                                                                               C[C@@H]1O[C@@H]1C 1
Drug 4646                                                                                                                                       CC(=O)OC1C2CC(C)(C)CC2=C(C=O)C2(C=O)CC12C 0
Drug 7178                                                                                                                                                           NC(CSCc1ccccc1)C(=O)O 0
 Drug 531                                                                                                                                                                   COc1ccc(N)cc1 1
Drug 5790                                                                                                                                                       CCCCCCCCCCSCn1cc[n+](C)c1 1
Drug 4876                                                                                                                                                                   CC1=CCC(=O)O1 0
Drug 6662                                                                                                                                                                OOC1CCCc2ccccc21 1
Drug 5438                                                                                                                                                                           C1CS1 1
Drug 4553                                                                                                                                                                       CC(=O)CCl 0
Drug 1920                                                                                                                                              COc1cc2ccnc3c2c(c1OC)-c1ccccc1C3=O 1
Drug 6702                                                                                                                                            CCC(=O)c1c2cccc(O)c2c(O)c2c(O)cccc12 1
 Drug 440                                                                                                                                                  Cc1ccc(S(=O)(=O)OCc2ccccc2)cc1 0
Drug 5499                                                                                                                                                 OCCNc1ccc(N=Nc2ccc(NCCO)cc2)cc1 1
Drug 1711                                                                                                                     C/C(=C(\CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N 0
Drug 7062                                                                                                                                             NCC1CCC(C(=O)c2ccc(CCC(=O)O)cc2)CC1 0
Drug 1445                                                                                                                                                      O=C(O)COc1cc(Cl)c(Cl)cc1Cl 0
Drug 3910                                                                                                                                                   O=[N+]([O-])c1ccccc1Nc1ccccc1 0
Drug 6934                                                                                                                                    Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O 1
Drug 5979                                                                                                                               Cc1ccc(N=Nc2c(O)c(C(=O)O)cc3ccccc23)cc1S(=O)(=O)O 0
Drug 6192                                                                                                                                                                NNc1nncc2cnccc12 1
Drug 4393                                                                                                                                                             O=NN1CCC[C@H](Cl)C1 1
Drug 3711                                                                                                                                                                     NC(=O)C1CO1 1
Drug 6241                                                                                                                                                        CC(=O)c1ccc(Cl)c(Cl)c1Cl 1
Drug 4332                                                                                                                                          CC(=O)OC(OC(C)=O)c1ccc([N+](=O)[O-])o1 1
Drug 6454                                                                                                                                                                 CCSCCC(N)C(=O)O 0
 Drug 390                                                                                                                                                            Nc1ccc(Sc2ccccc2)cc1 1
Drug 3821                                                                                                                                                     C[n+]1c2ccccc2c(N)c2ccccc21 1
Drug 5802                                                                                                                          O=C(O)C1OC(Oc2ccc3ccc4cc5ccccc5c5ccc2c3c45)C(O)C(O)C1O 0
Drug 1121                                                                                                                      C=C1C/C(=C/C)C(=O)O[C@H]2CCN3CC=C(COC(=O)[C@]1(C)O)[C@H]23 1
Drug 4961                                                                                                                                                          Cn1c(N)nc2ccc(C#N)cc21 1
Drug 6801                                                                                                                                   COc1cc2c(c3oc(O)c4c(O)ccc-4c13)C1C(O2)OC2OC21 1
Drug 1831                                                                                                                                                  Cc1cc2c(C)c3ccccc3nc2c2ccccc12 1
Drug 5124                                                                                                                                                         CC(=O)Nc1ccc(C(=O)O)cc1 0
Drug 6369                                                                                                                                            CCCCNC(=O)/C=C/c1ccc([N+](=O)[O-])o1 1
Drug 5917                                                                                                                                                  Cc1nc2cc(C)c3c(nc(N)n3C)c2nc1C 1
Drug 2552                                                                                                                                        CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O 0
Drug 5337                                                                                            C=C1C[C@]23C[C@@]1(O)CC[C@@H]2[C@@]12C=C[C@H](O)[C@@](C)(C(=O)O1)[C@H]2[C@@H]3C(=O)O 0
Drug 2490                                                                                                                                                        CC(=O)Nc1snc2ccc(Cl)cc12 1
Drug 5684                                                                                                                                                      COC(=O)C1=C(C)C(C)(O)OC1=O 0
Drug 3874                                                                                                                                                        C=CC(=O)OCCCCCCOC(=O)C=C 0
Drug 5184                                                                                                                                                               O=P(O)(O)OCC(O)CO 0
Drug 1972                                                                                                                            COC(=O)c1ccc([N+](=O)[O-])c2c(NCCCN(C)C)c3ccccc3nc12 1
 Drug 307                                                                                                                                               c1ccc2c(c1)cc1c3c2ccc2cccc(c23)C1 1
Drug 2624                                                                                                                                                             CCCCCCCCCCCCCC(=O)O 0
Drug 7060                                                                                                                                                                 CCCCC(CC)COCCCN 0
Drug 5688                                                                                                                                                               CCOP(=S)(OCC)SCCl 0
Drug 2259                                                                                                                                         Cn1c([N+](=O)[O-])nc2ncc(-c3ccccc3)cc21 1
Drug 3229                                                                                                                                                             c1ccc([C@H]2CO2)cc1 1
 Drug 688                                                                                                                                                      Nc1cnn(-c2ccccc2)c(=O)c1Cl 0
Drug 6415                                                                                                                                                                    CCCN(CCC)N=O 1
Drug 2792                                                                                                                                                    O=C(O)c1cccc([N+](=O)[O-])c1 1
Drug 3434                                                                                                                                              c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12 1
Drug 3456                                                                                                                                                       Oc1ncc2ccc3cccc4ccc1c2c34 0
Drug 4991                                                                                                                                                                            CC=O 0
Drug 6048                                                                                                                      Cc1ccc([N+](=O)[O-])cc1N=[N+]([O-])c1cc([N+](=O)[O-])ccc1C 0
Drug 1099                                                                                                                                                                Cc1ccc(C)c(O)c1C 0
Drug 5212                                                                                                                                                                     CCC/C=C/C=O 1
Drug 2479                                                                                                                                                           NC1c2ccccc2-c2ccccc21 0
Drug 3139                                                                                                                                                        Cc1cc(C)c2ccc3ccccc3c2c1 1
Drug 1736                                                                                                                                                         Cc1cccn2c1nc1ccc(N)nc12 1
Drug 2539                                                                                                                                        O=P(OCCC(Br)CBr)(OCCC(Br)CBr)OCCC(Br)CBr 0
Drug 3295                                                                                                                                                        CNC(=O)ON(C(C)=O)C(=O)NC 1
Drug 7117                                                                                                                                                                 CCC(C)c1ccccc1O 0
Drug 5753                                                                                                                                          c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61 1
Drug 1913                                                                                                                                                         O=S(=O)(O)ONNCCc1ccccc1 1
Drug 4943                                                                                              Nc1c(N=Nc2ccc([N+](=O)[O-])cc2)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccccc3)c(O)c12 1
Drug 5824                                                                                                                                                   Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl 1
Drug 4997                                                                                                                                         O=[N+]([O-])c1ccc(/C=N/c2snc3ccccc23)o1 1
 Drug 279                                                                                                                                                     O=c1[nH]c(=O)n(Cl)c(=O)n1Cl 0
Drug 2606                                                                                                                                            C=C[C@@H](OC(C)=O)c1ccc(OC)c2ccccc12 1
Drug 3028                                                                                                                                                                      N#CC(Cl)Cl 1
Drug 4522                                                                                                                                              O=C/C=C/C=C/c1ccc([N+](=O)[O-])cc1 1
Drug 4488                                                                                                                         C=CCC1=C(C)[C@H](OC(=O)[C@H]2[C@H](C=C(C)C)C2(C)C)CC1=O 1
 Drug 493                                                                                                                                          Cc1ccc2nc(-c3ccc(N)cc3)sc2c1S(=O)(=O)O 1
Drug 4227                                                                                                                                                      c1cc2ccc3ccnc4ccc(c1)c2c34 1
Drug 1712                                                                                                                                           Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1 1
Drug 2685                                                                                                                                     CC(=O)ON(OCc1ccc(C(C)(C)C)cc1)C(=O)c1ccccc1 1
Drug 4735                                                                                                                                                                       Nc1ccccn1 0
Drug 5566                                                                                                                                                    Cc1ccc2nc(-c3ccc(N)cc3)sc2c1 1
Drug 4854                                                                                                                                                         O=C(CO)N(O)c1ccc(Cl)cc1 0
Drug 3259                                                                                                COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C 1
Drug 4783                                                                                                            O=[N+]([O-])c1cccc(CO/N=C/c2nc3cc([N+](=O)[O-])ccc3n2Cc2ccc(F)cc2)c1 0
Drug 4967                                                                                                                                                            CCCC[C@@H](CC)COCCCN 0
 Drug 930                                                                                                                                                                CC1(c2ccccc2)CO1 1
Drug 3775                                                                                                                                                         O=C/C(CCl)=C(\Cl)C(=O)O 1
Drug 3505                                                                                                                                                               Nc1cc(Cl)cc(Cl)c1 0
 Drug 396                                                                                                                                                               CNc1ccc2nccnc2c1C 1
Drug 3455                                                                                                                                                                   NCCNCCNCCNCCN 1
Drug 4628                                                                                                                                                         O=C(Nc1ccccc1)Nc1ccccc1 0
Drug 1724                                                                                                                             O=[N+]([O-])c1cc2c([nH]c3ccccc32)c([N+](=O)[O-])c1O 1
Drug 1349                                                                                                                                                            Oc1cccc(Nc2ccccc2)c1 0
Drug 5841                                                                                                                                           CCOP(=O)(OCC)N1C2c3ccccc3-c3ccccc3C21 1
 Drug 701                                                                                                                                                   O=C(O)COc1ccc(N(CCCl)CCCl)cc1 1
Drug 1993                                                                                                                                                  CN(CCC#N)c1ccc(N=Nc2ccccc2)cc1 1
Drug 3506                                                                                                                                                       c1ccc2c(c1)OCCOCCOCCOCCO2 0
Drug 3604                                                                                                                                                          c1ccc(CSSCc2ccccc2)cc1 1
 Drug 492                                                                                                                                  Nc1cc([N+](=O)[O-])ccc1-c1ccc([N+](=O)[O-])cc1 1
Drug 5385                                                                                                                                                O=C1c2cccc(O)c2C(=O)c2cccc(O)c21 1
Drug 1738                                                                                                                  O=[N+]([O-])c1ccc2c(c1)cc([N+](=O)[O-])c1ccc([N+](=O)[O-])cc12 1
Drug 2611                                                                                                                                                        [N-]=[N+]=NCC(O)c1ccccc1 1
Drug 2953                                                                                                                              CC(C)CCCC(C)C1CCC2C3CC(O)C4(O)CC(O)CCC4(C)C3CCC12C 1
Drug 6238                                                                                                                                                       OC1c2ccc3ncccc3c2C2OC2C1O 0
Drug 3691                                                                                                                                                               CC(C)CC(=O)CC(C)C 0
Drug 1179                                                                                                                                                                       CCCCNCCCC 0
Drug 6956                                                                                                                                                                    NC(=O)CC1CO1 1
Drug 5983                                                                                                                                                         CCCC(=O)c1cc(O)c(O)cc1O 1
Drug 4641                                                                                                                                      CCOC(=O)CSc1ccc2c3c(cccc13)C(=O)c1ccccc1-2 1
 Drug 368                                                                                                                                                                  NC(=O)c1cnccn1 0
Drug 2061                                                                                                                                                            COP1(=S)OCc2ccccc2O1 1
Drug 6302                                                                                                                                              Oc1cccc2c1ccc1c3c4c(cccc4cc12)C=C3 1
Drug 3928                                                                                                                                                                     ClC/C=C/CCl 1
Drug 4184                                                                                                                                                                           N#CCl 0
Drug 3015                                                                                                                                        O=P(O)(O)OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O 0
Drug 6974                                                                                                                                                           CCCCC(CC)CNCC(CC)CCCC 0
Drug 4762                                                                                                                                                                        NCC(=O)O 0
Drug 3987                                                                                                                                               C1=Cc2c(cc3ccc4cccc5ccc2c3c45)CC1 1
Drug 6106                                                                                                                           Cc1cc(-c2cc3c(cc2F)n2c(=O)n(O)c(=O)cc2n3C2CC2)cc(C)n1 1
Drug 3944                                                                                                                                                  CCCCCCN(N=O)C(=N)N[N+](=O)[O-] 1
Drug 3071                                                                                                              COC(=O)C(=C\CO)/C=C(C)/C=C(C)/C=C/C=C(\C)C(=O)C12OC1C(O)(CCO)NC2=O 1
 Drug 423                                                                                                                                                        CCC(=O)Nc1snc2ccc(C)cc12 0
 Drug 760                                                                                                CC(C)=CCC/C(C)=C/CC/C(C)=C/C(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C 0
Drug 2107                                                                                                                                                                  Clc1cccc(Cl)n1 0
Drug 3157                                                                                                                                COC(=O)c1oc([N+](=O)[O-])c(-c2ccccc2)c1-c1ccccc1 1
