                                                           nafimidone                                                                                                                                                                                                                                                                                                                        O=C(Cn1ccnc1)c1ccc2ccccc2c1 1
                         betamethasone-acetate(dexamethasone-acetate)                                                                                                                                                                                                                                           CC(=O)OCC(=O)[C@@]1(OC(=O)C(C)C)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C 1
                                                 Nor-2-chlorpromazine                                                                                                                                                                                                                                                                                                                       NCCCN1c2ccccc2Sc2ccc(Cl)cc21 1
                                                           fosfomycin                                                                                                                                                                                                                                                                                                                          C[C@@H]1O[C@@H]1P(=O)(O)O 1
                                                            mexazolam                                                                                                                                                                                                                                                                                                          CC1COC2(c3ccccc3Cl)c3cc(Cl)ccc3NC(=O)CN12 1
                                           ketipramine(ketimipramine)                                                                                                                                                                                                                                                                                                                  CN(C)CCCN1c2ccccc2CC(=O)c2ccccc21 1
                                                bromperidol-decanoate                                                                                                                                                                                                                                                                                         CCCCCCCCCC(=O)OC1(c2ccc(Br)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1 1
                                                            docetaxel                                                                                                                                                                                  CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C 0
                                                                  thc                                                                                                                                                                                                                                                                                                 CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21 1
                                                      2-Methylpentane                                                                                                                                                                                                                                                                                                                                           CCCC(C)C 1
                                                       Mefenamic_acid                                                                                                                                                                                                                                                                                                                        Cc1cccc(Nc2ccccc2C(=O)O)c1C 0
                                                          mecloxamine                                                                                                                                                                                                                                                                                                              CC(CN(C)C)OC(C)(c1ccccc1)c1ccc(Cl)cc1 0
                                                         ciclopramine                                                                                                                                                                                                                                                                                                                       CNC1CCN2c3ccccc3CCc3cccc1c32 1
                                                     hydroxyephedrine                                                                                                                                                                                                                                                                                                                              CNC(C)C(O)c1ccc(O)cc1 0
                                                            meropenem                                                                                                                                                                                                                                                                      C[C@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)C12.O.O.O 0
                                                            Aciclovir                                                                                                                                                                                                                                                                                                                       Nc1nc(=O)c2ncn(COCCO)c2[nH]1 1
                                                                9-C15                                                                                                                                                                                                                                                                                                     COc1cc2c(c(CN[C@@H]3CCCN[C@H]3c3ccccc3)c1)OCC2 1
                                                            berupipam                                                                                                                                                                                                                                                                                                    CN1CCc2cc(Cl)c(O)cc2[C@@H](c2cc(Br)cc3c2OCC3)C1 1
                                                           duloxetine                                                                                                                                                                                                                                                                                                                      CNCCC(Oc1cccc2ccccc12)c1cccs1 1
                                                           gentamicin                                                                                                                                                                                                                                                                                          CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1 0
                                                           amcinafide                                                                                                                                                                                                                                                         CC12C[C@H](O)[C@@]3(F)C(CCC4=CC(=O)C=CC43C)[C@@H]1C[C@H]1O[C@@](C)(c3ccccc3)O[C@]12C(=O)CO 1
                                                        sulfasalazine                                                                                                                                                                                                                                                                                              O=C(O)C1=C/C(=N\Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)C=CC1=O 0
                                                             thebaine                                                                                                                                                                                                                                                                                                COC1=CC=C2[C@H]3Cc4ccc(OC)c5c4[C@@]2(CCN3C)[C@H]1O5 1
                                                           salbutamol                                                                                                                                                                                                                                                                                                                      CC(C)(C)NCC(O)c1ccc(O)c(CO)c1 0
                                                      Salicyluricacid                                                                                                                                                                                                                                                                                                                             O=C(O)CNC(=O)c1ccccc1O 1
                                                               harman                                                                                                                                                                                                                                                                                                                            Cc1nccc2c1[nH]c1ccccc12 1
                                                            avizafone                                                                                                                                                                                                                                                                                            CN(C(=O)CNC(=O)[C@@H](N)CCCCN)c1ccc(Cl)cc1C(=O)c1ccccc1 1
                                                           Bretazenil                                                                                                                                                                                                                                                                                              CC(C)(C)OC(=O)c1ncn2c1[C@@H]1CCCN1C(=O)c1c(Br)cccc1-2 1
                                                  Hydrochlorothiazide                                                                                                                                                                                                                                                                                                                 NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O 0
                                                           dixyrazine                                                                                                                                                                                                                                                                                                         CC(CN1CCN(CCOCCO)CC1)CN1c2ccccc2Sc2ccccc21 1
                                                          perafensine                                                                                                                                                                                                                                                                                                                c1ccc(-c2nc(N3CCNCC3)cc3ccccc23)cc1 1
                                                            timirdine                                                                                                                                                                                                                                                                                                                             N=C1SCCN1c1ccc(Cl)cc1N 1
                                                            Tamoxifen                                                                                                                                                                                                                                                                                                      CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1 1
                                                             nabilone                                                                                                                                                                                                                                                                                         CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(=O)C[C@@H]21 1
                                                           desflurane                                                                                                                                                                                                                                                                                                                                 FC(F)OC(F)C(F)(F)F 1
                                          midazolam(midazolammaleate)                                                                                                                                                                                                                                                                                                             Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2 1
                                                          etoperidone                                                                                                                                                                                                                                                                                                         CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC 1
                                                         etodroxizine                                                                                                                                                                                                                                                                                       O=C(O)/C=C/C(=O)O.OCCOCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1 1
                                                               azabon                                                                                                                                                                                                                                                                                                                Nc1ccc(S(=O)(=O)N2CC3CCC(CC3)C2)cc1 1
                                              Phenoxymethylpenicillin                                                                                                                                                                                                                                                                                        CC1(C)S[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N2[C@H]1C(=O)[O-] 0
                                                          benztropine                                                                                                                                                                                                                                                                                                    CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2.O=S(=O)(O)O 1
                                                         butriptyline                                                                                                                                                                                                                                                                                                                   CC(CC1c2ccccc2CCc2ccccc21)CN(C)C 1
                                                       benzyl-alcohol                                                                                                                                                                                                                                                                                                                                         OCc1ccccc1 1
                                                             ketamine                                                                                                                                                                                                                                                                                                                           CNC1(c2ccccc2Cl)CCCCC1=O 1
                                                         imiclopazine                                                                                                                                                                                                                                                                                                CN1CCN(CCN2CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)C1=O 1
                                                           arfendazam                                                                                                                                                                                                                                                                                                          CCOC(=O)N1CCC(=O)N(c2ccccc2)c2cc(Cl)ccc21 1
                                                         enilospirone                                                                                                                                                                                                                                                                                                                   CC1OC2(CCCCC2Oc2cccc(Cl)c2)NC1=O 1
                                                           umespirone                                                                                                                                                                                                                                                                                    CCCCN1C(=O)C2C(=O)N(CCCCN3CCN(c4ccccc4OC)CC3)C(=O)C(C1=O)C2(C)C 1
                                                           chromocarb                                                                                                                                                                                                                                                                                                                           O=C(O)c1cc(=O)c2ccccc2o1 1
                                                           ketazocine                                                                                                                                                                                                                                                                                                        CC1[C@H]2C(=O)c3ccc(O)cc3[C@]1(C)CCN2CC1CC1 1
                                                             Org12962                                                                                                                                                                                                                                                                                                                       FC(F)(F)c1ccc(N2CCNCC2)nc1Cl 1
                                                          fencamfamin                                                                                                                                                                                                                                                                                                                           CCNC1C2CCC(C2)C1c1ccccc1 1
                                                          cyheptamide                                                                                                                                                                                                                                                                                                                        NC(=O)C1c2ccccc2CCc2ccccc21 1
                                                          Bethanechol                                                                                                                                                                                                                                                                                                                      CC(C[N+](C)(C)C)OC(N)=O.[Cl-] 0
                                                   hydroflumethiazide                                                                                                                                                                                                                                                                                                           NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O 0
                                                            cefprozil                                                                                                                                                                                                                                                                              C/C=C/C1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1.O 0
                                                       chlorthalidone                                                                                                                                                                                                                                                                                                         NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl 0
                                                         procarbazine                                                                                                                                                                                                                                                                                                                          CNNCc1ccc(C(=O)NC(C)C)cc1 1
                                                        Triamcinolone                                                                                                                                                                                                                                                            C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO 0
                                                          carfecillin                                                                                                                                                                                                                                                                            CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)Oc3ccccc3)c3ccccc3)C(=O)N2[C@H]1C(=O)O 0
                                                      Ethacrynic acid                                                                                                                                                                                                                                                                                                               C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl 0
                                                                  8-5                                                                                                                                                                                                                                                                                                       Cc1ccc(CC2=CNC(NCCSCc3ccc(CN(C)C)o3)=NC2)cn1 0
                                                           motrazepam                                                                                                                                                                                                                                                                                                    COCN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21 1
                                                       corticosterone                                                                                                                                                                                                                                                                         C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO 0
                                                          azacyclonol                                                                                                                                                                                                                                                                                                                     OC(c1ccccc1)(c1ccccc1)C1CCNCC1 1
                                                             talbutal                                                                                                                                                                                                                                                                                                                     C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O 1
                                                          cinitapride                                                                                                                                                                                                                                                                                             CCOc1cc(N)c([N+](=O)[O-])cc1C(=O)NC1CCN(CC2CC=CCC2)CC1 1
                                                          binospirone                                                                                                                                                                                                                                                                                                           O=C1CC2(CCCC2)CC(=O)N1CCNCC1COc2ccccc2O1 1
                                                         ethosuximide                                                                                                                                                                                                                                                                                                                                 CCC1(C)CC(=O)NC1=O 1
                                                       acetaminosalol                                                                                                                                                                                                                                                                                                                   CC(=O)Nc1ccc(OC(=O)c2ccccc2O)cc1 1
                                                           furomazine                                                                                                                                                                                                                                                                                                  O=C1OCCC1C1(O)CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1 1
                                                         mesoridazine                                                                                                                                                                                                                                                                                                            CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)=O)cc21 1
                                                         clofenciclan                                                                                                                                                                                                                                                                                                                   CCN(CC)CCOC1(c2ccc(Cl)cc2)CCCCC1 1
                                                           nalbuphine                                                                                                                                                                                                                                                                                                     Oc1ccc2c3c1OC1C(O)CCC4(O)C(C2)N(CC2CCC2)CCC314 1
                                             carphenazine/carfenazine                                                                                                                                                                                                                                                                                                    CCC(=O)c1ccc2c(c1)N(CCCN1CCN(CCO)CC1)c1ccccc1S2 1
                                                         rotamicillin                                                                                                                                                                                                                                                            CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)Cc3ccc(C4=NCCCN4)cc3)c3ccccc3)C(=O)N2[C@H]1C(=O)O 0
                                         alphameprodine/betameprodine                                                                                                                                                                                                                                                                                                            CCC(=O)O[C@]1(c2ccccc2)CCN(C)C[C@@H]1CC 1
                                                           mibefradil                                                                                                                                                                                                                                                                                 COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C 0
                                                           rociclovir                                                                                                                                                                                                                                                                                                                CC(C)OCC(COC(C)C)OCn1cnc2cnc(N)nc21 1
                                                          Cycloserine                                                                                                                                                                                                                                                                                                                                         NC1CONC1=O 1
                                                            carubicin                                                                                                                                                                                                                                                                        CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1c(O)cccc1C3=O 0
                                                        ftorpropazine                                                                                                                                                                                                                                                                                                 O=C(CCN1CCN(CCO)CC1)N1c2ccccc2Sc2ccc(C(F)(F)F)cc21 1
                                                          mazapertine                                                                                                                                                                                                                                                                                    CC(C)Oc1ccccc1N1CCN(Cc2cccc(C(=O)N3CCCCC3)c2)CC1.O=C(O)CCC(=O)O 1
                                                        clometocillin                                                                                                                                                                                                                                                                             COC(C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)c1ccc(Cl)c(Cl)c1 0
                                                            SKF101468                                                                                                                                                                                                                                                                                                                       CCCN(CCC)CCc1cccc2c1CC(=O)N2 1
                                                           pirbuterol                                                                                                                                                                                                                                                                                                                      CC(C)(C)NCC(O)c1ccc(O)c(CO)n1 0
                                                            prazepine                                                                                                                                                                                                                                                                                                                      CN(C)CCCN1c2ccccc2CCc2ccccc21 1
                                                     9-OH Risperidone                                                                                                                                                                                                                                                                                                 Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O 1
                                                        acefurtiamine                                                                                                                                                                                                                                                                                         CC(=O)OCC(=O)OCC/C(SC(=O)c1ccco1)=C(/C)N(C=O)Cc1cnc(C)nc1N 1
                                                          fenmetozole                                                                                                                                                                                                                                                                                                                           Clc1ccc(OCC2=NCCN2)cc1Cl 1
                                                            yohimbine                                                                                                                                                                                                                                                                              COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]21 0
                                                         tienocarbine                                                                                                                                                                                                                                                                                                                  Cc1csc2ccc3[nH]c4c(c3c12)CN(C)CC4 1
                                                            cefetamet                                                                                                                                                                                                                                                                                     CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(C)CS[C@H]12)c1csc(N)n1 0
                                                          oxymorphone                                                                                                                                                                                                                                                                                             CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5 1
                                                            zimeldine                                                                                                                                                                                                                                                                                                                  CN(C)C/C=C(/c1ccc(Br)cc1)c1cccnc1 1
                                                          rodorubicin                                                                                                                                             CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@H]3C[C@@H]4O[C@H]5CC(=O)[C@H](C)O[C@H]5O[C@@H]4[C@H](C)O3)[C@H](C)O2)c2c(O)c3c(c(O)c2[C@H]1O[C@H]1C[C@H](N(C)C)[C@H](O)[C@H](C)O1)C(=O)c1cccc(O)c1C3=O 0
                                                            mitomycin                                                                                                                                                                                                                                                                                CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12 0
                                             tryptophan(l-tryptophan)                                                                                                                                                                                                                                                                                                                   N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O 1
                                                       glycopyrrolate                                                                                                                                                                                                                                                                                                  C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1.[Br-] 0
                                                          trimetozine                                                                                                                                                                                                                                                                                                                    COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC 1
                                                          Zolantidine                                                                                                                                                                                                                                                                        O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O.c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1 1
                                                                 5-68                                                                                                                                                                                                                                                                                                                                         NCCc1nccs1 1
                                                           tampramine                                                                                                                                                                                                                                                                                                           CN(C)CCCN1c2ccccc2C(c2ccccc2)=Nc2cccnc21 1
                                                         aripiprazole                                                                                                                                                                                                                                                                                                    O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1 1
                                                            naflocort                                                                                                                                                                                                                                                     C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1C[C@H]1Cc3ccccc3C[C@]12C(=O)CO.O 1
                              flumethasone(flumetasoneanddiflorasone)                                                                                                                                                                                                                                                     C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO 1
                                                         petrichloral                                                                                                                                                                                                                                                                          OC(OCC(COC(O)C(Cl)(Cl)Cl)(COC(O)C(Cl)(Cl)Cl)COC(O)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl 1
                                                            ifoxetine                                                                                                                                                                                                                                                                                                                     Cc1cccc(O[C@H]2CCNC[C@H]2O)c1C 1
                                                   Aminosalicylicacid                                                                                                                                                                                                                                                                                                                               Nc1ccc(C(=O)O)c(O)c1 0
                                                                 5-67                                                                                                                                                                                                                                                                                                                                    CN(C)CCc1ccccn1 1
                                                            Ephedrine                                                                                                                                                                                                                                                                                                                        CN[C@@H](C)[C@H](O)c1ccccc1 0
