  CHEMBL47406                                                                                                                                                                                                                                                           COC(=O)COc1ccc(O)cc1 0.0
 CHEMBL480445                                                                                                                                                                                                                             COc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(C)CC1 1.0
CHEMBL1831079                                                                                                                                                                                                                                             NC(=O)Nc1cc(-c2cccc(O)c2)sc1C(N)=O 1.0
CHEMBL2036581                                                                                                                                                                                                                                          COc1ccc(NC(=O)c2nnc(Nc3ccccc3F)o2)cn1 1.0
 CHEMBL314566                                                                                                                                                                                                                                                              Oc1cc(Cl)cc(Cl)c1 1.0
 CHEMBL378730                                                                                                                                                                                                                                Cc1ccc2c(c1)c(-c1ccnc3c(Cl)cccc13)c(C)n2CC(=O)O 1.0
    CHEMBL561                                                                                                                                                                                                                                CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21 0.0
   CHEMBL1172                                                                                                                                                                                                                                             Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1 1.0
CHEMBL1079175                                                                                                                                                                                                                        NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1 1.0
 CHEMBL236859                                                                                                                                                                                                                                 Cc1sc(CN2CCNCC2)cc1C(=O)NCC12CC3CC(CC(C3)C1)C2 1.0
CHEMBL1338338                                                                                                                                                                                                                                        O=C(c1ccc(F)cc1)C1CCN(C(=O)N2CCOCC2)CC1 1.0
CHEMBL2181926                                                                                                                                                                                                                      CCOC(=O)C1=C(C)NC(C)=C(C(C)=O)[C@H]1c1cccc2c(=O)cc(C)oc12 1.0
  CHEMBL50149                                                                                                                                                                                                                                      O=C1C(=O)c2cccc([N+](=O)[O-])c2-c2ccccc21 1.0
CHEMBL2023117                                                                                                                                                                                                                          CCn1cc(NC(=O)Cc2ccc(Oc3ccnc4cc(OC)c(OC)cc34)cc2OC)cn1 1.0
    CHEMBL135                                                                                                                                                                                                                           C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O 1.0
CHEMBL1313164                                                                                                                                                                                                                                            Cc1nc(CSc2ccc(Cl)cc2)cc(N2CCOCC2)n1 1.0
CHEMBL2010846                                                                                                                                                                                                          CO[C@@H]1CN(Cc2ccc(C(F)(F)F)cc2)CC[C@@H]1N(C)C(=O)Cc1ccc(-n2cnnn2)cc1 1.0
 CHEMBL361795                                                                                                                                                                                                                                               N#Cc1cccc(-c2nc(-c3ccccn3)no2)c1 1.0
CHEMBL2088099                                                                                                                                                                                                                                       COCCCc1cc(Nc2ccnc(NCc3cc(C)no3)n2)n[nH]1 1.0
 CHEMBL442995                                                                                                                                                                                                                                             Cc1c(-c2ccc(O)cc2)n(C)c2ccc(O)cc12 1.0
CHEMBL1762547                                                                                                                                                                                                                      CCN(c1ccnc(Nc2cc(N3CCOCC3)cc(N3CCOCC3)c2)n1)c1cc(CO)ccc1C 1.0
 CHEMBL376813                                                                                                                                                                                                         COc1cc(N2CC[C@@H](N(C)C)C2)c2[nH]c(C(=O)Nc3ccc(N4CCOCC4)cc3)cc(=O)c2c1 1.0
 CHEMBL146095                                                                                                                                                                                                                                       O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12 1.0
CHEMBL1415894                                                                                                                                                                                                                                               c1ccc(Nc2cc(Nc3ccccc3)[nH]n2)cc1 1.0
CHEMBL1818328                                                                                                                                                                                                                                  O=S(=O)(c1ccccc1-c1ccc(CNC2CCOCC2)cc1)N1CCCC1 1.0
 CHEMBL247479                                                                                                                                                                                                                      CN(C)CCOc1ccc(-c2oc3ncnc(NC[C@@H]4CCCO4)c3c2-c2ccccc2)cc1 1.0
CHEMBL2325707                                                                                                                                                                                                                   CN1CCC(c2cc(N3CCOCC3)nc(-c3cccc4[nH]ccc34)n2)(S(C)(=O)=O)CC1 1.0
CHEMBL1944695                                                                                                                                                                                                                     O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3ccc(CNCCc4ccccc4)cc3)c2s1 1.0
CHEMBL1437137                                                                                                                                                                                                                                                       CC(N)(COP(=O)(O)O)C(=O)O 1.0
CHEMBL1773959                                                                                                                                                                                                                                       O=C(O)CCC(=O)N1CCC(c2nc(-c3cccs3)no2)CC1 0.0
CHEMBL2010844                                                                                                                                                                                                             CN(C(=O)Cc1ccc(-n2cnnn2)cc1)[C@H]1CCN(Cc2ccc(C(F)(F)F)cc2)C[C@H]1F 1.0
CHEMBL2153303                                                                                                                                                                                                                             CCCNc1nc(N2CCC[C@@H](CC(=O)O)C2)ccc1C(=O)NC1CCCCC1 1.0
     CHEMBL10                                                                                                                                                                                                                      C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1 1.0
 CHEMBL562698                                                                                                                                                                                                                                O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccnc(N2CCNCC2)c1Cl 1.0
CHEMBL1319232                                                                                                                                                                                                                                               Cc1ccc(-n2[nH]c(=O)c3cccnc32)cc1 1.0
CHEMBL1332736                                                                                                                                                                                                                                                         O=C(Oc1ccccc1)N1CCOCC1 1.0
CHEMBL1835913                                                                                                                                                                                                                                     CCOC(=O)c1ccc(OCCC2CCN(c3ccc(C)nn3)CC2)cn1 1.0
 CHEMBL511782                                                                                                                                                                                                                  COc1ccc(N(C(=O)c2ccccc2)C(C(=O)NC[C@@H](C)O)c2ccccc2F)c(OC)c1 1.0
 CHEMBL185315                                                                                                                                                                                                                     Cc1ccc(NC(=O)c2ccnc(N3CCOCC3)c2)cc1Nc1ccnc(OC2CCN(C)CC2)n1 1.0
 CHEMBL417727                                                                                                                                                                                                                                               Nc1ccc2c(c1)C(=O)C(=O)c1ccccc1-2 1.0
CHEMBL2179273                                                                                                                                                                                                    CCC[C@H](c1ccc(C(=O)O)c(Oc2cccc(Cl)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1 0.0
  CHEMBL47875                                                                                                                                                                                                                                                      Oc1ccc(-c2nc3ccccc3s2)cc1 1.0
CHEMBL1430414                                                                                                                                                                                                                                                            Fc1cc2[nH]cnc2cc1Cl 1.0
CHEMBL1736016                                                                                                                                                                                                                                       O=C(NC1CCCCC1)C1CCCN(S(=O)(=O)c2cccs2)C1 1.0
   CHEMBL1373                                                                                                                                                                                                                                           NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1 1.0
 CHEMBL514384                                                                                                                                                                                                                   COCCS(=O)(=O)N1CCN(c2ccc(Nc3nccc(-c4cnc(C)n4C(C)C)n3)cc2)CC1 1.0
 CHEMBL127066                                                                                                                                                                                                                                                     Oc1nc(-c2ccccc2)nc2ccccc12 1.0
CHEMBL2179287                                                                                                                                                                                                                             Cc1cn(C2CCCN(Cc3cccc(Oc4ccccc4)c3)C2)c(=O)[nH]c1=O 1.0
CHEMBL1089168                                                                                                                                                                                                                           O=C(NCCNC(=O)c1cn(-c2ccccc2)nc1C(F)(F)F)c1ccc(Cl)cn1 1.0
    CHEMBL488                                                                                                                                                                                                                                                  CCC1(c2ccc(N)cc2)CCC(=O)NC1=O 0.0
 CHEMBL462192                                                                                                                                                                                                                        Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CCCN(C)CC4)cc3)ncc2F)n1C(C)C 1.0
 CHEMBL586906                                                                                                                                                                                                                                      C=CC12CCN(CC1)C(C(O)c1ccnc3ccc(OC)cc13)C2 1.0
 CHEMBL112924                                                                                                                                                                                                   CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)NCc2cc[n+]([O-])cc2)c1=O)C(=O)C(F)(F)F 1.0
CHEMBL1933594                                                                                                                                                                                                           C[C@H]1O[C@@H](n2cnc3c(N)nc(OCC4CC(F)(F)C4(F)F)nc32)[C@H](O)[C@@H]1O 1.0
CHEMBL1538857                                                                                                                                                                                                                                                     Cc1cc(Nc2ccccc2)n(CCC#N)n1 1.0
CHEMBL2171984                                                                                                                                                                                                                          N#CCNC(=O)[C@@H]1CCCC[C@H]1C(=O)N1CCN(c2ccc(F)cc2)CC1 1.0
CHEMBL1233689                                                                                                                                                                                                                       CCCCSc1nc(N)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1 1.0
CHEMBL2158793                                                                                                                                                                                                                 Cc1cc(F)ccc1OC1CCN(CC2CCN([C@@](C)(Cc3ccc(F)cc3)C(=O)O)CC2)CC1 1.0
 CHEMBL226905                                                                                                                                                                                                                            CC(c1ccsc1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O 0.0
  CHEMBL61236                                                                                                                                                                                                                                                                Nc1ccc2ccccc2n1 1.0
CHEMBL2177173                                                                                                                                                                                                             CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cnccc4CN4CCCC4)n3)cc2)CC1 1.0
CHEMBL2331750                                                                                                                                                                                                           Cc1cc(Oc2cc(S(=O)(=O)N3CCC[C@H](n4cc(C)c(=O)[nH]c4=O)C3)ccc2O)ccc1Cl 1.0
CHEMBL1778629                                                                                                                                                                                                                               CCS(=O)(=O)c1cccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1 0.0
 CHEMBL213294                                                                                                                                                                                                                                     COc1ccc(NC(=O)CSc2nnc(C)n2-c2ccc(C)cc2)cc1 1.0
 CHEMBL412083                                                                                                                                                                                                                         CCNC(=O)c1ccc(CN2CCC(c3ccc(C(=O)Nc4ccccc4N)cc3)CC2)cc1 1.0
CHEMBL1086580                                                                                                                                                                                                                                           Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2 1.0
CHEMBL1479463                                                                                                                                                                                                                                          COc1cc(O)cc2occ(-c3ccc(O)cc3)c(=O)c12 1.0
  CHEMBL81624                                                                                                                                                                                                              COc1cc(C(=O)NS(=O)(=O)c2ccccc2)ccc1Cn1ncc2ccc(NC(=O)CC3CCCC3)cc21 1.0
 CHEMBL593300                                                                                                                                                                                                                                            Cn1c(CN2CCN(c3ccccc3)CC2)nc2ccccc21 1.0
 CHEMBL193240                                                                                                                                                                                                                                  O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1 1.0
 CHEMBL563545                                                                                                                                                                                                                                    O=C1/C(=N\O)c2ccccc2N1Cc1ccccc1[N+](=O)[O-] 1.0
 CHEMBL488085                                                                                                                                                                                                                                Cc1ncc(-c2ccnc(Nc3ccc(C(=O)N(C)C)cc3)n2)n1C(C)C 1.0
CHEMBL2171026                                                                                                                                                                                                                O=C(c1ccc(-c2nn[nH]n2)cc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1 1.0
 CHEMBL220346                                                                                                                                                                                                                                                 Nc1ncccc1NCc1cccc(-c2cccnc2)c1 1.0
CHEMBL2346968                                                                                                                                                                                                                                  Fc1ccc(CN2CCN(c3ccc4nnc(C(F)(F)F)n4n3)CC2)cc1 1.0
 CHEMBL113725                                                                                                                                                                                                     CC(C)C(NC(=O)Cn1c(-c2ccccc2)ccc(NC(=O)Cc2ccc(C(=O)O)cc2)c1=O)C(=O)C(F)(F)F 0.0
CHEMBL1950860                                                                                                                                                                                                       CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(C(F)(F)F)cc2)C1)C(C)(C)C 1.0
 CHEMBL574413                                                                                                                                                                                                                          Cc1cc(Oc2ccnc(Nc3cccc(N4CCOCC4)c3)c2)c(-c2ccccn2)nc1C 1.0
CHEMBL2086692                                                                                                                                                                                                                             Cc1nc(N2CCN(c3ncc(OCc4ccncc4C#N)cn3)[C@H](C)C2)no1 1.0
CHEMBL2178393                                                                                                                                                                                                                                        Nc1nnc(CCSCCc2nnc(NC(=O)Cc3ccccc3)s2)s1 1.0
CHEMBL1762546                                                                                                                                                                                                                     Cc1ccc(CO)cc1N(C)c1ccnc(Nc2cc(N3CCOCC3)cc(S(C)(=O)=O)c2)n1 1.0
 CHEMBL446519                                                                                                                                                                                                                                             N#Cc1nc(NC2CCOC2)c(N)c(N2CCOCC2)n1 1.0
 CHEMBL190270                                                                                                                                                                                                                                 N#Cc1cccc(C(=O)Nc2cc(-c3ccccc3)nn2-c2ccccc2)c1 1.0
CHEMBL1900501                                                                                                                                                                                                                                                     O=C(Cc1ccccc1)c1ccc(O)cc1O 1.0
 CHEMBL289832                                                                                                                                                                                                                                       O=[N+]([O-])c1c(Cl)c(Cl)cc2nc(O)c(O)nc12 0.0
CHEMBL1824044                                                                                                                                                                                                                     COc1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2 0.0
  CHEMBL84158                                                                                                                                                                                                                                          CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC 0.0
 CHEMBL190354                                                                                                                                                                                                                                           O=C1O[C@]2(CN3CCC2CC3)CN1c1ccc(Br)s1 1.0
  CHEMBL49739                                                                                                                                                                                                                                          NC(=O)COc1ccc(OCCNCC(O)COc2ccccc2)cc1 0.0
 CHEMBL182380                                                                                                                                                                                                                CCN(C(=O)NCc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1 1.0
CHEMBL1683032                                                                                                                                                                                                                            CCOc1cc2nnc(C(N)=O)c(Nc3cc(C)ccc3F)c2cc1N1CCN(C)CC1 1.0
CHEMBL2035026                                                                                                                                                                                                                               CCn1cnc2cnc(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)c21 1.0
CHEMBL1682826                                                                                                                                                                                                                                                   O=C1CCOc2nc(OCc3ccccc3)ccc21 1.0
CHEMBL2036567                                                                                                                                                                                                                                    O=C(Nc1ccc(N2CCOCC2)cc1)c1nnc(Nc2ccccc2F)o1 1.0
CHEMBL2087850                                                                                                                                                                                                                  CCn1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O 1.0
CHEMBL1881943                                                                                                                                                                                                                                            NC(=O)c1ccc(=O)n(Cc2ccc(Cl)cc2Cl)c1 1.0
CHEMBL1536083                                                                                                                                                                                                                                     CCOC(=O)CN(c1ccccc1C)S(=O)(=O)c1ccc(Cl)cc1 1.0
CHEMBL1762533                                                                                                                                                                                                                        COc1ccnc(N(C)c2ccnc(Nc3cc(N4CCOCC4)cc(N4CCOCC4)c3)n2)c1 1.0
CHEMBL1809197                                                                                                                                                                                                                      COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(OC)c(-c2cnc3ccccn23)n1 1.0
 CHEMBL186174                                                                                                                                                                                                                                        Clc1ccc(CN(Cc2ccc(Cl)cc2)c2nn[nH]n2)cc1 1.0
 CHEMBL226906                                                                                                                                                                                                                              Cc1ccsc1Cn1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O 1.0
 CHEMBL568011                                                                                                                                                                                                                        COc1cc(C(=O)Nc2ccc(Cl)c(-c3nc4ccccc4[nH]3)c2)cc(OC)c1OC 1.0
 CHEMBL470915                                                                                                                                                                                                                                         N#Cc1nc(NC2CC3CCC2C3)c(N)c(N2CCOCC2)n1 1.0
  CHEMBL99689                                                                                                                                                                                                                                  CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3C#N)n2)cc1 1.0
CHEMBL1209429                                                                                                                                                                                                                                       O=S(=O)(Cc1ccccc1)NCC(c1ccccc1)N1CCCCCC1 1.0
CHEMBL2179296                                                                                                                                                                                                                     Cc1cn([C@H]2CCCN(Cc3cccc(Oc4cccc(Br)c4)c3)C2)c(=O)[nH]c1=O 1.0
 CHEMBL131842                                                                                                                                                                                                                                    O=c1[nH][nH]c(=O)c2c(O)c3c(Cl)cc(Cl)cc3nc12 0.0
CHEMBL2086680                                                                                                                                                                                                                                CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3ccncc3C#N)cn2)CC1 1.0
CHEMBL1570112                                                                                                                                                                                                                                                 CCn1c2ccccc2c2cc(NC(C)=O)ccc21 1.0
CHEMBL1565348                                                                                                                                                                                                                                          CCCc1c(C(=O)Nc2cc(C)on2)cnn1-c1ccccc1 1.0
CHEMBL1525826                                                                                                                                                                                                                                                COc1nccnc1NS(=O)(=O)c1ccc(N)cc1 0.0
  CHEMBL32066                                                                                                                                                                                                                      CNC(=O)c1cccc(S(=O)(=O)Nc2ncc(C)nc2OC)c1-c1ccc(CC(C)C)cc1 1.0
   CHEMBL1464                                                                                                                                                                                                                                          CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O 0.0
 CHEMBL457887                                                                                                                                                                                                                         Cc1ncc(-c2ccnc(Nc3ccc(S(=O)(=O)CCCN(C)C)cc3)n2)n1C(C)C 1.0
 CHEMBL232830                                                                                                                                                                                                                       CN(C)C(=O)CN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21 1.0
  CHEMBL82663                                                                                                                                                                                                                                O=S(=O)(CCCOCCc1ccccc1)CCNCCc1ccc(O)c2nc(O)sc12 1.0
CHEMBL1650734                                                                                                                                                                                                                      Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)nc(N3CCOCC3)c2Cl)n[nH]1 1.0
 CHEMBL226804                                                                                                                                                                                                                      CC(c1cc2ccccc2o1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O 1.0
CHEMBL1560828                                                                                                                                                                                                                                              CCc1cccc2c(C#N)cn(CC(=O)NCCOC)c12 1.0
  CHEMBL75435                                                                                                                                                                                                                                          C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1 0.0
CHEMBL1778645                                                                                                                                                                                                                                  CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(C)c1 0.0
CHEMBL1916287                                                                                                                                                                                                              Cc1nn(-c2ccc(F)cc2)c(NS(=O)(=O)c2cccnc2)c1C(=O)N[C@@H](C)C(C)(C)C 0.0
 CHEMBL481312                                                                                                                                                                                                                                                             CC(=O)N(C)c1ccccc1 1.0
CHEMBL1917449                                                                                                                                                                                                                          CC(=O)Nc1cccc2c1c(S(=O)(=O)c1ccc(Cl)cc1)c(C)n2CC(=O)O 0.0
CHEMBL1448393                                                                                                                                                                                                                               CCOC(=O)c1ccccc1-c1csc(NS(=O)(=O)c2ccc(Cl)cc2)n1 1.0
CHEMBL1917428                                                                                                                                                                                                                                  Cc1c(Sc2ccc(Cl)cc2)c2c(C#N)c(Cl)ccc2n1CC(=O)O 1.0
CHEMBL1835906                                                                                                                                                                                                                                     CCOC(=O)c1ccc(OCCC2CN(c3ccc(C)nn3)CCO2)cc1 1.0
 CHEMBL360227                                                                                                                                                                                                                  CCN(CC)CCN1C(=O)[C@@](O)(c2ccccc2Cl)c2c1cc(C(N)=O)cc2C(F)(F)F 1.0
 CHEMBL481400                                                                                                                                                                                                                               CN1CCN(c2ccc3ncc(C(N)=O)c(Nc4ccc(F)cc4F)c3c2)CC1 1.0
CHEMBL1531981                                                                                                                                                                                                                                      Cc1oc(-c2ccccc2)cc1C(=O)Nc1cccc(C(=O)O)c1 1.0
 CHEMBL114868                                                                                                                                                                                                 CC(=O)Nc1cccc(S(=O)(=O)Nc2ccc(-c3ccccc3)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c2=O)c1 1.0
CHEMBL2336320                                                                                                                                                                                                              COc1ccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)cc1C(N)=O 1.0
 CHEMBL593196                                                                                                                                                                                                                                            Cn1c(CN2CCC(c3ccccc3)CC2)nc2ccccc21 1.0
 CHEMBL271012                                                                                                                                                                                                                                   C[C@H](CO)Nc1nc(SCc2ccccc2F)nc2[nH]c(=O)sc12 1.0
CHEMBL1689129                                                                                                                                                                                                                           C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccccc1Cl 1.0
 CHEMBL108246                                                                                                                                                                                                                               Cc1ccccc1CCOCCCS(=O)(=O)CCNCCc1ccc(O)c2nc(O)sc12 1.0
CHEMBL1184060                                                                                                                                                                                                                          CC(C)CC(c1ccncc1)n1[nH]c(=O)c2nc3cc(Cl)ccc3c(O)c2c1=O 1.0
 CHEMBL319136                                                                                                                                                                                                                   CN(C)C(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2cc(Cl)ccc2[nH]1 1.0
CHEMBL2321993                                                                                                                                                                                                                                                  OCC[C@]1(c2cc3ccccc3o2)CCCNC1 0.0
CHEMBL2030815                                                                                                                                                                                                                     O=C(N[C@@H](Cc1ccc(OCCCNc2ccccn2)cc1)C(=O)O)c1c(Cl)cccc1Cl 0.0
CHEMBL2023802                                                                                                                                                                                                                     CCOc1cc2nccc(Oc3cnc(CC(=O)Nc4n[nH]c(CC)c4C)c(OC)c3)c2cc1OC 1.0
CHEMBL2325732                                                                                                                                                                                                                     CC(=O)NCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1 1.0
 CHEMBL520734                                                                                                                                                                                                                                     NC(=O)Nc1sc(-c2ccsc2)cc1C(=O)N[C@H]1CCCNC1 1.0
 CHEMBL376632                                                                                                                                                                                                                       Cc1cc(N2CCC[C@@H]2C(=O)NCCc2ccc3c(c2)OCO3)nc(-n2ccnc2)n1 1.0
CHEMBL1223955                                                                                                                                                                                                                NC(=O)c1cccc([S+]([O-])[C@@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1 1.0
 CHEMBL411799                                                                                                                                                                                                                COc1cc(Nc2ncnc3cccc(O[C@H](C)C(=O)N4CCOCC4)c23)ccc1Oc1ccc(C)nc1 1.0
  CHEMBL62083                                                                                                                                                                                                                                                                Nc1nccc2ccccc12 1.0
CHEMBL2140153                                                                                                                                                                                                                                                    O=c1oc(-c2ccccc2)cc2ccccc12 1.0
 CHEMBL451570                                                                                                                                                                                                                                      Nc1nccc(-c2cc3c([nH]2)[C@H](CCF)CNC3=O)n1 0.0
 CHEMBL128637                                                                                                                                                                                                                                           COc1ccc2[nH]c(C(=O)N3CCN(C)CC3)cc2c1 1.0
  CHEMBL50347                                                                                                                                                                                                                             COC(=O)CCCCCCC(=O)Nc1ccc2c(c1)C(=O)C(=O)c1ccccc1-2 1.0
 CHEMBL385563                                                                                                                                                                                                                        Clc1ccc2c(c1Nc1ncnc3cc(OCCN4CCCC4)cc(OC4CCOCC4)c13)OCO2 1.0
 CHEMBL139725                                                                                                                                                                                                                                                               O=Cc1ccccc1B(O)O 0.0
CHEMBL2028019                                                                                                                                                                                                                        CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1 1.0
 CHEMBL430507                                                                                                                                                                                                                         CN(C)CC(O)COc1ccc(Nc2nccc(N(CC#N)c3cc(Cl)ccc3Cl)n2)cc1 1.0
 CHEMBL440464                                                                                                                                                                                                                                                               CN1CCCC1c1cccnc1 0.0
 CHEMBL445102                                                                                                                                                                                                                                     OC1(c2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1 1.0
