                                              cintriamide(cintramide)                                                                                                                                                                                                                                                                                                                      COc1cc(/C=C/C(N)=O)cc(OC)c1OC 1
                                                        mephenoxalone                                                                                                                                                                                                                                                                                                                            COc1ccccc1OCC1CNC(=O)O1 1
                                                           meticillin                                                                                                                                                                                                                                                                                    COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12 0
                                                          adafenoxate                                                                                                                                                                                                                                                                                                        O=C(COc1ccc(Cl)cc1)OCCNC12CC3CC(CC(C3)C1)C2 1
                                                            heptabarb                                                                                                                                                                                                                                                                                                                   CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O 1
                                                            Ephedrine                                                                                                                                                                                                                                                                                                                        CN[C@@H](C)[C@H](O)c1ccccc1 0
                                                             mesocarb                                                                                                                                                                                                                                                                                                        CC(Cc1ccccc1)n1cc([N-]C(=O)Nc2ccccc2)[o+]n1 1
                                                           furomazine                                                                                                                                                                                                                                                                                                  O=C1OCCC1C1(O)CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1 1
                                                             prazepam                                                                                                                                                                                                                                                                                                             O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1 1
                                                           celiprolol                                                                                                                                                                                                                                                                                                    CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1 1
                                                            Ofloxacin                                                                                                                                                                                                                                                                                                   CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23 1
                                                        talampicillin                                                                                                                                                                                                                                                                    CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc21 0
                                                          propafenone                                                                                                                                                                                                                                                                                                                 CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1 0
                                                            zolazepam                                                                                                                                                                                                                                                                                                                Cc1nn(C)c2c1C(c1ccccc1F)=NCC(=O)N2C 1
                                                         meprednisone                                                                                                                                                                                                                                                                    C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3C(=O)C[C@]2(C)[C@@]1(O)C(=O)CO 1
                                                           oxilorphan                                                                                                                                                                                                                                                                                             Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CC1)CC3 1
                                              virginiamycin-factor-m1                                                                                                                                                                                                                                                                        CC1=C/C(O)CC(=O)Cc2nc(co2)C(=O)N2CCC=C2C(=O)OC(C(C)C)C(C)/C=C\C(=O)NC/C=C\1 0
                                                            algestone                                                                                                                                                                                                                                                                         CC(=O)[C@@]1(O)[C@H](O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C 1
                                                          aclarubicin                                                                                                                                                                                                                           CC[C@@]1(O)C[C@H](OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC 0
                                                       benzyl-alcohol                                                                                                                                                                                                                                                                                                                                         OCc1ccccc1 1
                                                  sulthiame(sultiame)                                                                                                                                                                                                                                                                                                                 NS(=O)(=O)c1ccc(N2CCCCS2(=O)=O)cc1 1
                                  methiomeprazine(levometiomeprazine)                                                                                                                                                                                                                                                                                                              CSc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2 1
                                                          Dacarbazine                                                                                                                                                                                                                                                                                                                          CN(C)N/N=C1/N=CN=C1C(N)=O 1
                                                            docetaxel                                                                                                                                                                                  CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C 0
                                         beclomethasone/beclometasone                                                                                                                                                                                                                                                            C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO 1
                                            Bis-hydroxylated-L-663581                                                                                                                                                                                                                                                                                                 CN1Cc2c(-c3noc(C(C)(CO)CO)n3)ncn2-c2cccc(Cl)c2C1=O 0
                                                 dichlorisone-acetate                                                                                                                                                                                                                                                                                CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)C=CC4(C)[C@@]3(Cl)C(Cl)CC21C 1
                                                            dibekacin                                                                                                                                                                                                                                                                                              NCC1CCC(N)C(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)O1 0
                                                       chlorthalidone                                                                                                                                                                                                                                                                                                         NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl 0
                                                            cefotetan                                                                                                                                                                                                                                                                   CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21 0
                                                                 5-68                                                                                                                                                                                                                                                                                                                                         NCCc1nccs1 1
                                                           lesopitron                                                                                                                                                                                                                                                                                                                  Clc1cnn(CCCCN2CCN(c3ncccn3)CC2)c1 1
                                                             Org32104                                                                                                                                                                                                                                                                                                            Cc1cccc2c1Oc1ccccc1[C@@]1(O)CCNC[C@H]21 1
                                                            SKF101468                                                                                                                                                                                                                                                                                                                       CCCN(CCC)CCc1cccc2c1CC(=O)N2 1
                                                          tisocromide                                                                                                                                                                                                                                                                                              COc1cc2c(cc1OC)S(=O)(=O)OC(C(=O)NC(C)CC(C)(C)N(C)C)C2 1
                                                               Y-G 14                                                                                                                                                                                                                                                                                                                                       CNCCc1ccccn1 1
                                                          azabuperone                                                                                                                                                                                                                                                                                                                   O=C(CCCN1CCN2CCCC2C1)c1ccc(F)cc1 1
                                                           cefditoren                                                                                                                                                                                                                                                                              CO/N=C(\C(=O)NC1C(=O)N2C(C(=O)O)=C(/C=C\c3scnc3C)CS[C@H]12)c1csc(N)n1 0
                                                          cefamandole                                                                                                                                                                                                                                                                               Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](O)c3ccccc3)[C@H]2SC1 1
                                                     hydroxypethidine                                                                                                                                                                                                                                                                                                                   CCOC(=O)C1(c2cccc(O)c2)CCN(C)CC1 1
                                                           Nelfinavir                                                                                                                                                                                                                                                              Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C 0
                                                           femoxetine                                                                                                                                                                                                                                                                                                                  COc1ccc(OCC2CN(C)CCC2c2ccccc2)cc1 1
                                                          efrotomycin                                                                                                                                                                                        C/C=C/C=C/C1OC(O)(C(CC)C(=O)NC/C=C/C=C(\C)C(OC)C(C)C2OC(/C=C/C=C/C=C(\C)C(=O)c3c(O)n(C)ccc3=O)C(O)C2O)C(O)C(OC2OC(C)C(OC3OC(C)C(OC)C(O)C3OC)C(OC)C2O)C1(C)C 0
                                                          butoctamide                                                                                                                                                                                                                                                                                                                             CCCCC(CC)CNC(=O)CC(C)O 1
                                                        Pyrimethamine                                                                                                                                                                                                                                                                                                                      CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1 1
                                                          ciclazindol                                                                                                                                                                                                                                                                                                                OC1(c2cccc(Cl)c2)C2=NCCCN2c2ccccc21 1
                                                                 5-67                                                                                                                                                                                                                                                                                                                                    CN(C)CCc1ccccn1 1
                                                            depramine                                                                                                                                                                                                                                                                                                                     CN(C)CCCN1c2ccccc2C=Cc2ccccc21 1
                                                            moxadolen                                                                                                                                                                                                                                                                                            CNC(=O)O[C@H]1OC(=O)[C@]2(C)[C@@H]3C=C[C@@H](C3)[C@H]12 1
                                                        Meclofenamate                                                                                                                                                                                                                                                                                                                   Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl 0
                                                        tetrabarbital                                                                                                                                                                                                                                                                                                                     CCCC(CC)C1(CC)C(=O)NC(=O)NC1=O 1
                                                                  11a                                                                                                                                                                                                                                                                                                                      CN(C)c1cc(-c2nc(N)n[nH]2)ccn1 0
                                                            suriclone                                                                                                                                                                                                                                                                                            CN1CCN(C(=O)OC2C3=C(SCCS3)C(=O)N2c2ccc3ccc(Cl)nc3n2)CC1 1
                                                            losindole                                                                                                                                                                                                                                                                                                   CN1C[C@@H]2[C@@H](Cc3ccc(Cl)cc3[C@H]2c2ccccc2)C1 1
                                         alphameprodine/betameprodine                                                                                                                                                                                                                                                                                                            CCC(=O)O[C@]1(c2ccccc2)CCN(C)C[C@@H]1CC 1
                                                          phenacemide                                                                                                                                                                                                                                                                                                                              NC(=O)NC(=O)Cc1ccccc1 1
                                               fluticasone-propionate                                                                                                                                                                                                                                              CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C 1
                                                     fluocortin-butyl                                                                                                                                                                                                                                                   CCCCOC(=O)C(=O)[C@H]1[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C 1
                                                          triflubazam                                                                                                                                                                                                                                                                                                       CN1C(=O)CC(=O)N(c2ccccc2)c2cc(C(F)(F)F)ccc21 1
                                                           benorilate                                                                                                                                                                                                                                                                                                             CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1 1
                                                           ceftibuten                                                                                                                                                                                                                                                                               Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1.O.O 0
                                                           almecillin                                                                                                                                                                                                                                                                                                   C=CCSCC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-].[Na+] 0
                                                     Clidiniumbromide                                                                                                                                                                                                                                                                                             C[N+]12CCC(CC1)C(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2.[Br-] 0
                                                            bemegride                                                                                                                                                                                                                                                                                                                              CCC1(C)CC(=O)NC(=O)C1 1
                                                           tofisoline                                                                                                                                                                                                                                                                                           CCc1c(C)[n+]([NH-])c(-c2ccc(OC)c(OC)c2)c2cc(OC)c(OC)cc12 1
                                                           oxiracetam                                                                                                                                                                                                                                                                                                                                NC(=O)CN1CC(O)CC1=O 1
                                                            alentemol                                                                                                                                                                                                                                                                                                                  CCCN(CCC)C1Cc2cccc3cc(O)cc(c23)C1 1
                                                           pentiapine                                                                                                                                                                                                                                                                                                                   CN1CCN(C2=Nc3ccccc3Sc3nccn32)CC1 1
                                                           Alprazolam                                                                                                                                                                                                                                                                                                              Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2 1
                                             difluanine(difluanazine)                                                                                                                                                                                                                                                                                                  Fc1ccc(C(CCCN2CCN(CCNc3ccccc3)CC2)c2ccc(F)cc2)cc1 1
                                                          rilmazafone                                                                                                                                                                                                                                                                                         CN(C)C(=O)c1nc(CNC(=O)CN)n(-c2ccc(Cl)cc2C(=O)c2ccccc2Cl)n1 1
                                                          ondansetron                                                                                                                                                                                                                                                                                                                  Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O 1
                                                           clorgiline                                                                                                                                                                                                                                                                                                                         C#CCN(C)CCCOc1ccc(Cl)cc1Cl 1
                                                          desipramine                                                                                                                                                                                                                                                                                                                         CNCCCN1c2ccccc2CCc2ccccc21 1
                                                           aliflurane                                                                                                                                                                                                                                                                                                                              COC1(F)C(F)(F)C1(F)Cl 1
                                                         rescinnamine                                                                                                                                                                                                                                        COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC 1
                                                     hydroxyphenamate                                                                                                                                                                                                                                                                                                                           CCC(O)(COC(N)=O)c1ccccc1 1
                                                            arecoline                                                                                                                                                                                                                                                                                                                                COC(=O)C1=CCCN(C)C1 1
                                                     Sulfamethoxazole                                                                                                                                                                                                                                                                                                                    Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1 1
                                                            Digitoxin                                                                                                                                                                C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O 0
                                                          deserpidine                                                                                                                                                                                                                                                 COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC 1
                                                           cefivitril                                                                                                                                                                                                                                                                                     Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CS/C=C\C#N)[C@H]2SC1 0
                                                        proxyphylline                                                                                                                                                                                                                                                                                                                    CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C 1
                                                            RO19-4603                                                                                                                                                                                                                                                                                                            CN1Cc2c(C(=O)OC(C)(C)C)ncn2-c2ccsc2C1=O 1
                                                          Zolantidine                                                                                                                                                                                                                                                                        O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O.c1cc(CN2CCCCC2)cc(OCCCNc2nc3ccccc3s2)c1 1
                                                           adinazolam                                                                                                                                                                                                                                                                                                         CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2 1
                                             triamcinolone-furetonide                                                                                                                                                                                                                                    CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)COC(=O)c2cc3ccccc3o2)O1 1
                                                          Moclobemide                                                                                                                                                                                                                                                                                                                       O=C(NCCN1CCOCC1)c1ccc(Cl)cc1 1
                                                           cefazedone                                                                                                                                                                                                                                                                        Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cc(Cl)c(=O)c(Cl)c4)[C@H]3SC2)s1 0
                                                      Dichloromethane                                                                                                                                                                                                                                                                                                                                              ClCCl 1
                                                         clomocycline                                                                                                                                                                                                                                                  CN(C)[C@@H]1C(=O)/C(=C(/O)NCO)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12 0
                                                           milameline                                                                                                                                                                                                                                                                                                                                CO/N=C/C1=CCCN(C)C1 1
                                                         aceglutamide                                                                                                                                                                                                                                                                                                                           CC(=O)NC(CCC(N)=O)C(=O)O 1
                                                           temocillin                                                                                                                                                                                                                                                                              CO[C@@]1(NC(=O)C(C(=O)O)c2ccsc2)C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@@H]21 0
                                                           lorcainide                                                                                                                                                                                                                                                                                                       CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1 1
                                                        acetozalamide                                                                                                                                                                                                                                                                                                                         CC(=O)Nc1nnc(S(N)(=O)=O)s1 1
                                                       prednisolamate                                                                                                                                                                                                                                                                                      CCN(CC)CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C 1
                                                            girisopam                                                                                                                                                                                                                                                                                                           COc1cc2c(cc1OC)C(c1cccc(Cl)c1)=NN=C(C)C2 1
                                                           Lupitidine                                                                                                                                                                                                                                                                                                  Cc1ccc(Cc2cnc(NCCSCc3ccc(C(C)(C)N)o3)[nH]c2=O)cn1 0
                                                           tenilapine                                                                                                                                                                                                                                                                                                           CN1CCN(C2=Nc3cscc3/C(=C/C#N)c3cscc32)CC1 1
                                                          Aminopyrine                                                                                                                                                                                                                                                                                                                    Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C 1
                                                        benzquinamide                                                                                                                                                                                                                                                                                                    CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O 1
                                                                   25                                                                                                                                                                                                                                                                                                              O=C(NCCCOc1cccc(CN2CCCCC2)c1)c1ccccc1 1
                                                            estazolam                                                                                                                                                                                                                                                                                                               Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2 1
                                                            nerisopam                                                                                                                                                                                                                                                                                                            COc1cc2c(cc1OC)C(c1ccc(N)cc1)=NN=C(C)C2 1
                                   descinolone(descinolone-acetonide)                                                                                                                                                                                                                                                             CC(=O)[C@@]1(O)[C@H](O)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C 1
                                                      levomepromazine                                                                                                                                                                                                                                                                                                          COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2 1
                                                          fluzinamide                                                                                                                                                                                                                                                                                                                 CNC(=O)N1CC(Oc2cccc(C(F)(F)F)c2)C1 1
                                                           tazobactam                                                                                                                                                                                                                                                                                                C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O 0
                                                  dihydrostreptomycin                                                                                                                                                                                                          CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](O)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3N=C(N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O 0
                                                    Dihydroergotamine                                                                                                                                                                                                                                       CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21 0
