CHEMBL1831214                                                                                                                                                                                                                                                NC(=O)Nc1cc(-c2ccccc2)sc1C(N)=O 1.0
 CHEMBL421604                                                                                                                                                                                                                   CS(=O)(=O)Nc1ccc(CCOCCCS(=O)(=O)CCNCCc2ccc(O)c3nc(O)sc23)cc1 1.0
CHEMBL2179284                                                                                                                                                                                              Cc1cn([C@H]2CCCN([C@H](CC3CCCCC3)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O 1.0
    CHEMBL646                                                                                                                                                                                                                                        Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2 1.0
 CHEMBL481596                                                                                                                                                                                                                              CN1CCN(c2cc3c(Nc4ccc(F)cc4F)c(C(N)=O)cnc3cc2F)CC1 1.0
    CHEMBL438                                                                                                                                                                                                                                               Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1 0.0
    CHEMBL841                                                                                                                                                                                                                     CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1 1.0
 CHEMBL424451                                                                                                                                                                                                                                     COc1ccc(C)c(NC(=O)CC23CC4CC(CC(C4)C2)C3)c1 1.0
 CHEMBL486504                                                                                                                                                                                                                              COc1cc2c(c(OC)c1OC)-c1ccc(O)cc1[C@@H](NC(C)=O)CC2 1.0
CHEMBL1605684                                                                                                                                                                                                                                  CC(=O)c1cn(Cc2ccccc2)c(=O)n(Cc2ccc(F)cc2)c1=O 1.0
 CHEMBL195329                                                                                                                                                                                                                                       O=C(N[C@H]1CN2CCC1CC2)c1ccc(-c2ccccc2)s1 1.0
  CHEMBL11032                                                                                                                                                                                                            CC(C)C(NC(=O)Cn1c(-c2cccnc2)ncc(NC(=O)OCc2ccccc2)c1=O)C(=O)C(F)(F)F 1.0
    CHEMBL641                                                                                                                                                                                                                                                 CNCC[C@@H](Oc1ccccc1C)c1ccccc1 1.0
 CHEMBL602745                                                                                                                                                                                                                         CS(=O)(=O)N1CC[C@H](N(Cc2ccccc2Cl)c2ccc(C#N)c(Cl)c2)C1 1.0
 CHEMBL193240                                                                                                                                                                                                                                  O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1 1.0
CHEMBL1809229                                                                                                                                                                                                                COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3c(F)cc(F)cn23)n1 1.0
CHEMBL1221551                                                                                                                                                                                                               CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC=CC3)c(Cc3ccccc3C(F)(F)F)sc21 1.0
CHEMBL2347404                                                                                                                                                                                                                  Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5cccc(N6CCOCC6)c5)cc34)cc2Cl)c1 1.0
CHEMBL1080151                                                                                                                                                                                                                          Cc1cnc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)nc(N3CCOCC3)c2F)s1 1.0
CHEMBL1957038                                                                                                                                                                                                                                                  Oc1ccc(C2=Cc3ccc(O)cc3OC2)cc1 1.0
CHEMBL2010839                                                                                                                                                                                                                      CN(C(=O)Cc1ccc(-n2cnnn2)cc1)C1CCN(Cc2ccc(C(F)(F)F)nc2)CC1 1.0
CHEMBL2207606                                                                                                                                                                                                                 COc1cc(OC)c(S(=O)(=O)N2c3ccccc3Oc3ccccc32)cc1NC(=O)/C=C/C(=O)O 0.0
CHEMBL2170989                                                                                                                                                                                                              Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCCCNC(=O)Nc2ccccc2)[C@@H](O)[C@H]1O 1.0
CHEMBL1951164                                                                                                                                                                                                                                   COc1cc(OC)c(S(=O)(=O)N(C)c2ccccc2)cc1NC(C)=O 1.0
CHEMBL2323303                                                                                                                                                                                                                     O=S(=O)(Nc1ncc(Cl)s1)c1cc(F)c(Oc2ccc(F)cc2-c2cn[nH]c2)cc1F 1.0
CHEMBL1373079                                                                                                                                                                                                                                             COc1ccc(-c2cc(=O)c3ccccc3[nH]2)cc1 1.0
CHEMBL1689114                                                                                                                                                                                                                              O=C(O)COc1ccc(Cl)cc1CN1CCCN(S(=O)(=O)c2ccccc2)CC1 1.0
CHEMBL2035028                                                                                                                                                                                                                                    NC1(c2ccc(-c3ncc4ncccc4c3-c3ccccc3)cc2)CCC1 1.0
 CHEMBL517544                                                                                                                                                                                                                                      COc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3)c2cc1OC 1.0
  CHEMBL51781                                                                                                                                                                                                                                   COC(=O)CCC(=O)Nc1ccc2c(c1)-c1ccccc1C(=O)C2=O 1.0
  CHEMBL73303                                                                                                                                                                                                                                  NS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1 1.0
CHEMBL2036782                                                                                                                                                                                                                      CC(C)N1CCN[C@@H](C(=O)N2CCN(C(=O)Nc3ccc(Cl)c(Cl)c3)CC2)C1 1.0
 CHEMBL446519                                                                                                                                                                                                                                             N#Cc1nc(NC2CCOC2)c(N)c(N2CCOCC2)n1 1.0
CHEMBL2070943                                                                                                                                                                                                              N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCN(c3nc(C(F)(F)F)cs3)CC2)CC1 1.0
CHEMBL2207286                                                                                                                                                                                              CN(C)S(=O)(=O)c1ccc2c(C(=O)NC[C@@H](O)CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)c[nH]c(=O)c2c1 1.0
 CHEMBL399539                                                                                                                                                                                                                         COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C@@H]1c1cccc2nonc12 1.0
CHEMBL1779016                                                                                                                                                                                                                                          COc1cc(F)ccc1-c1cncc(CNC(=O)C2CCC2)c1 1.0
 CHEMBL260135                                                                                                                                                                                                                                        Nc1n[nH]c2nnc(-c3ccccc3)c(-c3ccccc3)c12 1.0
 CHEMBL249584                                                                                                                                                                                           OC[C@H]1C[C@@H](n2nnc3c(N[C@@H]4C[C@H]4c4ccccc4)nc(SCCC(F)(F)F)nc32)[C@H](O)[C@@H]1O 1.0
CHEMBL2158821                                                                                                                                                                                                                   O=C(O)[C@@H](c1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1 1.0
CHEMBL1200558                       CC[C@H](C)[C@H](N)C1=N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1 0.0
  CHEMBL74355                                                                                                                                                                                                                                  COc1cccc([C@H](O)C2CCN(CCc3ccc(F)cc3)CC2)c1OC 1.0
    CHEMBL121                                                                                                                                                                                                                                        CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1 1.0
 CHEMBL258313                                                                                                                                                                                                                C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)CCO 1.0
 CHEMBL179993                                                                                                                                                                                                             CCN(C(=O)Cc1ccc(S(=O)(=O)N(C)C)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1 1.0
 CHEMBL261849                                                                                                                                                                                                                                        COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1 1.0
CHEMBL1835913                                                                                                                                                                                                                                     CCOC(=O)c1ccc(OCCC2CCN(c3ccc(C)nn3)CC2)cn1 1.0
  CHEMBL20969                                                                                                                                                                                                                                                             c1ccc(C2CCNCC2)cc1 0.0
CHEMBL1385161                                                                                                                                                                                                                                                   CC(=O)Nc1nc(N)n(-c2ccccc2)n1 0.0
 CHEMBL481611                                                                                                                                                                                               CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1 1.0
 CHEMBL456801                                                                                                                                                                                                            C[C@H](Nc1nc(NC[C@@H](O)CO)c(Cl)c(Nc2cc(C3CC3)[nH]n2)n1)c1ccc(F)cc1 1.0
CHEMBL2338347                                                                                                                                                                                                               CS(=O)(=O)c1ccc([C@@H](CC2CCCC2)C(=O)Nc2cnc([C@H](O)CO)cn2)cc1Cl 1.0
  CHEMBL73189                                                                                                                                                                                                                                         Cc1nc2ccccn2c1-c1ccnc(Nc2cccc(Cl)c2)n1 1.0
CHEMBL1224065                                                                                                                                                                                                                         NC(=O)c1cccc(N[C@@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1 1.0
CHEMBL1683030                                                                                                                                                                                                                            CCOc1cc2nnc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(C)CC1 1.0
CHEMBL2346969                                                                                                                                                                                                                                 Fc1cccc(CN2CCN(c3ccc4nnc(C(F)(F)F)n4n3)CC2)c1F 1.0
 CHEMBL226804                                                                                                                                                                                                                      CC(c1cc2ccccc2o1)n1[nH]c(=O)c2[nH]c3cc(Cl)ccc3c(=O)c2c1=O 1.0
CHEMBL2088097                                                                                                                                                                                                                                       Cc1cc(CNc2ncc(Cl)c(Nc3cc(C)[nH]n3)n2)on1 1.0
CHEMBL2332935                                                                                                                                                                                                                       CC(=O)Nc1ccc(O)cc1OC[C@@H](O)CN1CCC2(CC1)Cc1cc(Cl)ccc1O2 1.0
 CHEMBL418226                                                                                                                                                                                                                           CCc1cc(OCc2ccc(-c3ccccc3-c3nn[nH]n3)cc2)c2c(n1)CCCC2 1.0
CHEMBL1784340                                                                                                                                                                                                                             Cc1noc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCOCC2)CC1 0.0
CHEMBL1818328                                                                                                                                                                                                                                  O=S(=O)(c1ccccc1-c1ccc(CNC2CCOCC2)cc1)N1CCCC1 1.0
CHEMBL1080786                                                                                                                                                                                                                               N#C[C@]1(NC(=O)[C@@H](N)Cc2cccs2)C[C@H]1c1ccccc1 1.0
 CHEMBL212761                                                                                                                                                                                                                            CC(C)(C)NC(=O)Nc1ccc(-c2c(N)nc(N)nc2COCc2ccccc2)cc1 1.0
 CHEMBL513533                                                                                                                                                                                                        Cn1c(=O)c2c(-c3ccc(S(C)(=O)=O)o3)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O 1.0
  CHEMBL23588                                                                                                                                                                                                                                              O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1 1.0
CHEMBL1809064                                                                                                                                                                                                                COc1cc(N2CCN(CCS(C)(=O)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3ccccn23)n1 1.0
CHEMBL1306071                                                                                                                                                                                                                                                  COc1ccc(Cl)cc1NC(=O)Nc1cnccn1 1.0
CHEMBL1829423                                                                                                                                                                                                                      CCC(c1nc2ccn(C)c2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccc(C)cc1 1.0
 CHEMBL185658                                                                                                                                                                                                                     CC(=O)Nc1ccc(CNc2[nH]nc3cccc(Oc4ccc(S(C)(=O)=O)cc4)c23)cc1 1.0
CHEMBL1770298                                                                                                                                                                                                                                 Cc1ccc(C(NC(=O)c2ccccc2O)C(=O)Nc2c(C)cccc2C)s1 1.0
    CHEMBL611                                                                                                                                                                                                                                  COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC 0.0
CHEMBL2171023                                                                                                                                                                                                                       O=C(O)c1ccccc1C(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1 1.0
CHEMBL2171026                                                                                                                                                                                                                O=C(c1ccc(-c2nn[nH]n2)cc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1 1.0
CHEMBL1387125                                                                                                                                                                                                                                              CCn1c(=O)c2c(=O)cc(O)oc2c2ccccc21 1.0
CHEMBL1545465                                                                                                                                                                                                                                        COc1ccc(C(=O)C2CCN(C(=O)c3ccco3)CC2)cc1 1.0
CHEMBL1312533                                                                                                                                                                                                                             CC(=O)NC1CC2CCCC(C1)N2C(=O)Nc1ccc(Cl)c(C(F)(F)F)c1 1.0
  CHEMBL19224                                                                                                                                                                                                                                          COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC 1.0
 CHEMBL212689                                                                                                                                                                                           CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@H](c2ccc(S(C)(=O)=O)cc2)c2cc(F)cc(F)c2)CC1 1.0
  CHEMBL36643                                                                                                                                                                                                                                           COC(=O)COc1ccc(C(=O)Nc2ccc(F)cc2)cn1 1.0
CHEMBL2171040                                                                                                                                                                                                                 COc1ccccc1S(=O)(=O)NC(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1 0.0
    CHEMBL454                                                                                                                                                                                                                                                 C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O 1.0
CHEMBL2058529                                                                                                                                                                                                                                      O=C(O)CCc1ccc(OCc2cc(Cl)ccc2-c2ccccc2)cc1 1.0
CHEMBL2086673                                                                                                                                                                                                              C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1c1ncc(OCc2ccc(S(C)(=O)=O)cc2C#N)cn1 1.0
 CHEMBL370152                                                                                                                                                                                                                                O=C(O)c1c(Sc2ccccc2)c2cc(Cl)ccc2n1Cc1ccc(Cl)cc1 1.0
CHEMBL2086682                                                                                                                                                                                                                               CC(C)(C)OC(=O)N1CCN(c2ncc(OCc3c(F)cncc3F)cn2)CC1 1.0
 CHEMBL459219                                                                                                                                                                                                                                                           CSc1nc(C(N)=O)c(N)s1 1.0
 CHEMBL408194                                                                                                                                                                                                                                COC1=CC(c2cc3ccccc3[nH]2)=N/C1=C\c1[nH]c(C)cc1C 1.0
 CHEMBL274737                                                                                                                                                                                                                                       CC[C@H](CO)Nc1nc(SCc2ccccc2)nc2nc(N)sc12 1.0
CHEMBL2059869                                                                                                                                                                                                                            Cc1ccc(-c2cn(C)c(C)n2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1 1.0
    CHEMBL934                                                                                                                                                                                                                                                   CC(C)(C(=O)c1cccnc1)c1cccnc1 1.0
CHEMBL1382733                                                                                                                                                                                                                                                   Cn1c(-c2ccc(O)nc2)nc2ccccc21 1.0
CHEMBL2035026                                                                                                                                                                                                                               CCn1cnc2cnc(-c3ccc(C4(N)CCC4)cc3)c(-c3ccccc3)c21 1.0
CHEMBL1683934                                                                                                                                                                                                  O=C(Nc1ccccc1-c1ccccc1)OC1CCN(CCCCCCCCCNC[C@H](O)c2ccc(O)c3[nH]c(=O)ccc23)CC1 1.0
 CHEMBL319136                                                                                                                                                                                                                   CN(C)C(=O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc2cc(Cl)ccc2[nH]1 1.0
CHEMBL1288102                                                                                                                                                                                                                              NC(=O)c1cnc(N[C@H]2CCCNC2)c2cc(-c3ccc(F)cc3F)sc12 1.0
 CHEMBL123846                                                                                                                                                                                                                       CCCc1c(OCCCOc2ccc3c(=O)cc(C(=O)O)oc3c2CCC)ccc(C(C)=O)c1O 1.0
CHEMBL1468264                                                                                                                                                                                                                                    COc1cc(OC)c2nc(C)c3c(c2c1)N(c1ccc(O)cc1)CC3 1.0
 CHEMBL570192                                                                                                                                                                                                                            Cc1cc(Nc2nc(O[C@@H](C)c3ccc(F)cn3)c(C#N)nc2C)n[nH]1 1.0
CHEMBL2158772                                                                                                                                                                                                                 Cc1ccccc1C[C@@H](C(=O)O)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1 1.0
 CHEMBL587004                                                                                                                                                                                                                          CN1CCN(c2nc(NCCNc3ccc([N+](=O)[O-])cc3)c3ccccc3n2)CC1 1.0
CHEMBL1559397                                                                                                                                                                                                                                             O=C(O)c1cc(-c2ccncc2)nc2ccc(F)cc12 0.0
 CHEMBL175627                                                                                                                                                                                                                            CC(=O)NC[C@H]1CN(c2ccc(-n3cc(C#N)nn3)c(F)c2)C(=O)O1 0.0
 CHEMBL301018                                                                                                                                                                                                                                           COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC 1.0
CHEMBL1631471                                                                                                                                                                                                                                        Nc1c(C(=O)NC2CC2)nnc2c(-c3ncccn3)cccc12 1.0
 CHEMBL380130                                                                                                                                                                                                                           COc1ccc2c(c1)C(c1ccccc1)=NC(NC(=O)c1ccccc1OC)C(=O)N2 1.0
CHEMBL2325732                                                                                                                                                                                                                     CC(=O)NCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1 1.0
 CHEMBL373250                                                                                                                                                                                                                                 Cn1ncnc1COc1nn2c(-c3cc(F)ccc3F)nnc2cc1C(C)(C)C 1.0
CHEMBL1310086                                                                                                                                                                                                                                                    COc1ccccc1Cn1c(C)nc2ccccc21 1.0
CHEMBL1241982                                                                                                                                                                                                                               COc1ccc2nc(C)cc(-n3cc(CN4CCN(C(C)=O)CC4)nn3)c2c1 1.0
CHEMBL2078812                                                                                                                                                                                                                              NC(=O)Nc1sc(-c2cc(F)cc(F)c2)cc1C(=O)N[C@H]1CCCNC1 1.0
     CHEMBL46                                                                                                                                                                                                                                              Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O 1.0
CHEMBL2178284                                                                                                                                                                                                                                             CCc1cc(O)c(Oc2ccc(C(N)=O)cc2F)cc1F 1.0
CHEMBL2216859                                                                                                                                                                                                                  CC(C)N1CCN(Cc2cnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)CC1 1.0
 CHEMBL441225                                                                                                                                                                                                                                           COc1ccccc1CN[C@H]1CCCN[C@H]1c1ccccc1 1.0
CHEMBL1917432                                                                                                                                                                                                                               Cc1c(Sc2ccc(Cl)cc2)c2c(S(C)(=O)=O)cccc2n1CC(=O)O 0.0
 CHEMBL480200                                                                                                                                                                                                                                 Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1C(=O)Nc1cccnc1 1.0
CHEMBL2207659                                                                                                                                                                                                                     Cc1cc(Cl)ccc1OC1CCN(C[C@H](O)CNC(=O)c2c[nH]nc2C(F)(F)F)CC1 1.0
CHEMBL1778645                                                                                                                                                                                                                                  CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(C)c1 0.0
CHEMBL1778639                                                                                                                                                                                                                            CCS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c(C)c1 0.0
CHEMBL1809223                                                                                                                                                                                                             COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3cc(N4CCCC4)ccn23)n1 1.0
CHEMBL1549615                                                                                                                                                                                                                                           COc1cc2cc(-c3ccc(O)cc3O)nc(C)c2cc1OC 1.0
 CHEMBL560423                                                                                                                                                                                                                              O=C(NCC1(O)CCCCCC1)c1cc(-n2ncc(=O)[nH]c2=O)ccc1Cl 0.0
CHEMBL1392670                                                                                                                                                                                                                                                  O=C(Oc1ccccc1O)c1cccc2ccccc12 1.0
 CHEMBL397192                                                                                                                                                                                                                   O=C(NC1Cc2ccccc2N(CC(=O)N2CCC(O)CC2)C1=O)c1cc2cc(Cl)sc2[nH]1 1.0
   CHEMBL1075                                                                                                                                                                                                                               CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2 1.0
  CHEMBL15932                                                                                                                                                                                                                                                             COc1cccc2[nH]ncc12 1.0
CHEMBL2163584                                                                                                                                                                                                               N#CC1(NC(=O)[C@@H]2CCCC[C@H]2C(=O)N2CCc3[nH]c4c(Br)cccc4c3C2)CC1 1.0
  CHEMBL99948                                                                                                                                                                                                                              Cc1ccc(Cl)c(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)c1 1.0
 CHEMBL347645                                                                                                                                                                                                                                                                NC(=O)Cc1ccccc1 0.0
CHEMBL1689130                                                                                                                                                                                                                         C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1cccc(Cl)c1 0.0
CHEMBL1255840                                                                                                                                                                                                                                          CC1(C)CCC(NC(=O)[C@@H](N)CCC(=O)O)CC1 0.0
 CHEMBL165790                                                                                                                                                                                                                                            CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1 1.0
CHEMBL2325710                                                                                                                                                                                                                  O=S(=O)(C1CCNCC1)C1(c2cc(N3CCOCC3)nc(-c3cccc4[nH]ccc34)n2)CC1 1.0
CHEMBL1916287                                                                                                                                                                                                              Cc1nn(-c2ccc(F)cc2)c(NS(=O)(=O)c2cccnc2)c1C(=O)N[C@@H](C)C(C)(C)C 0.0
 CHEMBL473967                                                                                                                                                                                                                      CC1(C)Oc2ncnc(N)c2N=C1c1ccc([C@H]2CC[C@H](CC(=O)O)CC2)cc1 1.0
 CHEMBL383696                                                                                                                                                                                                                    CC(C)Cn1c(=O)n(C)c(=O)c2c(SC3CCCC3)c(Cc3ccccc3C(F)(F)F)sc21 1.0
 CHEMBL401193                                                                                                                                                                                                 Cc1cc(C)cc(-c2[nH]c3sc(C(C)(C)C(=O)N4C5CCC4CC5)cc3c2CCN2CCN(CC(=O)N(C)C)CC2)c1 1.0
  CHEMBL17357                                                                                                                                                                                                                                                         NCCc1ccc(O)c2nc(O)sc12 0.0
CHEMBL1682959                                                                                                                                                                                                               CC[C@H](NC(=O)c1c([S+](C)[O-])c(-c2ccccc2)nc2c(F)cccc12)c1ccccc1 1.0
CHEMBL1887445                                                                                                                                                                                                                                    CCCC(=O)N1CCN(c2nnc(-c3ccccc3)c3ccccc23)CC1 1.0
  CHEMBL14642                                                                                                                                                                                                 CCCC(=O)C1(c2ccccc2)CCN(C(=O)[C@@H](Cc2ccc(OC)cc2)NC(=O)[C@@H](N)Cc2cncn2C)CC1 1.0
 CHEMBL167176                                                                                                                                                                                                                              CCCc1c(OCc2ccc(/C=C/c3nn[nH]n3)cc2)ccc(C(C)=O)c1O 1.0
CHEMBL2036590                                                                                                                                                                                                                               O=C(Nc1ccc(N2CCOCC2)nc1)c1nnc(Nc2ccc(F)c(F)c2)o1 1.0
 CHEMBL455467                                                                                                                                                                                                                          Cc1ncc(-c2ccnc(Nc3ccc(C(=O)N4CCN(C)CC4)cc3)n2)n1C(C)C 1.0
CHEMBL1343875                                                                                                                                                                                                                                     CC(C(=O)Nc1ccc(Cl)cc1)c1ncc(C(F)(F)F)cc1Cl 1.0
CHEMBL2325731                                                                                                                                                                                                                  CN(C)C(=O)CC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1 1.0
CHEMBL2325994                                                                                                                                                                                                                   NC1(C(=O)NC(CCCN2CCCC2)c2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1 1.0
CHEMBL2335906                                                                                                                                                                                                                    C[C@@H](NC1=CC(=O)CNC1)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1 1.0
CHEMBL1650728                                                                                                                                                                                                                               COc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Br)n[nH]1 1.0
CHEMBL1224140                                                                                                                                                                                                                      Cc1cc(O[C@@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)cc(C(N)=O)c1 1.0
 CHEMBL179128                                                                                                                                                                                                                     Cc1cn(C[C@H]2CN(c3ccc(C4=CCS(=O)(=O)CC4)c(F)c3)C(=O)O2)nn1 1.0
  CHEMBL32800                                                                                                                                                                                                                                           CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1 0.0
   CHEMBL1054                                                                                                                                                                                                                                    NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O 0.0
CHEMBL2151326                                                                                                                                                                                                                           COc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c2ccc(F)cn2)n[nH]1 1.0
 CHEMBL336619                                                                                                                                                                                                                                          O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccccc1Cl 1.0
CHEMBL2331843                                                                                                                                                                                                                CCc1[nH]c2nc(Sc3cnc4ccc[n+]([O-])c4c3)nc(N3CC[C@@H](N)C3)c2c1Cl 1.0
