Drug 1863                                                                                                c1ccc(C2OC2c2ccccc2)cc1 0
Drug 1840                                                                                                     Clc1ccc(Cl)c(Cl)c1 0
Drug 4125                                                               COc1cc2c(c3oc(=O)c4c(c13)CC[C@@H]4O)[C@@H]1C=CO[C@@H]1O2 1
Drug 2017                                                                 O=C(ON(OCc1ccccc1)C(=O)c1ccccc1)c1cccc([N+](=O)[O-])c1 1
Drug 4348                                                                                          Cc1ccc2cccc([N+](=O)[O-])c2c1 1
Drug 2535                                                                                                               CN(C)CCO 0
Drug 4760                                                                                        Oc1c2ccccc2c2ccc3cccc4ccc1c2c43 1
Drug 4799                                                                             COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1CCOC1O2 0
Drug 3569                                                                                                               NNC(N)=O 0
Drug 5741                                                                                  Nc1ccc2c([nH]c3ccccc32)c1[N+](=O)[O-] 1
Drug 3608                                                                                                     [CH2-][N+](=O)[O-] 0
Drug 6678                                                                            O=NN(c1ccc([N+](=O)[O-])cc1)C1OC(CO)C(O)C1O 1
Drug 5703                                                                                                                   CC#N 0
Drug 6096                                                                                                 CC(=O)CC(=O)Nc1ccccc1C 0
Drug 2194                                                                        C=CC1CN2CCC1CC2C(OC(=O)C(C)O)c1ccnc2ccc(OC)cc12 0
Drug 5752                                                                                                                 ClCCBr 1
Drug 5824                                                                                          Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl 1
Drug 6588                                                                                                              C=C(Cl)Cl 1
Drug 1933                                                                                                         CCN=NC(C)(C)OO 0
Drug 1088                                                                                                      CCOC(=O)OC(=O)OCC 0
 Drug 413                                                                       O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O 0
Drug 6404                                                                                                          Oc1ccc(Cl)cc1 0
Drug 4688                                                                                                Oc1ccc(-c2ccc(O)cc2)cc1 0
Drug 3133                                                                                               COc1c2ccc(O)cc2nc2occc12 0
Drug 3189                                                   C=C1CC[C@H](O)C/C1=C/C=C1/CCC[C@]2(C)[C@@H]1CC[C@H]2[C@H](C)CCCC(C)C 0
Drug 3887                                                                                              COc1c2ccoc2nc2c(OC)cccc12 1
Drug 4043                                                                                                    Nc1cccc(C(F)(F)F)c1 0
 Drug 394                                                                                      O=[N+]([O-])c1ccc2c(c1)oc1ccccc12 1
 Drug 443                                                                            COc1cc2c(c3oc(=O)c4c(c13)CCOC4=O)C1C=COC1O2 1
Drug 7005                                                                                           O=[N+]([O-])OC1COC2C(O)COC12 0
 Drug 485                                                                                                CC(C)(C)OOC(=O)c1ccccc1 1
Drug 3574                                                                      C(=N/N1Cc2[nH]c3ccccc3c2N=N1)\c1ccc(Oc2ccccc2)cc1 0
Drug 5900                                                                                        O=c1c2cccc3ccc4c5ccccc5cc1c4c32 1
 Drug 689                                                COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1 1
Drug 3440                                                                                                  C/C(C=O)=C(/Cl)C(=O)O 1
Drug 4665                                                                                                  Cc1c2ccccc2cc2ccccc12 1
Drug 5179                                                                                      O=[N+]([O-])c1ccc(OC[C@H]2CO2)cc1 1
Drug 3792                                                                                                            CCCCOCCOCCO 0
Drug 5025                                                                                                  Nc1ccccc1[N+](=O)[O-] 0
Drug 4521                                                                                        O=C(c1ccccc1)n1ncc(Cl)c(Cl)c1=O 0
Drug 5957                                                                                                O=C(O)c1cc(O)c2ccccc2n1 0
 Drug 307                                                                                      c1ccc2c(c1)cc1c3c2ccc2cccc(c23)C1 1
Drug 6002                                                                                      CN(C)CCNC(=O)c1ccc2ccc3cccnc3c2n1 1
Drug 3978                                                                                                C[C@H](CCl)O[C@H](C)CCl 1
Drug 5139                                                         Nc1nc(-c2ccc([N+](=O)[O-])cc2)nc2c1ncn2-c1ccc([N+](=O)[O-])cc1 1
Drug 1754                                                                    COc1cc(C(O)c2ncc([N+](=O)[O-])n2C)c(O)c(C(C)(C)C)c1 1
Drug 4259                                                                                                    O=Nc1cc2c(cc1O)OCO2 1
Drug 1311                                                                                          O=C(/C=C/c1ccccc1)c1ccc(F)cc1 0
Drug 2422                                                                                                        Cc1cc(C)cc(C)c1 0
Drug 2186                                                                                        CN(C)c1ccc(N=Nc2cccc(CCl)c2)cc1 1
Drug 6742                                                                                           c1ccc(-c2ccc(CCC3CO3)cc2)cc1 1
Drug 6966                                                              CC(NC(=O)Cc1cnc(C)nc1N)=C(CCOC(=O)c1ccccc1)SC(=O)c1ccccc1 0
Drug 6861                                                                                             Cc1ccc2c(c1)C(C)c1ccccc1-2 1
Drug 7535                                                                                 Cc1ccc2cc3c4c(ccc3c3c2c1CC3)C=CC(O)C4O 1
Drug 1239                                                                                               CCOP(=S)(OCC)SCSC(C)(C)C 0
Drug 4328                                                                                     CC(=O)OCc1ccccc1N=Nc1ccc(N(C)C)cc1 1
Drug 5938                                                                               Cc1cc(C(=C2C=CC(N)C=C2)c2ccc(N)cc2)ccc1N 1
Drug 3777                                                                                             O=C(CCl)Nc1snc2cc(Cl)ccc12 1
 Drug 829                                                                          CNC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21 0
Drug 1837                                                                                          O=[N+]([O-])c1ccc(-c2cscn2)o1 1
Drug 5595                                                                      O=[N+]([O-])c1ccc2ccc3cc4c(c5ccc1c2c35)C=CC(O)C4O 1
Drug 2281                                                                                        Cc1ccc2c(CO)c3ccc4ccccc4c3nc2c1 0
Drug 1684                                                                                                     O=NN1CCC[C@H](O)C1 1
Drug 7418                                                                                                    O=NN1CCC(Br)C(Br)C1 1
Drug 2858                                                                                                        NNC(=O)c1ccncc1 1
Drug 2874                                                                                            CC(=O)c1cccc2c1OC1(C)OOC21C 1
 Drug 494                                                                                         O=C1N(CO)[C@H](O)[C@@H](O)N1CO 1
Drug 1066                                                                                                      CCc1cccc(CC)c1N=O 1
Drug 6746                                                                                                    [O-][N+](O)=C(Cl)Cl 1
Drug 6197                                                                                    Cc1cc(C)c2nc3c(ccc4ccccc43)c(C)c2c1 1
 Drug 844                                                                                           Nc1c(O)cccc1C(=O)CC(N)C(=O)O 0
Drug 2750                                                                                               CC(=O)Nc1cccc(N)c1C(=O)O 1
Drug 3446                                                                                                              CCCC(=O)O 0
Drug 2599                                                                                                       FC(F)(F)c1ccccc1 0
Drug 7350                                                                                             CCCCC(CC)COC(=O)CCCCC(=O)O 0
Drug 1262                                                                                      COc1ccc2[nH]c3c(C)cc(N)c(C)c3c2c1 1
Drug 5670                                                                                        CCOC(=O)Cc1c(C(=O)O)c2ccccc2n1C 0
 Drug 627                                                                                        Cc1cc2c3ccccc3cc3ccc4cccc1c4c32 1
Drug 2377                                                                                                         CC(=O)OCCC(C)C 0
Drug 5154                                                                                         O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl 0
Drug 1358                                                                                  CC(=O)OCc1c2ccccc2c(C)c2c1ccc1ccccc12 1
 Drug 481                                                                                                         CCCOS(C)(=O)=O 1
Drug 7547                                                                                         N=c1ccn(C2CCC(CO)O2)c(=O)[nH]1 1
Drug 4058                                                                                                 Cn1c(N)nc2cc(C#N)ccc21 1
Drug 5922                                                                                       Oc1ccc(Nc2c3ccccc3nc3ccccc23)cc1 1
Drug 7230                                                   Cc1c(C(=O)O)c(O)cc2c1C(=O)c1c(O)c(C3OC(CO)C(O)C(O)C3O)c(O)c(O)c1C2=O 1
Drug 3857                                                                                                Nc1ccc(Sc2ccc(N)cc2)cc1 1
Drug 1812                                                                                       CC(=O)N(O)c1ccc([N+](=O)[O-])cc1 1
Drug 2581                                                                                       O=[N+]([O-])c1ccc(O[C@H]2CO2)cc1 1
Drug 6293                                                                                                   Nc1ccc(Oc2ccccc2)cc1 1
Drug 4122                                                                                       Cc1nc2c3c(ccc4ccc(O)cc43)ccc2n1C 1
Drug 5149                                                           O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1 0
Drug 1473                                                                                       O=C1c2ccc(O)cc2C(=O)c2ccc(O)cc21 0
Drug 3014                                                                                     c1ccc2c(c1)ccc1cc3ccc4ccccc4c3nc12 1
Drug 1752                                                                                COC(=O)c1cc(Cc2ccc(N)c(C(=O)OC)c2)ccc1N 1
Drug 5126                                                                                               O=[N+]([O-])/C=C/c1ccco1 0
 Drug 832                                                                                              O=C1CCC(=O)N1c1ccc(Cl)cc1 0
 Drug 195                                                                                           CCCCOC(=O)c1ccccc1C(=O)OCCCC 0
 Drug 388                                                                                               O=C1OC(O)C(C(Cl)Br)=C1Cl 1
 Drug 971                                                                                                         COc1cc(N)ccc1C 1
Drug 1601                                                                                      O=C1c2ccccc2C(=O)c2c1cc(O)c(O)c2O 1
Drug 1394                                                                                                   O=C1CCCCCCCCCCCCCCO1 0
Drug 3921                                                                                                         CC(Br)(CCl)CBr 0
Drug 4634                                                                         O=[N+]([O-])c1ccc2ccc3c([N+](=O)[O-])cccc3c2c1 1
Drug 6924                                                                                                                CC(O)CN 1
Drug 4474                                                                                                       NC1(C(=O)O)CCCC1 0
Drug 5461                                                                                                              N#CSCSC#N 0
Drug 2200                                                                                                           Cc1cccc(N)c1 0
Drug 1036                                                                                                   CC1(c2ccc(Br)cc2)CO1 0
Drug 2007                                                                                 OC1c2cccc3c2C2(OC2C1O)c1cc2ccccc2cc1-3 1
Drug 3888                                                                                                          Cc1cccc(C)c1C 1
Drug 3242                                                                                      Cc1cc2c(c3ccc4ccccc4c13)CC[C@H]2C 1
Drug 4715                                                                                                            CNc1ccccc1N 1
Drug 6581                                                                                                     CN(N=O)C(=N)NN(O)O 1
Drug 2910                                                                                                                  C=CBr 1
 Drug 710                                                           C=C/C1=C/C(C)C(C)(OC(C)=O)C(=O)OCC2=CC[N+]3(C)CCC(OC1=O)C23O 1
Drug 2575                                                                                                         N=C(N)c1ccccc1 0
Drug 4519                                                                                          CN1C(=O)CCC1c1ccc[n+]([O-])c1 0
Drug 3891                                                                                             NC(CSC(F)(F)C(Br)Br)C(=O)O 1
 Drug 934                                                                                                     COc1nsc2c(N)cccc12 1
Drug 3584                                                                                             Cc1ccc([N+](=O)[O-])cc1N=O 1
Drug 5292                                                                                             CCNC(=N)N(N=O)[N+](=O)[O-] 1
 Drug 514                                                                                                      C=CC(=O)NCCCN(C)C 0
 Drug 374                                                                                                            CCOCCOCCOCC 0
Drug 6864                                                                                                          O=C(O)C(Cl)Br 1
Drug 1014                                                                              NC(=O)/C(=C\c1ccc([N+](=O)[O-])o1)c1ccco1 1
Drug 3712                                                                                 COC(=O)C(C)(C)Oc1ccc(-c2ccc(Cl)cc2)cc1 0
Drug 5251                                                                             O=C(O)c1cc(N=Nc2ccc([N+](=O)[O-])cc2)ccc1O 1
 Drug 213                                                                                                        Nc1cccc2cccnc12 1
Drug 2062                                                                                         C=C[C@@H]1CC[C@@]2(C)O[C@H]2C1 0
Drug 5356                                                                              CCN(CCCl)CCCNc1c2ccc(Cl)cc2nc2ccc(OC)nc12 1
 Drug 283                                                                                   COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1 1
Drug 3968                                                                                                O=C1c2ccccc2C(=O)C1(O)O 0
Drug 1889                                                                                                  ONc1ccc(Oc2ccccc2)cc1 1
Drug 4593                                                                                                         C=C(Cl)C(=O)OC 1
Drug 2596                                                                                      OC1c2c(ccc3c2ccc2ccccc23)C2OC2C1O 1
Drug 6165                                                                                              Cc1ccc([N+](=O)[O-])cc1NO 0
Drug 2336                                                                                            Cc1cccc2cc3ccc4ccccc4c3nc12 0
Drug 5132                                                                                          Cc1cccc2ccc([N+](=O)[O-])cc12 1
Drug 7060                                                                                                        CCCCC(CC)COCCCN 0
Drug 3468                                                                                                    SC(S)=N/C=C/N=C(S)S 0
Drug 5346                                                                                                           CC(=O)CC(C)C 0
Drug 4466                                                                                         CC(C)(N)[C@H]1CC[C@@](C)(N)CC1 0
Drug 6260                                                                                                         CN(C)CCN(C)N=O 1
Drug 4670                                                                                       O=C(NCCCl)Nc1ncc([N+](=O)[O-])s1 1
Drug 1486                                                                               CC(C)(Oc1ccc([C@@H]2CC2(Cl)Cl)cc1)C(=O)O 0
Drug 4955                                                                                         Nc1nc(-c2ccccc2)c(CCO)c2ncnn12 0
 Drug 226                                                                                        O=C1C=C(S(=O)(=O)O)c2ccccc2C1=O 1
Drug 3616                                                                                                                 IC(I)I 1
Drug 7433                                                                                         Cc1c2c(c3ccc4ccccc4c3c1C)CCC2C 1
Drug 2941                                                                                                              COCCOCCOC 0
Drug 2468                                                                                O=[N+]([O-])c1ccc2ccc3cccc4cc(O)c1c2c34 1
Drug 3290                                                                                              Nc1c2ccccc2nc2ccc(Br)cc12 1
Drug 4457                                                                                            C1CN1c1nc(N2CC2)nc(N2CC2)n1 1
Drug 4319                                                                                        CC(C)c1cc(N)cc([N+](=O)[O-])c1N 0
Drug 4316                                                                                                       CCN=[N+]([O-])CC 0
Drug 3543                                                                                                              CC(C)CC=O 0
Drug 2754                                                                             OC1C2=c3c(cc4cccc5ccc(c3c54)C1O)-c1ccccc12 0
 Drug 203                                                                                                     CN(C)c1ccc(N=O)cc1 1
 Drug 458                                                                                                     Oc1ccc2c(O)cccc2c1 1
Drug 6335                                                                                                                   ClCl 0
Drug 4232                                                                                                O=[N+]([O-])C(Br)(CO)CO 0
 Drug 219                                                  CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC21C 0
Drug 7429                                                                     COc1cc2c(c3oc(=O)c4c(c13)C(Cl)C(Cl)C4=O)C1C=COC1O2 1
Drug 2243                                                                                                Cn1c(N)nc2ccc3ncccc3c21 1
Drug 2848                                                                                                 CC(C)(C)c1ccc(O)c(O)c1 0
Drug 2825                                                                                                    C=C(C)C(=O)OCCN(C)C 1
Drug 6019                                                                                        CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC 1
 Drug 987                                                                              Cc1cc(O)c2c(c1)C(=O)c1cc(O)c(O)c(O)c1C2=O 0
Drug 3913                                                                                                    O=C(Cl)c1ccc(Cl)cc1 0
Drug 3185                                               N[C@@H](CCC(=O)N[C@@H](CS/C(Cl)=C(/Cl)C(Cl)=C(Cl)Cl)C(=O)NCC(=O)O)C(=O)O 1
 Drug 579                                                                                                         CCOC(=O)C(N)CS 1
 Drug 537                                                                                                   Nc1cccc(-c2ccccc2)c1 1
Drug 7598                                                                                            C=C(C)C1CC=C(C)C(OC(C)=O)C1 0
Drug 1059                                                                                                     c1ccc(Cn2ccnc2)cc1 1
Drug 6653                                                                                                  Oc1c2ccccc2cc2ccccc12 1
 Drug 871                                                                                 O=C(c1ccc(F)cc1)[C@H]1O[C@@H]1c1ccccc1 1
Drug 4507                                                                                                          CN(N=O)C(N)=O 1
Drug 4718                                                                                              O=[P@@]1(NCCCl)OCCCN1CCCl 1
Drug 5827                                                                                                          CC(=O)OC(C)=O 0
 Drug 750                                                                                    Cc1c2ccccc2c(COS(=O)(=O)O)c2ccccc12 1
Drug 3241                                                                                                         CCNc1cccc(O)c1 1
Drug 5203                                                                                                      NCCCCCCCCCCC(=O)O 0
Drug 2773                                            O=C(/N=c1\sn(C(=O)c2ccc(Cl)c(Cl)c2)c2ccc([N+](=O)[O-])cc12)c1ccc(Cl)c(Cl)c1 1
 Drug 607                                                CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C(=O)O)C5CCC43C)C2C1 0
Drug 7046                                                                                                         CCCC(O)C(CC)CO 0
Drug 4015                                                            NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O 0
Drug 3342                                                                                                 NC(Cc1ccc(O)cc1)C(=O)O 0
Drug 5575                                                                                    O=[N+]([O-])c1ccc2c(c1)CCc1ccccc1-2 1
 Drug 192                                                                                               CCc1ccc([N+](=O)[O-])cc1 0
Drug 3980                                                                                                     COC(=O)c1ccc(C)cc1 0
Drug 5579                                                                                                                 CN(C)C 0
Drug 4965                                                                                                           C=C1CC(=O)O1 0
Drug 1337                                                                                                 CCNc1nc(O)nc(NC(C)C)n1 0
Drug 3243                                                                                                COc1cccc2c1OC1(C)OOC21C 1
Drug 2179                                                                                                         Cc1ccc(C=O)cc1 0
Drug 7306                                                                                   C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O 0
Drug 2967                                                                                                    O=C1OC(=O)c2ccccc21 0
Drug 6093                                                                                         COc1ccc(C(=O)/C=C/c2ccccc2)cc1 0
Drug 3749                                                                                                              CNC(=O)NC 0
Drug 2180                                                                                               O=C1OC(O)C(C(Br)Br)=C1Cl 1
Drug 1447                                                                                            Brc1ccc2c(c1)C1OC1C1CCCCC21 0
Drug 4696                                                                                                 O=Nc1ccc(Sc2ccccc2)cc1 1
Drug 1043                                                                                    CC(=O)ON(C(C)=O)c1ccc(Sc2ccccc2)cc1 1
Drug 7118                                                                                                          CC(O)COCC(C)O 0
Drug 6970                                                                                                        CCCCCCCCCCC1CO1 0
Drug 5628                                                                                 CC1C(O)CCC2=CC(=O)C3(C4(CO)CO4)OC3C21C 1
Drug 4560                                                                                       Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1 1
 Drug 150                                                                       CCCCCCCC/C=C/CCCCCCCCCCCC(=O)NCCCCCCCCCCCCCCCCCC 0
Drug 6978                                                                                                O=Cc1c2ccccc2cc2ccccc12 0
Drug 4003                                                                                        Nc1nc(O)nc2c1ncn2C1CC(O)C(CO)O1 0
Drug 5917                                                                                         Cc1nc2cc(C)c3c(nc(N)n3C)c2nc1C 1
Drug 6000                                                                                            C[n+]1c2ccccc2cc2c(N)cccc21 1
Drug 6866                                                                                            COc1cc(NC(C)CCCN)c2ncccc2c1 1
Drug 3386                                                                                   c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12 1
Drug 2190                                                                                                                C=C(F)F 1
Drug 3022                                                                                                        ClCc1ccc(Br)cc1 0
Drug 5540                                                                                               O=NN(Cc1ccccc1)Cc1ccccc1 0
 Drug 287                                                                    CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1 0
Drug 4531                                                                                                        Cc1ccc(C)c(N)c1 1
Drug 4227                                                                                             c1cc2ccc3ccnc4ccc(c1)c2c34 1
Drug 2879                                                                                                     Cc1ccc(NC(N)=O)cc1 0
Drug 7154                                                                          C#CC1(OC(C)=O)CCC2C3CCC4=C(CCC(=O)C4)C3CCC21C 0
Drug 5618                                                                                    Nc1ccc2[nH]c3ccccc3c2c1[N+](=O)[O-] 1
Drug 2204                                                                                         FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I 0
Drug 3591                                                                                                              CC(C)(C)N 0
Drug 5794                                                                                         COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl 0
Drug 6879                                                                                          COC(=O)C12OC1(C)C(C(C)C)OC2=O 1
Drug 1715                                                                                    CC(=O)Nc1ccc(Oc2ccc(N(O)C=O)cc2)cc1 1
 Drug 161                                                                                    O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21 0
Drug 1366                                                                                                   CN(C)c1ccc(N(C)C)cc1 1
Drug 5187           COc1c(O)c2c(c3cc(C(=O)N4CCc5c4c(O)c(OC)c4[nH]c(C(=O)N6CC7CC78C6=CC(=O)c6[nH]cc(C)c68)cc54)[nH]c13)CCN2C(N)=O 0
Drug 1324                                                                                               Cc1cccn2c1nc1ccc(NO)nc12 1
 Drug 806                                                                                          ClCc1c2ccccc2cc2c1ccc1ccccc12 1
Drug 6103                                                                          O=Cc1ccc(C(=O)ON(OCc2ccccc2)C(=O)c2ccccc2)cc1 1
Drug 6676                                                                                                     Cc1ccc(CCC2CO2)cc1 1
Drug 1948                                                                                                  CCCCCCCCCCCC[C@H]1CO1 0
Drug 2493                                                                                            Cc1ccc(S(=O)(=O)OCC2CO2)cc1 1
Drug 2711                                                                                               Fc1ccc(F)c2c1ccc1ncccc12 1
Drug 2529                                                                                                            ClCc1ccccn1 1
Drug 5426                                                                            CC(=O)Nc1ccc2c(c1OC(=O)c1ccccc1)Cc1ccccc1-2 0
Drug 4522                                                                                     O=C/C=C/C=C/c1ccc([N+](=O)[O-])cc1 1
Drug 6644                                                                                              [N-]=[N+]=CC(=O)NCC(=O)NN 1
Drug 6514                                                                           CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C 0
Drug 5936                                                                                                  CC(Cl)C(=O)NCc1ccccc1 0
Drug 2023                                                                                                CN(C)c1ccc(/C=C/C=O)cc1 0
Drug 4113                                                                                                            BrC/C=C\CBr 1
Drug 6585                                                                                            NC(Cc1c[nH]c2ccccc12)C(=O)O 0
 Drug 653                                                                                                                  OCCCl 1
Drug 3910                                                                                          O=[N+]([O-])c1ccccc1Nc1ccccc1 0
Drug 6187                                                                                                  Fc1cc2cccnc2c2ccccc12 1
Drug 3848                                                                                                        CCCN(N=O)C(N)=O 1
 Drug 366                                                                                         CC(=O)c1ccc([N+](=O)[O-])[nH]1 1
Drug 3334                                                                                               CC(C)C(=O)Nc1snc2ccccc12 0
 Drug 666                                                                                        CCc1c2ccccc2c(C)c2c1ccc1ccccc12 0
Drug 5328                                                                                               Nc1cccc2nc3c(N)cccc3nc12 1
 Drug 902                                                                                      Cc1cc2nc3c(ccc4ccccc43)c(C)c2cc1C 1
Drug 1246                                                                                           Brc1c2ccccc2cc2c1ccc1ccccc12 1
Drug 5982                                                                                                S=C(Nc1ccccc1)Nc1ccccc1 0
Drug 1058                                                                                                               BrCCCCBr 1
 Drug 729                                                                                        O=[N+]([O-])c1ccc2oc3ccccc3c2c1 1
Drug 3851                                                                         O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl 0
Drug 2013                                                                                                 CC(=O)OCN(N=O)c1ccccc1 1
Drug 7148                                                                     CC(=O)OC1C(O)C2OC3CC(C)C(=O)C(=O)C3(CO)C1(C)C21CO1 0
Drug 1664                                                                                                               C1CSCCS1 1
Drug 3770                                                                           CC(C)(C)OC(=O)NC(CN=[N+]=[N-])C(=O)OC(C)(C)C 1
Drug 2357                                                                                                     COc1ccc2nc(N)sc2c1 1
 Drug 669                                                                                                       CC(C)OS(C)(=O)=O 1
Drug 3178                                                                                 CCCc1cc2ccccc2c2ccc3c(c12)C1OC1C(O)C3O 0
Drug 4143                                                                                    O=C(OCc1ccc(Cl)cc1Cl)c1cccc2cccnc12 0
Drug 4951                                                              CCCCCCCCCCCCCCCCCCOC(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1 0
Drug 5652                                                                        COc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc1OC 1
 Drug 718                                                                                                            Cc1ccc(C)o1 0
Drug 3504                                                       O=C1c2ccccc2-c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)c1ccccc1-5 1
Drug 1300                                                                                                  O=C1OCC(C(Cl)Cl)=C1Cl 1
 Drug 372                                                                                                  CSc1cc(SC)c(N)c(C)c1N 1
Drug 5420                                                                                O=[N+]([O-])c1ccc2ccc3c(O)ccc4ccc1c2c43 1
Drug 6862                                                                      NC(CCC(=O)NC(CSC(Cl)=C(Cl)Cl)C(=O)NCC(=O)O)C(=O)O 1
Drug 1091                                                                                                           Cc1cncc(C)n1 1
Drug 5136                                                                                                   CC(C)CC1NC(=O)CNC1=O 0
  Drug 94                                                                                     OC1C=Cc2c(cc3ccc4cccc5ccc2c3c45)C1 1
Drug 5216                                                                                  O=C(Nc1ccccc1Br)c1csc([N+](=O)[O-])c1 1
Drug 3961                                                                                                            BrCCC(Br)Br 1
Drug 2461                                                                                                CCOC(=O)N(CCOC(C)=O)N=O 1
Drug 4811                                                                                              CCC(=O)N(O)c1ccc2ccccc2c1 1
Drug 1416                                                                                Nc1ccc(S(=O)(=O)Nc2cnc3c(Cl)cccc3n2)cc1 0
Drug 5799                                                                              CC(CCC(=O)O)C1CCC2C3CCc4cc(O)ccc4C3CCC12C 0
Drug 3884                                                                                                     ClC(Cl)C(Cl)(Cl)Cl 0
 Drug 335                                                                                            CC(C)(CO)C(O)C(=O)NCCC(=O)O 0
Drug 4184                                                                                                                  N#CCl 0
Drug 2381                                                                                            [N-]=[N+]=Nc1nc2ccccc2[nH]1 1
Drug 3841                                                                     O=[N+]([O-])c1ccc2c(c1)CCc1cc3c(cc1-2)CCc1ccccc1-3 1
Drug 5861                                                                                            Cc1cccc2cc3ccc4ccccc4c3cc12 1
Drug 2842                                                                                            Cc1cc2c3ccccc3ccc2c2ccccc12 1
Drug 2667                                                                                        CC1(C)C(=O)[C@@]2(C)CC[C@@H]1C2 0
Drug 7045                                                                                                      Nc1ccc(Cl)c(Cl)c1 0
 Drug 945                                                                                                              CN1CCOCC1 0
Drug 1778                                                                                                         CCCCCCC(=O)OCC 0
Drug 3325                                                                                           Clc1c2ccccc2cc2c1ccc1ccccc12 1
Drug 7432                                                                                         CC1=CCc2c1cc(C)c1c2ccc2ccccc21 1
Drug 5393                                                                                       CC(C)NC[C@@H](O)COc1cccc2ccccc12 0
Drug 4622                                                                                                  Fc1ccc2ccc3cccnc3c2c1 1
 Drug 969                                                                              O=S(=O)(O)Oc1ccc2ccc3cc4ccccc4c4ccc1c2c34 1
 Drug 741                                                                                             CC1(C)CC(C(N)=O)C(C)(C)N1O 0
Drug 5181                                                                         O=[N+]([O-])c1ccc(Nc2ccccc2O)c([N+](=O)[O-])c1 1
Drug 1106                                                                                          CCOP(=S)(OCC)SCSP(=S)(OCC)OCC 0
Drug 4919                                                                                 Oc1c2nc3ccccc3c-2nnn1/N=C/c1ccc(Cl)cc1 1
Drug 2595                                      O=S(=O)(O)c1cc(N=Nc2c(O)ccc3ccccc23)ccc1-c1ccc(N=Nc2c(O)ccc3ccccc23)cc1S(=O)(=O)O 0
Drug 2565                                                                                    Nc1cc2[nH]c3ccccc3c2cc1[N+](=O)[O-] 1
Drug 3418                                                                                                Nc1ccc(Oc2ccc(N)cc2)cc1 1
Drug 7165                                                                                                   C1=CC2C3C=CC(C3)C2C1 0
Drug 1508                                                                                   CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1ccnc1 0
Drug 6138                                                                                         OC1c2cccc3ccc4c5ccccc5cc1c4c23 1
 Drug 593                                                           Nc1cc(N)c(N=Nc2ccc(S(N)(=O)=O)cc2)cc1N=Nc1ccc(S(N)(=O)=O)cc1 1
Drug 1157                                                                                             CC1=C(C(=O)Nc2ccccc2)SCCO1 0
Drug 4828                                                                                                                  O=CCO 0
  Drug 28                                 Cc1cc(O)c2c(c1)C(=O)C13C4C(=O)C56C(=O)c7c(O)cc(C)cc7C(=O)C57C(C(=O)C16C2=O)C(C)C3C7C4C 0
Drug 3338                                                                                  O=C(c1ccccc1)C1OC1c1ccc(-c2ccccc2)cc1 0
Drug 5894                                                                                     CCCCN(CCO[N+](=O)[O-])[N+](=O)[O-] 1
Drug 4129                                                  CN(Cc1cnc2nc(N)nc(N)c2n1)c1c(Cl)cc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1Cl 0
Drug 3816                                                                                                      Oc1ccc(Cl)c(Cl)c1 0
Drug 1256                                                                                 C1CCC2OCCOCCOCCOC3CCCCC3OCCOCCOCCOC2C1 0
Drug 1782                                                                   O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2cccc([N+](=O)[O-])c21 1
Drug 2721                                                                                                  CC(=O)Nc1ccnc2ccccc12 0
Drug 7546                                                                                                  c1cc2c(cc1CC1CO1)OCO2 1
Drug 6575                                                    CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12 0
